"* Required Fields","* Campos Requeridos"
"Comment","Comentario"
"Contact Form","Formulario de contacto"
"Contact Information","Información de Contacto"
"Contact Us","Contáctenos"
"Contacts","Contactos"
"Contacts Section","Sección de contactos"
"Email","Correo electrónico"
"Email Options","Opciones de correo electrónico"
"Email Sender","Remitente de correo electrónico"
"Email Template","Plantilla de email"
"Enable Contact Us","Habilitar contacte con nosotros"
"Name","Nombre"
"Send Emails To","Enviar correo electrónico a"
"Submit","Enviar"
"Unable to submit your request. Please, try again later","Ha ocurrido un error al enviar su consulta, por favor intente nuevamente en unos minutos"
"Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.","Su consulta ha sido enviada, lo contactaremos a la brevedad. Muchas gracias!"
