"Add","Agregar"
"Add New Row","Agregar nueva fila"
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with '_'.","Se recomiendan los caracteres alfanuméricos, guion y guion bajo para los nombres de fichero. Los caracteres incorrectos se reemplazarán con '_'."
"Availability:","Disponibilidad:"
"Back","Volver"
"Canceled","Cancelado"
"Date","Fecha"
"Default Link Title","Título de enlace (predeterminado)"
"Default Maximum Number of Downloads","Número máximo de descargas (predeterminado)"
"Default Sample Title","Título de muestra (predeterminado)"
"Delete","Eliminar"
"Disable Guest Checkout if Cart Contains Downloadable Items","Deshabilitar la facturación para visitantes si el carrito contiene artículos descargables"
"Downloadable Information","Información descargable"
"Downloadable Product Options","Opciones de artículo descargable"
"Edit","Editar"
"Edit item parameters","Editar parámetros del artículo"
"Excl. Tax","Impuestos no incluídos"
"File","Archivo"
"From:","De:"
"Gift Message","Mensaje de regalo"
"Guest checkout will only work with shareable.","La facturación con visitantes sólo funcionará si se puede compartir."
"In stock","En stock"
"Incl. Tax","Incl. impuestos"
"Invalid download link type.","Tipo de enlace de descarga no válido."
"Invoiced","Facturado"
"Links can be purchased separately","Los enlaces se puede comprar por separado"
"List","Lista"
"Max. Downloads","Max. Descargas"
"Message:","Mensaje:"
"Move","Mover"
"My Downloadable Products","Mis productos descargables"
"Open Links in New Window","Abrir enlaces en una nueva ventana"
"Order #","Pedido #"
"Order Item Status to Enable Downloads","Estado de artículo pedido para habilitar descargas"
"Order id cannot be null","El Id del pedido no puede ser nulo"
"Order item id cannot be null","El Id del artículo del pedido no puede ser nulo"
"Ordered","Pedido realizado"
"Out of stock","Sin stock"
"Pending","Pendiente"
"Please set resource file and link type.","Por favor, asigne el archivo de recurso y el tipo de enlace."
"Please specify product link(s).","Por favor, especifique el(los) enlace(s) de artículo."
"Price","Precio"
"Qty","Cantidad"
"Refunded","Reembolsado"
"Remaining Downloads","Descargas restantes"
"Remove","Quitar"
"Remove Item","Eliminar elemento"
"SKU","Art"
"Sample","Muestra"
"See price before order confirmation.","Consulte el precio antes de confirmar el pedido."
"Shareable","Compartible"
"Shipped","Enviado"
"Sorry, there was an error getting requested content. Please contact the store owner.","Lo sentimos, se ha producido un error al obtener el contenido solicitado. Por favor, póngase en contacto con el propietario de la tienda."
"Sort Order","Ordenación"
"Start Download","Iniciar descarga"
"Status","Estado"
"The link has expired.","El enlace ha caducado."
"The link is not available.","El enlace no está disponible."
"Title","Título"
"To:","Para:"
"Unlimited","Ilimitado"
"Update","Actualizar"
"Use Content-Disposition","Utilizar Contenido-Disposición"
"Use Default Value","Usar Valor Predeterminado"
"View Order","Ver pedido"
"What's this?","¿Qué es esto?"
"You have not purchased any downloadable products yet.","Todavía no ha adquirido ningún artículo descargable."
"attachment","documento adjunto"
"download","descargar"
"inline","en línea"
"sample","muestra"
