"-- Please Select --","-- Por favor Seleccione --"
"Actions","Acciones"
"Add Layout Update","Agregar actualización de diseño"
"All","Todos"
"All Pages","Todas las Páginas"
"All Product Types","Todos los Tipos de Producto"
"Anchor Categories","Categorías de ancla"
"Apply","Aplicar"
"Assign to Store Views","Asignar a vistas de tienda"
"Big Image","Imagen grande"
"Categories","Categorías"
"Choose...","Seleccionar..."
"Close","Cerrar"
"Continue","Continuar"
"Default Template","Plantilla por defecto"
"Delete","Eliminar"
"Design Package/Theme","Diseñar paquete/tema"
"Export to:","Exportar a:"
"Generic Pages","Páginas genéricas"
"Images","Imágenes"
"Insert Widget","Insertar widget"
"Layout Updates","Actualizaciones de diseño"
"Manage Widget Instances","Administrar instancias de aplicación"
"New Widget Instance","Nueva instancia de aplicación"
"Next page","Página siguiente"
"Non-Anchor Categories","Categorías de anclaje no"
"Not Selected","No seleccionado"
"Open Chooser","Abrir el buscador"
"Page","Página"
"Previous page","Página anterior"
"Products","Productos"
"Remove Layout Update","Eliminar actualización de diseño"
"Save and Continue Edit","Guardar y continuar editando"
"Select All","Seleccionar Todo"
"Select Visible","Seleccionar los visibles"
"Settings","Configuraciones"
"Sort Order","Ordenación"
"Specified Page","Página especificada"
"Template","Plantilla"
"The information in this tab has been changed.","Se ha cambiado la información de esta etiqueta."
"The widget instance has been deleted.","Se eliminó la instancia de aplicación."
"The widget instance has been saved.","Se guardó la instancia de aplicación."
"Thumbnail","Miniatura"
"Type","Tipo"
"Unselect All","Deseleccionar todo"
"Unselect Visible","Deseleccionar los visibles"
"View","Ver"
"Widget","Aplicación"
"Widget ID","ID de aplicación"
"Widget Insertion","Inserción del widget"
"Widget Options","Opciones de aplicación"
"Widget Type","Tipo de aplicación"
"Widgets","Reproductores"
"per page","por página"
