"Add Minimum Qty","Añadir cantidad mínima"
"Allow Qty Below 0","Permitir cantidad menor que 0"
"Allow Qty Below 0 and Notify Customer","Permitir cantidad menor que 0 y notificar al cliente"
"Automatically Return Credit Memo Item to Stock","Devolver automáticamente artículo de factura de abono a existencias"
"Backorders","Pedidos pendientes"
"By Fixed value","Por valor fijo"
"By Percentage","Por porcentaje"
"Catalog Inventory","Inventario del Catálogo"
"Decrease Stock When Order is Placed","Disminuir las existencias cuando se realiza un pedido"
"Display Out of Stock Products","Visualizar los artículos agotados"
"Enable Qty Increments","Habilitar incrementos de cantidad"
"In Stock","En Stock"
"Inventory","Inventario"
"Inventory API","API de Inventario"
"Manage Stock","Gestionar existencias"
"Maximum Qty Allowed in Shopping Cart","Cantidad máxima permitida en el carrito de compras"
"Minimum Qty","Cantidad mínima"
"Minimum Qty Allowed in Shopping Cart","Cantidad mínima permitida en el carrito de compras"
"No Backorders","No hay pedidos pendientes"
"Notify for Quantity Below","Notificar cuando la cantidad sea inferior a"
"Only X left Threshold","Quedan X en almacén desde"
"Out of Stock","Sin stock"
"Product Name","Nombre del Producto"
"Product Stock Options","Opciones de existencias de artículo"
"Products will still be shown by direct product URLs.","Los artículos se seguirán mostrando por URL de artículo directa."
"Qty","Cantidad"
"Qty Increments","Incrementos de cantidad"
"Retrieve stock data by product ids","Devuelve datos del stock por ID de producto"
"Rule price","Regla de precio"
"Set Items' Status to be In Stock When Order is Cancelled","Restablecer las existencias cuando la orden de venta se cancele"
"Stock Options","Opciones de Stock"
"Stock Status","Estado de Stock"
"The maximum quantity allowed for purchase is %s.","La cantidad máxima permitida para la compra es %s."
"The minimum quantity allowed for purchase is %s.","La cantidad mínima permitida para la compra es %s."
"The requested quantity for ""%s"" is not available.","La cantidad solicitada para ""%s"" no se encuentra disponible."
"The stock item for Product in option is not valid.","El estado de existencia para la opción seleccionada no es válida."
"This product is currently out of stock.","El producto está actualmente fuera de stock."
"To Fixed Value","Para valor fijo"
"To Percentage","Para porcentaje"
"Update","Actualizar"
"Update product stock data","Actualizar información de stock del producto"
"Update the Product","Actualizar el artículo"
