"* Required Fields","* Campos Requeridos"
"-- Select --","-- Seleccione --"
"Add New Option","Nueva opción"
"As Low as","Tan bajo como"
"As low as","Tan bajo como"
"Bundle Items","Elementos en paquete"
"Buy %1$s for %2$s","Compre %1$s por %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Compre %1$s por %2$s (%3$s incl. impuestos) cada uno"
"Buy %1$s for %2$s each","Compre %1$s por %2$s cada uno"
"Checkbox","Casilla de verificación"
"Choose a selection...","Elija una selección..."
"Click for price","Haga click para ver precio"
"Close","Cerrar"
"Default","Por defecto"
"Default Qty","Cantidad (predeterminado)"
"Default Title","Título (predeterminado)"
"Drop-down","Menú desplegable"
"Dynamic","Dinámica"
"Excl. Tax","Impuestos no incluídos"
"Fixed","Fijo"
"From","De"
"From:","De:"
"Gift Message","Mensaje de regalo"
"Incl. Tax","Incl. impuestos"
"Input Type","Introducir tipo"
"Is Required","Es requerido"
"Message:","Mensaje:"
"Multiple Select","Selección múltiple"
"N/A","No disponible"
"No options of this product are available.","No hay opciones disponibles de este artículo."
"None","Ninguno"
"Percent","Porcentaje"
"Percent Discount","Porcentaje de descuento"
"Please Select Products to Add","Por favor, seleccione artículos a añadir"
"Please enter a number greater 0 in this field.","Por favor, introduzca un número mayor que 0 en este campo."
"Please specify product option(s).","Por favor, especifique la(s) opción(es) del producto."
"Position","Destacados"
"Price Range","Rango de precios"
"Price Type","Tipo de precio"
"Qty:","Cant:"
"Radio Buttons","Botones de radio"
"SKU","Art"
"Separately","Por separado"
"Ship Bundle Items","Enviar artículos de paquete"
"Shipment","Envío"
"Store View Title","Título de vista de tienda"
"To","Para"
"To:","Para:"
"Together","Juntos"
"Use Default Value","Usar Valor Predeterminado"
"and","y"
"save","guardar"
