"Action","Acción"
"Are you sure you want to delete the selected backup(s)?","¿Está seguro de que quiere eliminar la(s) copia(s) de seguridad seleccionada(s)?"
"Backups","Copias de seguridad"
"Create Backup","Crear copia de seguridad"
"Database","Base de datos"
"Database Backup","Backup de base de datos"
"Database and Media","Base de datos y archivos multimedia"
"Database and Media Backup","Copia de seguridad de la base de datos y de los archivos multimedia"
"Database was successfuly backed up.","El backup de la base de datos ha sido realizado con &eacute;xito."
"Download","Descargar"
"Enable Scheduled Backup","Activar copia de seguridad programada"
"Frequency","Frecuencia"
"Maintenance Mode","Modo de mantenimiento"
"Name","Nombre"
"Rollback","Wiederherstellung"
"Start Time","Tiempo de inicio"
"System","Sistema"
"System (excluding Media)","Sistema (excluyendo los archivos multimedia)"
"System Backup","Copia de seguridad del Sistema"
"Time","Hora"
"Type","Tipo"
"Unable to create backup. Please, try again later.","No es posible crear el backup. Por favor, intente nuevamente en unos minutos."
