"Actions","Acciones"
"Active","Activo"
"Add New Rule","Agregar nueva Regla"
"Alphabetical","Alfabético"
"Alphanumeric","Alfanumérico"
"Apply","Aplicar"
"Apply To","Aplicar A"
"Apply to Shipping Amount","Aplíquese a la cantidad de envío"
"Are you sure you want to delete the selected coupon(s)?","¿Está seguro de que quiere eliminar el cupón/los cupones seleccionado(s)?"
"Auto","Automático"
"Auto Generated Specific Coupon Codes","Códigos de cupones específicos generados automáticamente"
"Buy X get Y free (discount amount is Y)","Compre X y llévese Y gratis (la cantidad descontada es Y)"
"By Fixed value","Por valor fijo"
"By Percentage","Por porcentaje"
"Can't acquire coupon.","No se puede adquirir el cupón."
"Cart Attribute","Atributos del carrito"
"Catalog","Catálogo"
"Code Format","Código de formato"
"Code Length","Código de longitud"
"Code Prefix","Código de prefijo"
"Code Suffix","Código de sufijo"
"Conditions","Condiciones"
"Conditions combination","Combinación de condiciones"
"Coupon","Cupón"
"Coupon Code","Código de cupón"
"Coupon Qty","Código de cantidad"
"Coupon with the same code","Cupón con el mismo código"
"Created On","Creado"
"Customer Groups","Grupos de Clientes"
"Dash Every X Characters","Guión cada ""X"" caracteres"
"Default Label","Etiqueta (predeterminada)"
"Default Rule Label for All Store Views","Etiqueta normativa para todas las vistas de tienda (predeterminada)"
"Description","Descripción"
"Discount Amount","Cantidad descontada"
"Discount Qty Step (Buy X)","Paso de cantidad descontada (comprar X)"
"Edit Rule","Editar Regla"
"Excluding prefix, suffix and separators.","Excluyendo prefijos, sufijos y separaciones."
"FOUND","ENCONTRADO"
"Fixed amount discount","Descuento de cantidad fija"
"Fixed amount discount for whole cart","Descuento de cantidad fija para el carro completo"
"For matching items only","De elementos coincidentes sólo"
"For shipment with matching items","Para el envío con los artículos a juego"
"Free Shipping","Transporte gratuito"
"General Information","Información general"
"Generate","Generar"
"ID","Número de Identificación (ID)"
"If empty no separation.","Si está vacío no hay separación."
"Inactive","Inactivo"
"Labels","Etiquetas"
"Maximum Qty Discount is Applied To","Se aplica la máxima cantidad descontada"
"NOT FOUND","NO ENCONTRADO"
"NOT LOGGED IN","NO LOGUEADO"
"New Rule","Nueva Regla"
"No","No 	"
"No Coupon","Sin cupón"
"Number of Uses","Número de usos"
"Numeric","Numérico"
"Payment Method","Método de pago"
"Percent of product price discount","Porcentaje de descuento en el precio del artículo"
"Period","Período"
"Price in cart","Precio en el carrito"
"Priority","Prioridad"
"Product attribute combination","Combinación de atributos de artículo"
"Products subselection","Subselección de artículos"
"Promotions","Promociones"
"Public In RSS Feed","Público en RSS Feed"
"Quantity in cart","Cantidad en el carrito"
"Row total in cart","Total de filas en el carrito"
"Rule Information","Información sobre la regla"
"Rule Name","Nombre de la regla"
"Rule is not defined","Regla no definida"
"Save and Continue Edit","Guardar y continuar editando"
"Shipping Country","País de envío"
"Shipping Method","Método de envío"
"Shipping Postcode","Código postal"
"Shipping Region","Región de envío"
"Shipping State/Province","Provincia/Estado de envío"
"Special Price","Precio especial"
"Specific Coupon","Cupón específico"
"Status","Estado"
"Store View Specific Labels","Etiquetas específicas de la vista de tienda"
"This rule no longer exists.","Esta regla ya no existe."
"Times Used","Tiempos utilizados"
"To Fixed Value","Para valor fijo"
"To Percentage","Para porcentaje"
"Total","Totals"
"Total Amount","Cantidad total"
"Total Items Quantity","Cantidad total de artículos"
"Total Weight","Peso total"
"Update the Product","Actualizar el artículo"
"Use Auto Generation","Utilizar generación automática"
"Used","Utilizado"
"Uses per Coupon","Usos por cupón"
"Uses per Customer","Usos por cliente"
"Website","Página web"
"Websites","Sitios web"
"Yes","Si"
"total amount","Cantidad total"
"total quantity","Suma total"
