"* Required Fields","* Campos Requeridos"
"Add All to Cart","Agregar todo al Carrito"
"Add to Cart","Agregar al Carrito"
"Add to Compare","Añadir para comparar"
"Add to Wishlist","Añadir a lista que quieres"
"Back","Volver"
"Cannot specify product.","No se pudo especificar artículo."
"Click for price","Haga click para ver precio"
"Comment","Comentario"
"Comment:","Comentario:"
"Date Added","Fecha creación"
"Days in Wishlist","Dias en la Lista de Deseos"
"Edit","Editar"
"Email Sender","Remitente de correo electrónico"
"Email Template","Plantilla de email"
"Email addresses, separated by commas","Direcciones de correo electrónico, separadas por comas"
"Enabled","Habilitado"
"General Options","Opciones generales"
"In stock","En stock"
"Last Added Items","Últimos elementos añadidos"
"Message","Mensaje"
"My Wishlist","Mi Lista de Deseos"
"Options Details","Detalles de las opciones"
"Out of stock","Sin stock"
"Price","Precio"
"Product","Producto"
"Product Details and Comment","Detalles del artículo y comentarios"
"Qty","Cantidad"
"RSS Feed","Fuente RSS"
"Remove Item","Eliminar elemento"
"Remove This Item","Eliminar este artículo"
"Remove item","Eliminar artículo"
"SKU","Art"
"Share Options","Opciones para compartir"
"Sharing Information","Compartiendo información"
"User Description","Descripción del usuario"
"View Details","Ver Detalles"
"View Product","Ver Producto"
"What's this?","¿Qué es esto?"
"Wishlist","Lista de deseos"
