"10 minutes","10 minutos"
"15 minutes","15 minutos"
"20 minutes","20 minutos"
"30 minutes","30 minutos"
"5 minutes","5 minutos"
"Cron (Scheduled Tasks) - all the times are in minutes","Cron (Tareas Programadas) - todos valores de tiempo est&aacute;n en minutos."
"Daily","Diario"
"Failure History Lifetime","Período de validez del historial de errores"
"For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set.","Para asegurarse de obtener URLs correctas mientras las tareas cron se ejecutan, asegurese de tener las direcciones URLs de Sitio Seguro y Sitio sin seguridad expl&iacute;citamente seteadas (Web -> URL Sitio Seguro y URL Sitio)."
"Generate Schedules Every","Generar programas cada"
"History Cleanup Every","Borrar el historial cada"
"Hourly","Por hora"
"Invalid callback: %s::%s does not exist","Callback inv&aacute;lido: %s::%s no existe"
"Invalid model/method definition, expecting ""model/class::method"".","Definici&oacute;n de model/method inv&aacute;lido, se espera ""model/class::method""."
"Minute Intervals","Intervalos en minutos"
"Missed if Not Run Within","Falla si no se ejecuta dentro de"
"Monthly","Mensual"
"No callbacks found","No se encontraron callbacks"
"Schedule Ahead for","Programar con anticipación"
"Success History Lifetime","Período de validez del historial de ejecuciones correctas"
"Unable to delete the cron task.","No se puede borrar la tarea programada."
"Weekly","Semanal"
