"* Required Fields","* Povinné políčka"
"Admin","Správca"
"Close","Zavrieť"
"Created At","Vytvorené"
"Customer","Zákazník"
"Delete","Zmazať"
"Disable","Vypnúť"
"Disabled","Vypnuté"
"Edit","Upraviť"
"Email","E-mail"
"Email Address","E-mailová adresa"
"Enable","Zapnúť"
"Enabled","Zapnuté"
"Log In","Prihlásiť"
"Login","Prihlásiť sa"
"Name","Meno"
"Password","Heslo"
"Permissions","Oprávnenia"
"Role Name","Názov funkcie"
"Save","Uložiť"
"Save and Continue Edit","Uložiť a pokračovať v upravách"
"Status","Stav"
"System","Systém"
"User ID","ID užívateľa"
"User Name","Meno používateľa"
