"* Required Fields","* Povinné políčka"
"ALL GROUPS","VŠETKY SKUPINY"
"Account Information","Informácie o účte"
"Account Sharing Options","Možnosti zdielania účtu"
"Action","Akcia"
"Add New Address","Pridať novú adresu"
"Add New Customer","Pridať nového zákazníka"
"Add New Customer Group","Pridať novú skupinu zákazníkov"
"Added From","Pridané z"
"Additional Address Entries","Ďalšie položky adresy"
"Address","Adresa"
"Address Book","Adresár"
"Address Information","Informácie o adrese"
"Addresses","Adresy"
"Admin","Správca"
"All","Všetky"
"All Store Views","Všetky zobrazenia obchodu"
"All countries","Všetky krajiny"
"Amount","Množstvo"
"Approved","Schválený"
"Are you sure that you want to remove this item?","Naozaj chcete odstrániť túto položku?"
"Are you sure you want to cancel adding of this address?","Naozaj chcete zrušiť pridanie tejto adresy?"
"Are you sure you want to delete this address?","Ste si istí, že chcete odstrániť túto adresu?"
"Are you sure?","Ste si istí?"
"Average Sale","Priemerný predaj"
"Back","Späť"
"Back to Login","Späť na prihlásenie"
"Bad request.","Nesprávny požiadavok."
"Bill to Name","Fakturované na meno"
"Bought From","Nakúpené v"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Vytvorením osobného účtu v našom obchode získate možnosť prechádzať platobným procesom omnoho rýchlejšie, spravovať dodacie adresy, prezerať a sledovať svoje objednávky a iné."
"Cancel","Zrušiť"
"Change Account Password","Zmeniť heslo účtu"
"Change Billing Address","Zmena fakturačnej adresy"
"Change Password","Zmeniť heslo"
"Change Shipping Address","Zmeniť dodaciu adresu"
"City","Mesto"
"Company","Spoločnosť"
"Config","Konfigurácia"
"Configure","Nastaviť"
"Confirm New Password","Potvrdiť nové heslo"
"Confirm Password","Potvrdiť heslo"
"Confirmed","Potvrdené"
"Contact Information","Kontaktné informácie"
"Continue Shopping","Pokračovať v nákupe"
"Country","Krajina"
"Create New Account Options","Vytvoriť nové možnosti účtu"
"Create New Customer Account","Vytvoriť nový zákaznícky účet"
"Create Order","Vytvoriť objednávku"
"Create an Account","Vytvoriť účet"
"Current Password","Aktuálne heslo"
"Customer","Zákazník"
"Customer Addresses","Adresa zákazníka"
"Customer Configuration","Nastavenie zákazníka"
"Customer Group","Zákaznicka skupina"
"Customer Groups","Zákaznicke skupiny"
"Customer Information","Informácie o zákazníkovi"
"Customer Login","Zákaznícke prihlásenie"
"Customer Since","Zákazníkom od"
"Customer View","Pohľad zákazníka"
"Customers","Zákazníci"
"Customers Only","Len pre zákazníkov"
"Date","Dátum"
"Date Added","Datum pridania"
"Date of Birth","Dátum narodenia"
"Day","Deň"
"Days in Wishlist","Počet dní v Zozname prianí"
"Default Addresses","Predvolené adresy"
"Default Billing Address","Predvolená adresa pre fakturáciu"
"Default Email Domain","Predvolená e-mailová doména"
"Default Group","Predvolená skupina"
"Default Shipping Address","Predvolená adresa doručenia"
"Delete","Zmazať"
"Delete Address","Zmazať adresu"
"Delete Customer","Odstrániť zákazníka"
"Delete Customer Group","Odstrániť skupinu zákazníkov"
"Deleted Stores","Odstránené Obchody"
"Details","Podrobnosti"
"Disabled","Vypnuté"
"Edit","Upraviť"
"Edit Account Information","Upraviť informácie účtu"
"Edit Address","Upraviť adresu"
"Edit Address Entry","Upraviť záznam adresy"
