"# of Use","# počet použití"
"%s Item(s)","Položiek: %s"
"(Copy data from: %s)","(Kopírovať údaje z: %s)"
"* Required Fields","* Povinné políčka"
"-- Please Select --","-- Prosím vyberte --"
"A group with the same name already exists.","Skupina s rovnakým názvom už existuje."
"A name is required","Názov je povinný"
"A product type is not defined for the indexer.","Typ výrobku nie je definovaný pre indexovanie."
"ALL GROUPS","VŠETKY SKUPINY"
"AM","predo."
"Action","Akcia"
"Add","Pridať"
"Add Attribute","Pridať atribút"
"Add Design Change","Pridať zmenu dizajnu"
"Add Group","Pridať skupinu"
"Add New","Pridať nové"
"Add New Attribute","Pridať nový atribút"
"Add New Attribute Set","Pridať novú sadu atribútov"
"Add New Group","Pridať novú skupinu"
"Add New Images","Pridať nové obrázky"
"Add New Option","Pridať novú možnosť"
"Add New Row","Pridať nový riadok"
"Add New Search Term","Pridať nový hľadaný výraz"
"Add New Set","Pridať novú sadu"
"Add Product","Pridať produkt"
"Add Product To Websites","Pridať produkt do webových stránok"
"Add Root Category","Pridať základnú kategóriu"
"Add Subcategory","Pridať podkategóriu"
"Add Tax","Pridať daň"
"Add Tier","Pridať vrstvu"
"Add to Cart","Pridať do košíka"
"Add to Compare","Pridať k porovnaniu"
"Add to Wishlist","Pridať do zoznamu prianí"
"Additional Information","Ďalšie informácie"
"All","Všetky"
"All Product Types","Všetky typy produktu"
"All Websites","Všetky skupiny obchodov(websites)"
"All products","Všetky produkty"
"All products - recently added products, New products - products marked as new","Všetky produkty - naposledy pridané produkty, Nové výrobky - výrobky označené ako nové"
"Allow All Products per Page","Povoliť možnost zobraziť všetky produkty"
"Amount","Množstvo"
"Anchor Custom Text","Vlastný Text kotvy"
"Anchor Custom Title","Vlastný titulok kotvy"
"Apply To","Použiť na"
"Approved","Schválený"
"Are you sure you want to delete this category?","Naozaj chcete odstrániť túto kategóriu?"
"Are you sure you would like to remove this item from the compare products?","Ste si istý, že chcete odstrániť túto položku z porovnávania produktov?"
"Are you sure?","Ste si istí?"
"As low as:","Len:"
"Assign","Priradiť"
"Associated Products","Súvisiace produkty"
"Attrib. Set Name","Názov sady vlastností"
"Attribute Information","Informácie atribútu"
"Attribute Model","Model vlastnosti"
"Attribute Name:","Názov vlastnosti:"
"Attribute Set","Sada atribútov"
"Attribute Sets","Sada atribútov"
"Attribute with the same code already exists","Vlastnosť s rovnakým kódom už existuje."
"Attributes","Atribúty"
"Autogenerate","Automatické generovanie"
"Availability:","Dostupnosť:"
"Back","Späť"
"Backend Model","Model Backend-u"
"Backend Table","Tabuľka Backend-u"
"Backend Table Title","Názov tabuľky Backend-u"
"Backorders","Do-objednávky"
"Based On","Na základe"
"Best Value","Najlepšej hodnoty"
"Bottom/Left","Dole/Vľavo"
"Bottom/Right","Dole/Vpravo"
"Browse By","Prechádzať podľa"
"Bundle Items","Súbor položiek"
"Cache Lifetime (Seconds)","Životnosť vyrovnávacej pamäte (v sekundách)"
"Can be used only with catalog input type Dropdown","Môže byť použité iba s katalógovým typom Dropdown (rozbaľovacie menu)"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Môže byť použité iba s katalógovým typom Dropdown (rozbaľovacie menu), Multiple Select (viacnásobný výber) a Cena"
"Cancel","Zrušiť"
"Cart Item Attribute","Vlastnosť položky košíka"
"Catalog","Katalóg"
"Catalog Category Link","Odkaz na kategóriu v katalogu"
"Catalog New Products List","Nový zoznam produktov katalogu"
"Catalog Price Scope","Rozsah katalógovej ceny"
"Catalog Product Link","Odkaz na produkt v katalogu"
"Catalog Section","Výber katalógu"
"Catalog, Search","Katalóg a vyhľadávanie"
"Categories","Kategórie"
"Categories Sitemap","Mapa stránok kategórií"
"Category","Kategória"
"Category Data","Údaje kategórie"
"Category Flat Data","Predpripravné data kategórie"
"Category Link Block Template","Šablóna odkazu na kategóriu ako blok"
"Category Link Inline Template","Šablóna odkazu na kategóriu v riadku"
"Category Products","Produkty kategórie"
"Category Top Navigation","Menu v hlavičke stránky"
"Category move error","Chyba pri presune kategórie"
"Center","Stred"
"Change","Zmeniť"
"Change status","Zmeniť stav"
"Check items to add to the cart or","Zaškrtnite položky pre pridanie do košíka alebo"
"Choose an Option...","Vyberte možnosť..."
"Clear All","Vymazať všetky"
"Clear Price","Vymazať cenu"
"Click for price","Pre cenu kliknite"
"Close Window","Zavrieť okno"
"Collapse All","Zbaliť všetko"
"Comma-separated.","Oddelené čiarkou."
"Comparable","Porovnateľné"
"Comparable on Front-end","Porovnateľný na Frontend-e"
"Compare","Porovnať"
"Compare Products","Porovnať produkty"
"Conditions Combination","Kombinácie podmienok"
"Configurable Product","Konfigurovateľný produkt"
"Configurable Product Settings","Nastavenie konfigurovateľného produktu"
"Configure Product","Konfigurácia produktu"
"Continue","Pokračovať"
"Copy From Configurable","Skopírovať z konfigurovateľného"
"Create Empty","Vytvoriť prázdny"
"Create Permanent Redirect for old URL","Pre starú URL vytvoriť trvalé presmerovanie"
"Create Product Settings","Vytvoriť nastavenia produktu"
"Create Simple Associated Product","Vytvoriť jednoduchý súvisiaci produkt"
"Cross-sells","Zaujmavé produkty"
"Custom Design","Vlastný dizajn"
"Custom Options","Vlastné možnosti"
"Customer Group","Zákaznicka skupina"
"Customers Reviews","Recenzie zákazníkov"
"Customers Tagged Product","Zákaznícke štítky produktu"
"Data Type for Saving in Database","Dátový typ pre uloženie v databázi"
"Date & Time Custom Options","Vlastné možnosti dátumu a času"
"Date Fields Order","Poradie políčok v dátume"
"Date Subscribed","Dátum zapísania"
"Datetime","Dátum a čas"
"Decimal","Desatinné"
"Declare attribute value saving scope","Deklarovať vlastnosť hodnoty pri ukladaní rozsahu."
"Default Price","Predvolená cena"
"Default Qty","Predvolené množ."
"Default Values","Predvolené hodnoty"
"Delete","Zmazať"
"Delete Attribute","Odstrániť atribút"
"Delete Attribute Set","Zmazať sadu vlastností"
"Delete Category","Zmazať kategóriu"
"Delete Option","Odstrániť možnosť"
"Delete Row","Odstrániť riadok"
"Delete Search","Zmazať vyhľadávanie"
"Delete Selected Group","Odstrániť vybranú skupinu"
"Description","Popis"
"Design","Dizajn"
"Details","Podrobnosti"
"Disabled","Vypnuté"
"Display Page Control","Zobraziť ovládací prvok stránky"
"Display Type","Zobraziť typ"
"Display in Suggested Terms","Zobraziť v doporučených výrazoch"
"Double click on a group to rename it","Pre premenovanie skupiny použite dvojklik"
"Downloadable Information","Stiahnuteľná informácia"
"Duplicate","Kopírovať"
"Duplicate website tier price customer group and quantity.","Kopírovať webovú vrstvu ceny pre zákaznícku skupinu a množstvo"
"Edit","Upraviť"
"Edit Attribute Set '%s'","Upraviť sadu vlastností '%s'"
"Edit Product Attribute","Upraviť atribút produktu"
"Edit Search","Upraviť vyhľadávanie"
"Edit Search '%s'","Upraviť vyhľadávanie '%s'"
"Email","E-mail"
"Email to a Friend","Poslať známemu"
"Empty","Prázdne"
"Enable Qty Increments","Povoliť množstvo po krokoch"
"Enabled","Zapnuté"
"Error during retrieval of option value: %s","Chyba počas prijímania hodnoty voľby: %s"
"Exclude","Vylúčiť"
"Expand All","Rozbaliť všetko"
"Failed","Nepodarilo sa"
"Failed to move file: %s","Chyba pri presune súboru: %s"
"Feature Products","Hlavné produkty"
"Filterable (no results)","Filtrovateľný (bez výsledkov)"
"Filterable (with results)","Filtrovateľný (s výsledkami)"
"First Name","Meno"
"Fixed","Pevné"
"Frontend","Zobrazenie: Frontend"
"Frontend Model","Model Frontend-u"
"Frontend Properties","Vlastnosti Frontend-u"
"Gallery","Galéria"
"General Information","Všeobecné informácie"
"Global","Globálne"
"Globally Editable","Globálne upravitelné"
"Go to Home Page","Prejdite na domovskú stránku"
"Grid","Mriežka"
"Grouped Product","Zoskupený produkt"
"Groups","Skupiny"
"Home","Domov"
"Image","Obrázok"
"Image type and information need to be specified for each store view.","Pre každý pohľad obchodu je potrebné špecifikovať typ obrázku a informácie."
"In Stock","Skladom"
"In stock","Skladom"
