"Actions","Akcie"
"Are you sure?","Ste si istí?"
"Date Added","Datum pridania"
"Last Update","Posledná aktualizácia"
"Mark as Read","Označiť ako prečítané"
"Message","Správa"
"Messages Inbox","Schárnka prijatých správ"
"Notifications","Oznámenia"
"Please select messages.","Prosím vyberte správy."
"Read Details","Prečítať Podrobnosti"
"Remove","Odstrániť"
"Severity","Závažnosť"
"Show List","Zobraziť zoznam"
"Show Toolbar","Zobraziť panel s nástrojmi"
"The message has been removed.","Správa bola odstránená."
"Update Frequency","Frekvencia aktualizácií"
"Use HTTPS to Get Feed","Získajte Feed pomocou HTTPS"
"Wrong message type","Nesprávny typ správy"
"critical","kritické"
"major","hlavné"
"minor","vedlajšie"
"notice","oznámenie"
