"%s - Discounts and Coupons","%s - Zľavy a kupóny"
"%s has reached a quantity of %s.","%s dosiahlo množstvo %s."
"Cannot retrieve the wishlist","Nie je možné obnoviť Zoznam prianí"
"Catalog","Katalóg"
"Click for price","Pre cenu kliknite"
"Comment: %s<br/>","Komentár: %s<br/>"
"Coupons/Discounts","Kupóny/Zľavy"
"Current Status: %s<br/>","Aktuálne stavy: %s<br/>"
"Customer Name: %s","Meno zákazníka: %s"
"Customer Order Status Notification","Upozornenia zákazníkov o stavoch objednávky"
"Details for %s #%s","Podrobnosti o %s č.%s"
"Discount","Zľava"
"Discount (%s)","Zľava (%s)"
"Enable RSS","Povoliť RSS"
"Error in processing xml. %s","chyba pri spracovaní xml. %s"
"From:","Od:"
"Get Feed","Získať kanál"
"Gift Message","Venovanie"
"Grand Total","Celkový súčet"
"Low Stock Products","Produkty s nízkym stavom"
"Message:","Správa:"
"New Orders","Nové objednávky"
"New Products","Nové produkty"
"New Products from %s","Nové produkty z %s"
"Notified Date: %s<br/>","Dátum upozornenia: %s<br/>"
"Order","Objednávka"
"Order # %s Notification(s)","Objednávka č. %s upozornenia"
"Order #%s created at %s","Objednávka č.%s bola vytvorená %s"
"Products tagged with %s","Produkt obsahuje štítky %s"
"Purchased From: %s","Zakúpené z: %s"
"RSS Feeds","RSS kanály"
"Review: %s <br/>","Recenzia: %s <br/>"
"Rss Config","Nastavenie RSS"
"Shipping &amp; Handling","Poštovné &amp; balné"
"Special Products","Zlacnené produkty"
"Store: %s <br/>","Obchod: %s <br/>"
"Subtotal","Medzisúčet"
"Summary of review: %s <br/>","Prehľad recenzie: %s <br/>"
"Tags Products","Štítky produktov"
"Tax","Daň"
"To:","Pre:"
"Top Level Category","Kategória najvyššej úrovne"
"Total: %s<br/>","Spolu: %s<br/>"
"Wishlist","Zoznam želaní"
