"* Required Fields","* Povinné políčka"
"Comment","Poznámka"
"Contact Form","Kontaktný formulár"
"Contact Information","Kontaktné informácie"
"Contact Us","Kontaktujte nás"
"Contacts","Kontakty"
"Email","E-mail"
"Email Options","Vlastnosti e-mailu"
"Email Sender","Odosielateľ emailu"
"Email Template","Šablóny emailov"
"Enable Contact Us","Povoliť kontaktujte nás"
"Name","Meno"
"Send Emails To","Poslať e-maily pre"
"Submit","Potvrdiť"
"Telephone","Telefón"
"Unable to submit your request. Please, try again later","Vašu žiadosť nie je možné odoslať. Prosím, skúste neskôr."
