"-- Please Select --","-- Prosím vyberte --"
"Add Secret Key to URLs","Pridať tajný kľúč k webovým adresám"
"Add Store Code to Urls","Pridať kód obchodu do URL"
"Admin","Správca"
"Admin Base URL","Základná adresa (URL) administrácie"
"Advanced","Rozšírené"
"Allow Countries","Povolené krajiny"
"Allowed IPs (comma separated)","Povolené IP adresy (oddelené čiarkou)"
"Anchor Text for Next","Text kotvy pre následujúci"
"Anchor Text for Previous","Text kotvy pre predchádzajúci"
"Are you sure?","Ste si istí?"
"Auto-redirect to Base URL","Automatické presmerovanie na základnú URL"
"Back","Späť"
"Backup Options","Možnosti zálohy"
"Base JavaScript URL","Základné URL pre JavaScript"
"Base Link URL","Základný odkaz URL"
"Base Media URL","Základné URL pre médiá"
"Base Skin URL","Základné URL pre vzhľad"
"Base URL","Základná URL"
"CSS Settings","Nastavenia CSS"
"Cache Storage Management","Správa ukladacieho priestoru vyrovnávacej pamäte"
"Can't retrieve request object","Nemožno získať objekt požiadavky"
"Cancel","Zrušiť"
"Card type does not match credit card number.","Typ karty nezodpovedná zadanému číslu kreditnej karty."
"Code","Kód"
"Controller file was loaded but class does not exist","Ovládací súbor bol načítaný, ale trieda neexistuje"
"Cookie Domain","Doména cookie"
"Cookie Lifetime","Životnosť cookie"
"Cookie Path","Cesta cookie"
"Country","Krajina"
"Create Store","Vytvoriť obchod"
"Create Store View","Vytvoriť zobrazenie obchodu"
"Create Website","Vytvoriť skupinu obchodov(website)"
"Credit card number does not match credit card type.","Číslo karty nezodpovedná zadanému typu kreditnej karty."
"Custom Admin Path","Odlišná cesta pre administráciu"
"Custom Admin URL","Odlišná adresa pre administráciu"
"Custom Design","Vlastný dizajn"
"Custom Email 1","Vlastný E-mail 1"
"Custom Email 2","Vlastný E-mail 2"
"Customer Support","Zákaznícka podpora"
"Dashboard","Hlavný panel"
"Date From","Dátum od"
"Date To","Dátum do"
"Debug","Ladenie"
"Default","Predvolené"
"Default Country","Predvolená krajina"
"Default Description","Predvolený Popis"
"Default No-route URL","Predvolená adresa neexistujúcej stránky"
"Default Pages","Predvolené stránky"
"Default Store","Predvolený obchod"
"Default Store View","Predvolené zobrazenie obchodu"
"Default Title","Predvolený názov"
"Default Web URL","Predvolenú adresa URL"
"Delete","Zmazať"
"Delete Store","Odstrániť obchod"
"Delete Store View","Odstrániť zobrazenie obchodu"
"Delete Website","Zmazať webstránky"
"Design","Dizajn"
"Design Change","Zmena dizajnu"
"Developer","Programátor"
"Developer Client Restrictions","Obmedzenia vývojárskeho klienta"
"Disable Email Communications","Zakázať komunikáciu cez e-mail"
"Disable Modules Output","Zakázať výstup modulov"
"Duplicate Of Template Name","Duplicitný názov šablóny"
"Edit Design Change","Upraviť zmenu dizajnu"
"Edit Store","Upraviť obchod"
"Edit Store View","Upraviť zobrazenie obchodu"
"Edit Website","Upraviť webstránky"
"Empty identifier field name","Názov prázdneho identifikačného poľa"
"Empty main table name","Názov prázdnej hlavnej tabuľky"
