" [deleted]"," [zmazané]"
"(For US 2-letter state names)","(Pre USA 2-znakový názov štátu)"
"(If left empty will be auto-generated)","(Pokiaľ necháte prázdne, bude automaticky vygenerované)"
"(Leave empty for first spreadsheet)","(Nechajte prázdné pre prvý zošit)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Produkt bude pridaný/aktualizovaný do tohto 'obchodu', pokiaľ je stĺpec prázdny, alebo chýba v importnom súbore.)"
"(Starting with)","(Začína s)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(Pokiaľ 'Nie', budú importované iba priradené polia. Ak priraďujete pole, použite 'stĺpec1', 'stĺpec2', atď.)"
"* Required Fields","* Povinné políčka"
"-- Please Select --","-- Prosím vyberte --"
"-- Please Select a Category --","-- Prosím vyberte kategóriu --"
"-- Please select --","-- Prosím vyberte --"
"--Please Select--","--Prosím vyberte--"
"1 Hour","1 hodina"
"12 Hours","12 hodín"
"12h AM/PM","12h doob./poob."
"2 Hours","2 hodiny"
"24 Hours","24 hodín"
"2YTD","Od začiatku minulého roku"
"6 Hours","6 hodín"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">chyba 404 </h1> <p>Stránka nenájdená.</p>"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Pozor</strong>: Rozlišujte malé a veľké písmená."
"About the calendar","O kalendári"
"Account Created in:","Účet vytvorený v:"
"Account Created on:","Účet vytvorený dňa:"
"Account Information","Informácie o účte"
"Account status","Stav účtu"
"Action","Akcia"
"Actions","Akcie"
"Actions XML","Operácie XML"
"Active","Aktívny"
"Add","Pridať"
"Add Field Mapping","Pridajte pole mapovania"
"Add New","Pridať nové"
"Add New Block","Pridať nový blok"
"Add New Image","Pridať nový obrázok"
"Add New Profile","Pridať nový profil"
"Add New Role","Pridať novú funkciu"
"Add New Template","Pridať novú šablónu"
"Add New User","Pridať nového užívateľa"
"Add Products","Pridať produkty"
"Additional Cache Management","Dodatočná správa vyrovnávacej pamäte"
"Address Type:","Typ adresy:"
"Admin","Správca"
"Advanced Profiles","Rozšírený profil"
"All","Všetky"
"All Allowed Countries","Všetky povolené krajiny"
"All Cache","Všetky Cache"
"All Files","Všetky súbory"
"All Store Views","Všetky zobrazenia obchodu"
"All Tags","Všetky štítky"
"All Websites","Všetky skupiny obchodov(websites)"
"All countries","Všetky krajiny"
"All fields","Všetky polia"
"All valid rates have been saved.","Všetky platné sadzby boli uložené."
"Amounts","Sumy"
"An error occurred while clearing the JavaScript/CSS cache.","Pri mazaní cache pre JavaScript/CSS sa vyskytla chyba."
"An error occurred while clearing the image cache.","Pri čistení obrazu cache sa vyskytla chyba."
"An error occurred while saving account.","Pri ukľadaní účtu sa vyskytla chyba."
"Any","Akékoľvek"
"Any Attribute Set","Ľubovoľná skupina atribútov"
"Any Group","Ľubovoľná skupina"
"Any Status","Ľubovoľný stav"
"Any Store","Ľubovoľný obchod"
"Any Type","Ľubovoľný typ"
"Any Visibility","Ľubovoľná viditeľnosť"
"Archive file name:","Názov súboru v archíve:"
"Are you sure that you want to delete this template?","Naozaj chcete zmazať túto šablónu?"
"Are you sure that you want to strip tags?","Naozaj chcete odobrať štítky?"
"Are you sure you want to do this?","Ste si istí, že chcete to chcete urobiť?"
"As low as:","Len:"
"Assigned","Priradený"
"Attribute Set Name:","Názov množiny vlastností:"
"Attributes","Atribúty"
"Automatic (equalize price ranges)","Automatické (vyrovnávanie cenových rozsahov)"
"Automatic (equalize product counts)","Automaticky (vyrovnať počty produktu)"
"Average Order Amount","Priemerná hodnota objednávky"
"Average Orders","Priemerná cena objednávky"
"Back","Späť"
"Back to Login","Späť na prihlásenie"
"Backup","Záloha"
"Backup Name","Názov zálohy"
"Backup options","Možnosti zálohovania"
"Backups","Zálohovanie"
"Base currency","Základná mena"
"Bestsellers","Najpredávanejšie"
"Billing Address","Adresa pre fakturáciu"
"Billing Agreements","Súhlasy fakturácie"
"Block Information","Blok informácií"
"Both (without and with tax)","Obe (bez a s daňou)"
"Browse Files...","Prechádzať súbory..."
"CSV / Tab separated","CSV / TAB (oddelené tabulátorom)"
"Cache Control","Riadenie cache"
"Cache Type","Typ vyrovnávacej pamäte"
"Cancel","Zrušiť"
"Card Verification Number","Overovacie číslo karty"
"Catalog","Katalóg"
"Catalog Price Rules","Pravidlá katalógovej ceny"
"Catalog Rewrites","Prepisy katalógu"
"Categories","Kategórie"
"Category","Kategória"
"Checkbox","Zaškrtávacie políčko"
"Choose an attribute","Zvoľte vlastnosť"
"Clear","Vyčistiť"
"Close","Zavrieť"
"Code","Kód"
"Complete","Dokončené"
"Configuration","Konfigurácia"
"Confirm New Password","Potvrdiť nové heslo"
"Connect with the Magento Community","Navštíviť Magento komunitu"
"Continue","Pokračovať"
"Convert to Plain Text","Konvertovať na obyčajný Text"
"Country","Krajina"
"Country:","Krajina:"
"Coupons","Poukážky"
"Create DB Backup","Vytvoriť zálohu DB"
"Create New Attribute","Vytvoriť nový atribút"
"Created At","Vytvorené"
"Credit Card Number","Číslo kreditnej karty"
"Credit Card Number: xxxx-%s","Číslo platobnej karty: xxxx-%s"
"Credit Card Type","Typ kreditnej karty"
"Credit Card Type: %s","Typ platobnej karty: %s"
"Credit Memo History","História dobropisov"
"Credit Memo Totals","Dobropisov celkovo"
"Credit Memos","Dobropisy"
"Currency","Mena"
"Currency Information","Informácie o mene"
"Current Configuration Scope:","Aktuálny rozsah nastavenia:"
"Current Month","Aktuálny mesiac"
"Custom","Vlastné"
"Customer","Zákazník"
"Customer Group:","Zákaznícka skupina:"
"Customer Groups","Zákaznicke skupiny"
"Customer Name","Meno zákazníka"
"Customer Since:","Zákazníkom od:"
"Customer Tax Classes","Zákaznícke daňové skupiny"
"Customer with the same email already exists.","Zákazník s rovnakým e-mailom už existuje."
"Customers","Zákazníci"
"Dashboard","Hlavný panel"
"Data Format","Formát dát"
"Data transfer:","Prenos dát:"
"Database","Databáza"
"Date","Dátum"
"Date Added","Datum pridania"
"Date Updated","Dátum aktualizácie"
"Date selector","Výber dátumu"
"Day","Deň"
"Default (Admin) Values","Predvolené (Admin) hodnoty"
"Default Billing Address","Predvolená adresa pre fakturáciu"
"Default Config","Predvolená konfigurácia"
"Default Values","Predvolené hodnoty"
"Default scope","Predvolený rozsah"
"Delete","Zmazať"
"Delete Block","Zmazať blok"
"Delete File","Odstrániť súbor"
"Delete Image","Zmazať obrázok"
"Delete Profile","Zmazať profil"
"Delete Role","Zmazať funkciu"
"Delete Store","Odstrániť obchod"
"Delete Store View","Odstrániť zobrazenie obchodu"
"Delete Template","Odstrániť šablónu"
"Delete User","Zmazať užívateľa"
"Delete Website","Zmazať webstránky"
"Description","Popis"
"Design","Dizajn"
"Details","Podrobnosti"
"Direction:","Smer:"
"Disable","Vypnúť"
"Disabled","Vypnuté"
"Display default currency","Zobraziť predvolenú menu"
"Download","Stiahnuť"
"Drop-down","Rozbaľovací zoznam"
"Edit","Upraviť"
"Edit Block","Editovať blok"
"Edit Block '%s'","Editovať blok '%s'"
"Edit Design Change","Upraviť zmenu dizajnu"
"Edit Email Template","Upraviť šablónu e-mailu"
"Edit Poll","Upraviť anketu"
"Edit Queue","Editovať zástup"
"Edit Role","Upraviť funkciu"
"Edit Store View","Upraviť zobrazenie obchodu"
"Edit System Template","Upraviť systémovú šablónu"
"Edit Template","Upraviť šablónu"
"Edit User","Upraviť užívateľa"
"Edit User '%s'","Upraviť užívateľa '%s'"
"Edit Website","Upraviť webstránky"
"Email","E-mail"
"Email Address:","E-mailová adresa:"
"Email to a Friend","Poslať známemu"
"Email:","E-mail:"
"Enable","Zapnúť"
"Enabled","Zapnuté"
"Enclose Values In:","Uzatvorená hodnota v:"
"Entity Type","Typ celku"
"Entity type:","Typ celku:"
"Error","Chyba"
"Excl. Tax","Bez dane"
"Exclude media folder from backup","Vylúčiť adresár médií zo zálohy"
"Expiration Date","Dátum expirácie"
"Expiration Date: %s/%s","Dátum expirácie: %s/%s"
"Export Filters","Filtre exportu"
"Export to:","Exportovať do:"
"FTP Host","FTP Server"
"FTP Host[:Port]","Server FTP [:Port]"
"FTP Login","FTP užívatelské meno"
"FTP Password","FTP heslo"
