"Authorize Only","Len schváliť"
"Authorize and Capture","Schváliť a získať"
"Continue Shopping","Pokračovať v nákupe"
"Debug","Ladenie"
"Email Sender","Odosielateľ emailu"
"Enable","Zapnúť"
"Merchant ID","ID obchodníka"
"Merchant Login","Prihlásenie obchodníka"
"New Order Status","Stav novej objednávky"
"Payment Action","Platobná akcia"
"Sandbox","Testovacie pole"
"Thank you for your purchase!","Ďakujeme za váš nákup!"
"Title","Titulok"
"You will receive an order confirmation email with details of your order and a link to track its progress.","Dostanete potvrdzovací e-mail so všetkými detailami vašej objednávky a linkou na sledovanie priebehu jej vybavenia."
