" Copy"," Kopírovať"
"Action","Akcia"
"Add New Template","Pridať novú šablónu"
"Add to Queue","Pridať do fronty"
"Are you sure that you want to delete this template?","Naozaj chcete zmazať túto šablónu?"
"Are you sure that you want to strip all tags?","Naozaj chcete odobrať všetky štítky?"
"Back","Späť"
"Cancel","Zrušiť"
"Cancelled","Zrušené"
"Confirmation Email Sender","Odosielateľ potvrdzujúceho e-mailu"
"Confirmation Email Template","Šablóna potvrdzujúceho e-mailu"
"Convert to Plain Text","Konvertovať na obyčajný Text"
"Create Newsletter Template","Vytvoriť šablónu spravodaja"
"Customer","Zákazník"
"Date Added","Datum pridania"
"Date Updated","Dátum aktualizácie"
"Delete","Zmazať"
"Delete Selected Problems","Odstrániť vybrané problémy"
"Delete Template","Odstrániť šablónu"
"Do you really want to cancel the queue?","Naozaj chcete zrušiť frontu?"
"Edit Newsletter","Editovať spravodaj"
"Edit Newsletter Template","Editovať šablónu spravodaja"
"Edit Queue","Editovať zástup"
"Edit Template","Upraviť šablónu"
"Email","E-mail"
"Error Code","Chybový kód"
"Error Text","Chybový text"
"Guest","Hosť"
"Message","Správa"
"New Newsletter Template","Nová šablóna spravodaja"
"New Template","Nová šablóna"
"Newsletter","Informačný bulletin"
"Newsletter Message Preview","Náhľad textu spravodaja"
"Newsletter Problem Reports","Problémy Spravodaja"
"Newsletter Queue","Fronta spravodaja"
"Newsletter Subscribers","Príjemcovia spravodaja"
"Newsletter Templates","Šablóny spravodaja"
"Newsletter subscription confirmation","Potvrdenie prihlásenia k odberu spravodaja"
"Newsletter subscription success","Úspešné prihlásenie k odberu spravodaja"
"Newsletter unsubscription success","Úspešné odhlásenie z odberu spravodaja"
"No Templates Found","Nenašli sa žiadne šablóny"
"Not Sent","Nebola poslaná"
"Pause","Zadržať"
"Paused","Pozastavené"
"Please enter a valid email address.","Zadajte platnú e-mailovú adresu."
"Please enter new template name","Zadajte prosím nový názov šablóny"
"Please select subscriber(s)","Vyberte prosím odberateľa/ov"
"Preview","Náhľad"
"Preview Template","Náhľad šablóny"
"Processed","Spracované"
"Queue Date Start","Začiatočný dátum fronty"
"Queue Finish","Koniec fronty"
"Queue Information","Informácie o fronte"
"Queue Start","Začiatok fronty"
"Queue Subject","Subjekt fronty"
"Recipients","Prijímatelia"
"Reset","Resetovať"
"Resume","Dokončiť"
"Save As","Uložiť ako"
"Save Newsletter","Uložiť spravodaja"
"Save Template","Uložiť šablónu"
"Sender","Odosielateľ"
"Sender Email","Email odosielateľa"
"Sender Name","Meno odosielateľa"
"Sending","Odosielanie"
"Sent","Odoslané"
"Sign up for our newsletter","Odoberajte náš Spravodaj"
"Start","Začiatok"
"Status","Stav"
"Store","Obchod"
"Store View","Zobrazenie obchodu"
"Subject","Predmet"
"Submit","Potvrdiť"
"Subscribe","Prihlásiť sa k odberu"
"Subscriber","Odberateľ"
"Subscribers","Odberatelia"
"Subscribers From","Odberatelia z"
"Subscription Options","Vlastnosti prihlásenia"
"Success Email Sender","Odosielateľ e-mailu úspešného prihlásenia k odberu noviniek"
"Success Email Template","Šablóna e-mailu úspešného prihlásenia k odberu noviniek"
"Template Content","Obsah šablóny"
"Template Information","Informácie o šablóne"
"Template Name","Názov šablóny"
"Template Styles","Štýly šablóny"
"Template Subject","Predmet šablóny"
"Template Type","Typ šablóny"
"There was a problem with the subscription: %s","Vyskytol sa problém s prihlásením: %s"
"There was a problem with the un-subscription.","Vyskytol sa problém s odhlásením."
"Type","Typ"
"Unsubscribe","Odhlásiť"
"Unsubscribe Selected","Odhlásiť sa z vybratých"
"Unsubscribed","Odhlásiť sa"
"Unsubscription Email Sender","Odosielateľ odhlasovacieho e-mailu"
"Unsubscription Email Template","Šablóna odhlasovacieho e-mailu"
"View Newsletter","Zobraziť spravodaja"
"Website","Webová stránka"
