"* Required Fields","* Povinné políčka"
"Address","Adresa"
"Address Information","Informácie o adrese"
"Already registered?","Ste už zaregistrovaný?"
"Back","Späť"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Vytvorením osobného účtu v našom obchode získate možnosť prechádzať platobným procesom omnoho rýchlejšie, spravovať dodacie adresy, prezerať a sledovať svoje objednávky a iné."
"Checkout as Guest","Dokončiť objednávku bez registrácie"
"Checkout as a Guest or Register","Dokončite objednávku bez registrácie alebo sa zaregistrujte"
"City","Mesto"
"Close","Zavrieť"
"Company","Spoločnosť"
"Confirm Password","Potvrdiť heslo"
"Continue","Pokračovať"
"Country","Krajina"
"Create an Account","Vytvoriť účet"
"Easy access to your order history and status","Jednoduchý prístup k histórii vašich objednávok a stavu"
"Email Address","E-mailová adresa"
"Fast and easy check out","Rýchle a jednoduché dokončenie objednávky"
"Forgot Your Password?","Zabudli ste heslo?"
"Forgot your password?","Zabudli ste heslo?"
"General Options","Všeobecné vlastnosti"
"If you have an account with us, please log in.","Ak máte u nás založený účet, prihláste sa, prosím."
"Loading next step...","Načítavam ďalší krok..."
"Login","Prihlásiť sa"
"Login Information","Prihlasovacie informácie"
"New Customers","Noví zákazníci"
"Password","Heslo"
"Personal Information","Osobné informácie"
"Please log in below:","Prihláste sa prosím dolu:"
"Please select region, state or province","Vyberte prosím región, štát alebo okres"
"Register","Registrovať"
"Register and save time!","Zaregistrujte sa a ušetrite čas!"
"Register to Create an Account","Zaregistrujte sa pre vytvorenie účtu"
"Register with us for future convenience:","Zaregistrujte sa u nás pre vaše budúce pohodlie:"
"Registered Customers","Registrovaných zákazníkov"
"Save in address book","Uložiť do adresára"
"Select State/Province...","Vybrať štát/provinciu..."
"Select a billing address from your address book or enter a new address.","Vyberte fakturačnú adresu z vášho adresára alebo zadajte novú adresu."
"Ship to different address","Poslať na rôzne adresy"
"Ship to this address","Poslať na túto adresu"
"Sign Up for Newsletter","Prihlásiť sa k odberu infrmačného bulletinu"
"State/Province","Štát/provincia"
"Street Address","Ulica"
"Submit","Potvrdiť"
"Telephone","Telefón"
"VAT Number","DIČ"
"Welcome, %s!","Vitaj, %s!"
"What's this?","Čo to je?"
"Zip/Postal Code","Poštové smerovacie číslo"
