"Actions","Akcie"
"Active","Aktívny"
"Add New Rule","Pridať nové pravidlo"
"Apply","Použiť"
"Apply To","Použiť na"
"Apply the rule only if the following conditions are met (leave blank for all products)","Použiť pravidlo iba v prípade zhody nasledujúcich podmienok (ponechajte prázdne pre všetky produkty)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Použiť pravidlo iba ak položky v košíku spĺňajú nasledujúce podmienky (ponechajte prázdne pre všetky položky)"
"Apply the rule to cart items matching the following conditions","Použiť pravidlo iba ak položky v košíku spĺňajú nasledujúce podmienky"
"Buy X get Y free (discount amount is Y)","Kúpte X a získate Y zdarma (zľavnené množstvo je Y)"
"By Fixed value","Podľa pevnej hodnoty"
"By Percentage","Percentuálne"
"Cart Attribute","Vlastnosti košika"
"Catalog","Katalóg"
"Conditions","Podmienky"
"Conditions combination","Kombinácia podmienok"
"Coupon Code","Kód poukážky"
"Created On","Vytvorené"
"Customer Groups","Zákaznicke skupiny"
"Date Expire","Dátum vypršania"
"Date Start","Počiatočný dátum"
"Description","Popis"
"Discount Amount","Hodnota zľavy"
"Discount Qty Step (Buy X)","Množstevná zľava (Kúpte X)"
"Edit Rule","Editovať pravidlo"
"Edit Rule '%s'","Editovať pravidlo '%s'"
"Fixed amount discount","Pevná množstevná zľava"
"Fixed amount discount for whole cart","Pevná množstevná zľava pre celý košík"
"For matching items only","Iba pre vybrané položky"
"For shipment with matching items","Pre doručenie so zodpovedajúcimi položkami"
"Free Shipping","Doručenie zdarma"
"From Date","Od dátumu"
"General Information","Všeobecné informácie"
"Inactive","Neaktívny"
"NOT LOGGED IN","NEPRIHLÁSENÝ"
"New Rule","Nové pravidlo"
"No","Nie"
"Number of Uses","Počet použití"
"Payment Method","Spôsob platby"
"Percent of product price discount","Percentuálna zľava z ceny produktu"
"Period","Perióda"
"Price in cart","Cena v košíku"
"Priority","Priorita"
"Product attribute combination","Kombinácia vlastností produktu"
"Promotions","Propagácie"
"Public In RSS Feed","Uverejniť na RSS kanáli"
"Quantity in cart","Množstvo v košíku"
"Row total in cart","Počet riadkov v košíku"
"Rule Information","Informácie o pravidle"
"Rule Name","Názov pravidla"
"Save and Continue Edit","Uložiť a pokračovať v upravách"
"Shipping Country","Krajina doručenia"
"Shipping Method","Spôsob dopravy"
"Shipping Postcode","PSČ doručenia"
"Shipping Region","Región doručenia"
"Shipping State/Province","Štát/Provincia doručenia"
"Shopping Cart Price Rules","Cenové pravidlá košíka"
"Special Price","Znížená cena"
"Status","Stav"
"Subtotal","Medzisúčet"
"Subtotal Amount","Čiastka medzisúčtu"
"This rule no longer exists.","Toto pravidlo už neexistuje."
"To Date","Do dátumu"
"To Fixed Value","Pevnou hodnotou"
"To Percentage","Percentuálne"
"Total","Celkom"
"Total Amount","Celková čiastka"
"Total Items Quantity","Celkové množstvo položiek"
"Total Weight","Celková hmotnosť"
"Update prices using the following information","Aktualizovať ceny použitím nasledujúcich informácií"
"Update product's %s %s: %s","Aktualizovať produkty %s %s: %s"
"Update the Product","Aktualizovat produkt"
"Used","Použité"
"Website","Webová stránka"
"Websites","Webové stránky"
"Yes","Áno"
