"Alert Email Sender","Odosielateľ upozorňujúcich e-mailov"
"Click here not to receive alerts for this product","Kliknite, ak si neželáte prijímať upozornenia o tomto produkte"
"Error Email Recipient","Prijímateľ chybového e-mailu"
"Error Email Sender","Odosielateľ chybového e-mailu"
"Error Email Template","Šablóna chybového e-mailu"
"Frequency","Frekvencia"
"Price:","Cena:"
"Product Alerts","Upozornenia produktu"
"Product Alerts Run Settings","Nastavenie spracovania upozornení o produktoch"
"Product alerts Cron error","Upozornenia produktov o chybe Cron-u"
"Product price alert","Upozornenia na ceny"
"Product stock alert","Upozornenia na skladove zásoby"
"Regular Price:","Bežná cena:"
"Sign up for price alert","Prihlásiť sa pre odber upozornení o cene"
"Sign up to get notified when this product is back in stock","Prihlásiť sa pre upozornenie, ak bude produkt opäť na sklade"
"Special price:","Špeciálna cena:"
"Start Time","Čas začiatku"
"Unsubscribe from all price alerts","Odhlásiť z odberu upozornení o cenách"
"Unsubscribe from all stock alerts","Odhlásiť z odberu upozornení sladových zásobách"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","Obdržali ste toto upozornenie, pretože ste prihlásený k odberu upozornení ak budú nasledujúce produkty opäť na sklade:"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","Obdržali ste toto upozornenie, pretože ste prihlásený k odberu upozornení ak sa ceny nasledujúcich produktov zmenia:"
