"* Required Fields","* Povinné políčka"
"Add New Address","Pridať novú adresu"
"Add New Condition","Pridať nové podmienky"
"Add to Cart","Pridať do košíka"
"Add to Compare","Pridať k porovnaniu"
"Add to Wishlist","Pridať do zoznamu prianí"
"Address","Adresa"
"Address %s of %s","Adresy %s z %s"
"After Adding a Product Redirect to Shopping Cart","Po pridaní produktu presmerovať do nákupného košíka"
"Allow Guest Checkout","Povoliť nákup neregistrovaným užívateľom"
"Already registered?","Ste už zaregistrovaný?"
"Apply","Použiť"
"Apply Coupon","Použiť kupón"
"Are you sure you would like to remove this item from the shopping cart?","Naozaj chcete túto položku odstrániť z nákupného košíka?"
"Back","Späť"
"Back to Shipping Information","Späť na dodacie informácie"
"Based on your selection, you may be interested in the following items:","Vychádzajúc z vašeho výberu, mohli by vás zaujímať nasledovné položky:"
"Billing Address","Adresa pre fakturáciu"
"Billing Information","Fakturačné údaje"
"Billing Information - %s","Fakturačné údaje - %s"
"Cancel","Zrušiť"
"Card Verification Number Visual Reference","CVV kód na vašej platobnej karte"
"Cart Subtotal:","Medzisúčet:"
"Change","Zmeniť"
"Change Billing Address","Zmena fakturačnej adresy"
"Checkbox Text","Checkbox text"
"Checkout","Objednať"
"Checkout Options","Možnosti dokončenia objednávky"
"Checkout as Guest","Dokončiť objednávku bez registrácie"
"Checkout as a Guest or Register","Dokončite objednávku bez registrácie alebo sa zaregistrujte"
"Checkout with Multiple Addresses","Dokončiť s viacerými adresami"
"City","Mesto"
"Clear Shopping Cart","Vyprázdniť nákupný košík"
"Close","Zavrieť"
"Company","Spoločnosť"
"Condition Name","Názov"
"Confirm Password","Potvrdiť heslo"
"Content","Obsah"
"Content Height","Výška obsahu"
"Content Height (css)","Výška obsahu (css)"
"Continue","Pokračovať"
"Continue Shopping","Pokračovať v nákupe"
"Continue to Billing Information","Pokračovať na voľbu fakturačných údajov"
"Continue to Review Your Order","Pokračovať na prehľad objednávky"
"Continue to Shipping Information","Pokračovať na voľbu dodacích informácií"
"Country","Krajina"
"Create Billing Address","Pridať fakturačnú adresu"
"Create Shipping Address","Pridať dodaciu adresu"
"Customer Information","Informácie o zákazníkovi"
"Data saving problem","Problém s ukladaním dát"
"Default Billing","Predvolená platba"
"Default Shipping","Predvolené doručenie"
"Delete Condition","Vymazať podmienky"
"Details","Podrobnosti"
"Disabled","Vypnuté"
"Discount Codes","Kódy zliav"
"Display Cart Summary","Zobraziť zhrnutie košíka"
"Display item quantities","Zobraziť množstva produktov"
"Display number of items in cart","Zobraziť počet položiek v košíku"
"Easy access to your order history and status","Jednoduchý prístup k histórii vašich objednávok a stavu"
"Edit","Upraviť"
"Edit Address","Upraviť adresu"
"Edit Billing Address","Upraviť fakturačnú adresu"
"Edit Items","Upraviť položky"
"Edit Shipping Address","Upraviť dodaciu adresu"
"Edit Terms and Conditions","Upraviť zmluvné podmienky"
"Edit Your Cart","Upraviť váš košík"
"Edit item parameters","Upraviť parametre položky"
"Email Address","E-mailová adresa"
"Enable Terms and Conditions","Zapnúť Zmluvné podmienky"
"Enabled","Zapnuté"
"Enter a New Address","Zadajte novú adresu"
"Enter your coupon code if you have one.","Ak máte, zadajte kód kupónu."
"Enter your destination to get a shipping estimate.","Zadajte miesto doručenia pre získanie odhadu doby dodávky."
"Estimate Shipping and Tax","Odhad poštovného a dane"
"Excl. Tax","Bez dane"
"Fast and easy check out","Rýchle a jednoduché dokončenie objednávky"
"Forgot an Item?","Zabudli ste nejakú položku?"
"Forgot your password?","Zabudli ste heslo?"
"Get a Quote","Vyžiadať cenovú ponuku"
"Gift Message","Venovanie"
"Grand Total:","Celkom:"
"Incl. Tax","Vrátane dane"
"Invalid shipping method.","Neplatné dodacie podmienky."
"Items","Položky"
"Load customer quote error","Načítať chybu zákazníkovej cenovej ponuky"
"Loading next step...","Načítavam ďalší krok..."
"Login","Prihlásiť sa"
"Terms and Conditions","Zmluvné podmienky"
"Maximum qty allowed for Shipping to multiple addresses is %s","Maximálne množstvo povolené pre odosielanie na viaceré adresy je %s"
"Move to Wishlist","Pridať na zoznam prianí"
"My Cart","Môj košík"
"My Cart (%s item)","Môj Košík (%s položka)"
"My Cart (%s items)","Môj Košík (%s položiek)"
"My Cart Link","Odkaz na Môj košík"
"New Address","Nová adresa"
"New Terms and Conditions","Nové zmluvné podmienky"
"No Payment Methods","Žiadné spôsoby platby"
"Order #","Objednávka #"
"Order Review","Revízia objednávky"
"Order Success","Úspešnosť objednávky"
"Password","Heslo"
"Payment Failed Email Sender","Odosielateľ Emailu pre neprevedenú platbu"
"Payment Failed Emails","Emaily pre neprevedenú platbu"
"Payment Failed Template","Šablóna pre neprevedenú platbu"
"Payment Information","Informácie o platbe"
"Payment Method","Spôsob platby"
"Payment method is not defined","Platobné podmienky nie sú definované"
"Place Order","Objednať"
"Please agree to all the terms and conditions before placing the order.","Je nutné akceptovať podmienky a ustanovenia pre dokončenie nákupu."
"Please log in below:","Prihláste sa prosím dolu:"
"Please select region, state or province","Vyberte prosím región, štát alebo okres"
"Please select shipping methods for all addresses","Vyberte prosím spôsob dodávky pre všetky adresy"
"Price","Cena"
"Proceed to Checkout","Prejdite do pokladne"
"Product","Produkt"
"Product Name","Názov produktu"
"Products","Produkty"
"Qty","Množstvo"
"Quantity","Množstvo"
"Quote Lifetime (days)","Životnosť košíku (dní)"
"Register","Registrovať"
"Register and save time!","Zaregistrujte sa a ušetrite čas!"
"Register to Create an Account","Zaregistrujte sa pre vytvorenie účtu"
"Register with us for future convenience:","Zaregistrujte sa u nás pre vaše budúce pohodlie:"
"Remove Item","Odstrániť položku"
"Remove This Item","Odstrániť túto položku"
"Remove item","Odstrániť položku"
"Review Order","Skontrolovať objednávku"
"Review Order - %s","Skontrolovať objednávku - %s"
"SKU","Katalógové číslo"
"Sales","Obrat"
"Save Condition","Uložiť podmienky"
"Save in address book","Uložiť do adresára"
"See price before order confirmation.","Pozrite si ceny pred potvrdením objednávky."
"Select Address","Vybrať adresu"
"Select Addresses","Vybrať adresy"
"Select Shipping Method","Vybrať spôsob dopravy"
"Select State/Province...","Vybrať štát/provinciu..."
"Select a billing address from your address book or enter a new address.","Vyberte fakturačnú adresu z vášho adresára alebo zadajte novú adresu."
"Select a shipping address from your address book or enter a new address.","Vyberte dodaciu adresu z vášho adresára alebo zadajte novú adresu."
"Send Payment Failed Email Copy Method","Odoslať kopiu Emailu pre neprevedenú platbu metódou"
"Send Payment Failed Email Copy To","Odoslať kopiu Emailu pre neprevedenú platbu na"
"Separate by "","".","Oddelte čiarkou "",""."
"Ship to Multiple Addresses","Poslať na viaceré adresy"
"Ship to different address","Poslať na rôzne adresy"
"Ship to this address","Poslať na túto adresu"
"Shipping Address","Dodacia adresa"
"Shipping Information","Prepravné informácie"
"Shipping Method","Spôsob dopravy"
"Shipping Methods","Spôsoby dopravy"
"Shipping method has not been selected yet","Spôsob dopravy zatiaľ nebol vybraný"
"Shopping Cart","Nákupný košík"
"Shopping Cart is Empty","Nákupný košík je prázdny"
"Show Content as","Zobraziť obsah ako"
"Sorry, no quotes are available for this order at this time.","Prepáčte, žiadne cenové ponuky nie sú teraz k dispozícii pre túto objednávku."
"State/Province","Štát/provincia"
"Status","Stav"
"Store View","Zobrazenie obchodu"
"Street Address","Ulica"
"Submitting order information...","Zasielam informácie o objednávke..."
"Subtotal","Medzisúčet"
"Telephone","Telefón"
"Terms and Conditions Information","Údaje zmluvných podmienok"
"Thank you for your purchase!","Ďakujeme za váš nákup!"
"The product does not exist.","Produkt neexistuje."
"Total","Celkom"
"Total for this address","Celkom pre túto adresu"
"Unit Price","Cena za jednotku"
"Update","Aktualizácia"
"Update Cart","Aktualizácia košíka"
"Update Qty &amp; Addresses","Aktualizovať množstvo a adresy"
"Update Shopping Cart","Aktualizovať nákupný košík"
"Update Total","Prepočítať celkovú sumu"
"Use Billing Address","Použiť fakturačnú adresu"
"VAT Number","DIČ"
"View Shopping Cart","Prezrieť nákupný košík"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","Vašu objednávku spracovávame a vy čoskoro dostanete e-mail s detailami vašej objednávky. Keď bude objednávka odoslaná dostanete ďalší e-mail s linku na sledovanie priebehu jej vybavenia."
"What's this?","Čo to je?"
"You have no items in your shopping cart.","Nemáte žiadne položky vo vašom nákupnom košíku."
"You will receive an order confirmation email with details of your order and a link to track its progress.","Dostanete potvrdzovací e-mail so všetkými detailami vašej objednávky a linkou na sledovanie priebehu jej vybavenia."
"Your Checkout Progress","Priebeh dokončenia vašej objednávky"
"Zip/Postal Code","Poštové smerovacie číslo"
"or","alebo"
