"%d Review(s)","%d recenzie"
"%s Review(s)","%s Recenzií"
"(Posted on %s)","(Napísané %s)"
"1 star","1 bod"
"2 stars","2 body"
"3 stars","3 body"
"4 stars","4 body"
"5 stars","5 bodov"
"Add New Review","Napísať novú recnziu"
"Add Your Review","Napíšte svoju recenziu"
"Administrator","Administrátor"
"Approved","Schválený"
"Are you sure you want to do this?","Ste si istí, že chcete to chcete urobiť?"
"Are you sure?","Ste si istí?"
"Average Customer Rating","Priemerné hodnetenie zákazníkmi"
"Average Customer Rating:","Priemerné hodnetenie zákazníkmi:"
"Back","Späť"
"Back to Main Product Info","Návrat k hlavným informáciám o produkte"
"Back to My Reviews","Späť na Moje recenzie"
"Back to Product Reviews","Návrat k recenziám"
"Be the first to review this product","Napíšte recenziu k tomuto produktu ako prvý"
"Created On","Vytvorené"
"Customer","Zákazník"
"Customers Reviews","Recenzie zákazníkov"
"Delete","Zmazať"
"Delete Review","Zmazať recenziu"
"Detailed Rating","Podrobné hodnotenie"
"Edit Review '%s'","Editovať recenziu '%s'"
"Guest","Hosť"
"How do you rate this product?","Ako by ste ohodnotili tento produkt?"
"My Product Reviews","Vaše recenzie produktov"
"My Recent Reviews","Vaše najnovšie recenzie"
"Name","Meno"
"New Review","Nová recenzia"
"Nickname","Prezývka"
"Pending","Neschválené"
"Please select one of each of the ratings above","Vyber prosím jedno z hodnotení vyššie"
"Posted By","Napísal"
"Price","Cena"
"Product","Produkt"
"Product Name","Názov produktu"
"Product Rating","Hodnotenie produktu"
"Product Rating:","Hodnotenie produktu:"
"Product Review (submitted on %s):","Recenzia produktu (zaslané %s):"
"Product Reviews","Recenzie Produktu"
"Product SKU","Kód produktu"
"Products Reviews","Recenzie produktov"
"Qty","Množstvo"
"Rating:","Hodnotenie:"
"Review","Recenzia"
"Review Details","Podrobnosti o recenzii"
"Review by %s","Recenziu zaslal(a) %s"
"Reviews","Recenzie"
"SKU","Katalógové číslo"
"Save Review","Uložiť recenziu"
"Status","Stav"
"Submit Review","Odoslať recenziu"
"Summary Rating","Celkové hodnotenie"
"Summary of Review","Zhrnutie recenzie"
"Summary of Your Review","Zhrnutie mojích recenzií"
"Title","Titulok"
"Type","Typ"
"View All Reviews","Zobraziť všetky recenzie"
"View Details","Zobraziť podrobnosti"
"Visible In","Viditeľný v"
"Websites","Webové stránky"
"Write Your Own Review","Napíšte vlastnú recenziu"
"You have submitted no reviews.","Nenapísal(a) ste žiadnu recenziu."
"Your Rating:","Vaše hodnotenie:"
"Your Review (submitted on %s):","Vaše hodnotenie (zaslané %s):"
