"* Required Fields","* Povinné políčka"
"-- Please Select --","-- Prosím vyberte --"
"About This Order:","Detaily o objednávke:"
"About Your Order","O Vašich objednávkach"
"Account Information","Informácie o účte"
"Action","Akcia"
"Actions","Akcie"
"Active","Aktívny"
"Add","Pridať"
"Add New Address","Pridať novú adresu"
"Add Order Comments","Pridať poznámku k objednávke"
"Add Products","Pridať produkty"
"Add Selected Product(s) to Order","Pridať vybrané produkty do objednávky"
"Add To Order","Pridať do objednávky"
"Add Tracking Number","Pridať číslo pre sledovanie zásielky"
"Add to Cart","Pridať do košíka"
"Address","Adresa"
"Adjustment Fee","Nastaviť poplatok"
"Adjustment Refund","Oprava/vrátenie peňazí"
"Allow Reorder","Umožniť preobjednanie"
"Amount","Množstvo"
"Anchor Custom Title","Vlastný titulok kotvy"
"Append Comments","Pridať komentáre"
"Apply","Použiť"
"Apply Coupon Code","Použiť kód kupónu"
"Are you sure you want to cancel this order?","Naozaj chcete zrušiť objednávku?"
"Are you sure you want to do this?","Ste si istí, že chcete to chcete urobiť?"
"Are you sure?","Ste si istí?"
"Authorization","Autorizácia"
"Back","Späť"
"Back to My Orders","Späť na Moje Objednávky"
"Backordered","Predobednané"
"Bestsellers","Najpredávanejšie"
"Bill to Name","Fakturované na meno"
"Billing Address","Adresa pre fakturáciu"
"Billing Agreements","Súhlasy fakturácie"
"Cancel","Zrušiť"
"Canceled","Zrušené"
"Capture","Zachytiť"
"Capture Amount","Uložiť množstvo"
"Carrier","Prepravca"
"Carrier/Method","Prepravca/spôsob"
"City","Mesto"
"Clear Shopping Cart","Vyprázdniť nákupný košík"
"Click to change shipping method","Kliknite, ak chcete zmeniť spôsob dopravy"
"Close","Zavrieť"
"Closed","Zatvorené"
"Comma-separated.","Oddelené čiarkou."
"Comment","Poznámka"
"Comment Text","Text komentára"
"Company","Spoločnosť"
"Complete","Dokončené"
"Configure","Nastaviť"
"Contents","Obsahy"
"Continue","Pokračovať"
"Country","Krajina"
"Coupons","Poukážky"
"Create New Customer","Vytvoriť nového zákazníka"
"Create New Order","Vytvoriť novú objednávku"
"Create New Order for %s","Vytvoriť novú objednávku pre %s"
"Create New Order for %s in %s","Vytvoriť novú objednávku pre %s v %s"
"Create New Order for New Customer","Vytvoriť novú objednávku pre nového zákazníka"
"Create New Order for New Customer in %s","Vytvoriť novú objednávku pre nového zákazníka v %s"
"Create Order","Vytvoriť objednávku"
"Create Shipment","Vytvoriť prepravu"
"Created At","Vytvorené"
"Credit Memo","Dobropis"
"Credit Memo #","Dobropis č."
"Credit Memo Comment Email Sender","Odosielateľ poznámky k dobropisu"
