"1 star","1 bod"
"2 stars","2 body"
"3 stars","3 body"
"4 stars","4 body"
"5 stars","5 bodov"
"Add New Rating","Pridať nové hodnotenie"
"Assigned Options","Priradené vlastnosti"
"Be the first to review this product","Napíšte recenziu k tomuto produktu ako prvý"
"Default Value","Predvolená hodnota"
"Delete Rating","Zmazať hodnotenie"
"Edit Rating","Editovať hodnotenie"
"If you do not specify a rating title for a store, the default value will be used.","Ak neurčíte titulok hodnotenia pre obchod, budú použité predvolené hodnoty."
"New Rating","Nové hodnotenie"
"Option Label","Menovka vlastnosti"
"Option Title","Názov možnosti"
"Option Title:","Titulok vlastnosti:"
"Please select one of each ratings above","Vyberte prosím jedno z každého hodnotenia vyššie"
"Rating Information","Informácie o hodnotení"
"Rating Name","Názov hodnotenia"
"Rating Options","Vlastnosti hodnotenia"
"Rating Title","Titulok hodnotenia"
"Rating Visibility","Viditeľnosť hodnotenia"
"Rating isn't Available","Hodnotenie nie je dostupné"
"Rating with the same title","Hodnotenie s rovnakým titulkom"
"Save Rating","Uložiť hodnotenie"
"Sort Order","Poradie radenia"
"Visible In","Viditeľný v"
