"Add","Pridať"
"Add New Row","Pridať nový riadok"
"Availability:","Dostupnosť:"
"Back","Späť"
"Canceled","Zrušené"
"Date","Dátum"
"Delete","Zmazať"
"Downloadable Information","Stiahnuteľná informácia"
"Edit","Upraviť"
"Edit item parameters","Upraviť parametre položky"
"Excl. Tax","Bez dane"
"File","Súbor"
"From:","Od:"
"Gift Message","Venovanie"
"In stock","Skladom"
"Incl. Tax","Vrátane dane"
"Invoiced","Fakturované"
"List","Zoznam"
"Message:","Správa:"
"My Downloadable Products","Moje Produkty na Prevzatie"
"Order #","Objednávka #"
"Ordered","Objednané"
"Out of stock","Vypredané"
"Pending","Neschválené"
"Price","Cena"
"Qty","Množstvo"
"Refunded","Vrátené"
"Remove","Odstrániť"
"Remove Item","Odstrániť položku"
"SKU","Katalógové číslo"
"See price before order confirmation.","Pozrite si ceny pred potvrdením objednávky."
"Shipped","Odoslané"
"Sort Order","Poradie radenia"
"Status","Stav"
"Subtotal","Medzisúčet"
"Title","Titulok"
"To:","Pre:"
"Update","Aktualizácia"
"Use Default Value","Použiť predvolenú hodnotu"
"View Order","Zobraziť objednávku"
"What's this?","Čo to je?"
