"API Password","API Heslo"
"API Signature","API Signatúra"
"Address","Adresa"
"Advanced Settings","Pokročilé nastavenia"
"Authorization","Autorizácia"
"Billing Information","Fakturačné údaje"
"City","Mesto"
"Close","Zavrieť"
"Company","Spoločnosť"
"Configure","Nastaviť"
"Continue","Pokračovať"
"Country","Krajina"
"Custom","Vlastné"
"Daily","Denne"
"Discount","Zľava"
"Display on Shopping Cart","Zobraziť v košíku"
"Dynamic","Dynamické"
"Edit","Upraviť"
"Edit Shopping Cart","Upraviť košík"
"Email Address","E-mailová adresa"
"Enabled","Zapnuté"
"Items in Your Shopping Cart","Položky vo Vašom košíku"
"Learn More","Zistiť viac"
"Login","Prihlásiť sa"
"N/A","NEDOST."
"Never","Nikdy"
"No","Nie"
"Order","Objednávka"
"Password","Heslo"
"Payment Action","Platobná akcia"
"Payment Method","Spôsob platby"
"Place Order","Objednať"
"Please agree to all the terms and conditions before placing the order.","Je nutné akceptovať podmienky a ustanovenia pre dokončenie nákupu."
"Please select a shipping method...","Vyberte prosím metódu doručenia..."
"Please select region, state or province","Vyberte prosím región, štát alebo okres"
"Position","Pozícia"
"Price","Cena"
"Product","Produkt"
"Product Name","Názov produktu"
"Proxy Host","Hostiteľ proxy"
"Proxy Port","Port proxy"
"Qty","Množstvo"
"Reports","Prehľady"
"Review Order","Skontrolovať objednávku"
"Sale","Operácia"
"Sales","Obrat"
"Schedule","Rozvrh"
"Shipping","Doprava"
"Shipping Address","Dodacia adresa"
"Shipping Information","Prepravné informácie"
"Shipping Method","Spôsob dopravy"
"Size","Veľkosť"
"Sorry, no quotes are available for this order at this time.","Prepáčte, žiadne cenové ponuky nie sú teraz k dispozícii pre túto objednávku."
"Sort Order","Poradie radenia"
"State/Province","Štát/provincia"
"Static","Statická"
"Street Address","Ulica"
"Submitting order information...","Zasielam informácie o objednávke..."
"Subtotal","Medzisúčet"
"Telephone","Telefón"
"Test Mode","Skúšobný mód"
"Title","Titulok"
"Update Shipping Method","Aktualizovať metódu doručenia"
"Use Proxy","Použiť proxy"
"User","Užívateľ"
"VAT Number","DIČ"
"View","Zobraziť"
"Void","Uvolniť"
"Website Payments Standard","Webstránka Payments Standard"
"Yes","Áno"
"Zip/Postal Code","Poštové smerovacie číslo"
