"# of Uses","# z použití"
"Action","Akcia"
"Add","Pridať"
"Add New Tag","Pridať nový štítok"
"Add Tags","Pridať štítky"
"Add Your Tags:","Pridať vlastné štítky:"
"Add to Cart","Pridať do košíka"
"Add to Wishlist","Pridať do zoznamu prianí"
"All Tags","Všetky štítky"
"Approved","Schválený"
"Are you sure you want to delete this tag?","Naozaj chcete naozaj zmazať tento štítok?"
"Are you sure you want to do this?","Ste si istí, že chcete to chcete urobiť?"
"Are you sure?","Ste si istí?"
"Back","Späť"
"Back to Tags List","Späť k zoznamu štítkov"
"Block Information","Blok informácií"
"Change status","Zmeniť stav"
"Click on a tag to view your corresponding products.","Kliknite na štítok, ak si želáte zobraziť súvisiace produkty."
"Country","Krajina"
"Customer Since","Zákazníkom od"
"Customers","Zákazníci"
"Customers Tagged '%s'","Štítky od zákazníkov '%s'"
"Delete","Zmazať"
"Delete Tag","Zmazať označenie"
"Disabled","Vypnuté"
"Edit Tag '%s'","Editovať štítok '%s'"
"Email","E-mail"
"First Name","Meno"
"General Information","Všeobecné informácie"
"Grid","Mriežka"
"Last Name","Priezvisko"
"List","Zoznam"
"My Recent Tags","Vaše najnovšie štítky"
"My Tags","Moje štítky"
"Name","Meno"
"New Tag","Nový štítok"
"No matches found.","Neboli nájdené žiadne výsledky."
"Other people marked this product with these tags:","Iní zákazníci označili tento produkt nasledujúcimi štítkami:"
"Pending","Neschválené"
"Pending Tags","Neschválené štítky"
"Popular","Obľúbené"
"Popular Tags","Obľúbené štítky"
"Price","Cena"
"Product Name","Názov produktu"
"Product SKU","Kód produktu"
"Product Tags","Štítky produktu"
"Products","Produkty"
"Products Tagged with '%s'","Produkty štítkovaný s '%s'"
"Products tagged with '%s'","Produkty štítkovaný s '%s'"
"Remove","Odstrániť"
"SKU","Katalógové číslo"
"Save Tag","Uložiť štítok"
"Save and Continue Edit","Uložiť a pokračovať v upravách"
"Status","Stav"
"Store View","Zobrazenie obchodu"
"Tag","Štítok"
"Tag Name","Názov štítka"
"Tags","Značky"
"Tags:","Štítky:"
"Telephone","Telefón"
"Unable to find any products tagged with '%s' in the current store","V obchode nie je možné nájsť žiadne produkty štítkované s '%s'"
"Unable to remove tag. Please, try again later.","Nie je možné odstrániť štítok. Prosím, skúste ešte raz."
"Update","Aktualizácia"
"Use spaces to separate tags. Use single quotes (') for phrases.","Pre oddelenie štítkov použite čiarky. Viacslovné frázy ohraničte apostrofmi (')."
"View All Tags","Zobraziť všetky štítky"
"View Customers","Zobraziť zákazníkov"
"View Products","Zobraziť produkty"
"You have not tagged any products yet.","Doposiaľ ste k žiadnemu z produktov nepriradili žiaden štítok."
"ZIP/Post Code","PSČ"
