"* Required Fields","* Povinné políčka"
"Add All to Cart","Vložiť všetko do košíka"
"Add to Cart","Pridať do košíka"
"Add to Compare","Pridať k porovnaniu"
"Add to Wishlist","Pridať do zoznamu prianí"
"Added From","Pridané z"
"Are you sure you want to remove this product from your wishlist?","Naozaj chcete naozaj odstrániť tento produkt z Vášho Zoznamu prianí?"
"Back","Späť"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Zaškrtinite toto políčko, ak si želáte vytvoriť odkaz na RSS kanál k vášmu Zozamu prianí."
"Click for price","Pre cenu kliknite"
"Comment","Poznámka"
"Date Added","Datum pridania"
"Days in Wishlist","Počet dní v Zozname prianí"
"Edit","Upraviť"
"Email Sender","Odosielateľ emailu"
"Email Template","Šablóny emailov"
"Email addresses, separated by commas","E-mailové adresy, odeľované čiarkami"
"Enabled","Zapnuté"
"General Options","Všeobecné vlastnosti"
"Go to Wishlist","Prejdite do Zoznamu prianí"
"In stock","Skladom"
"Last Added Items","Naposledy pridané položky"
"Message","Správa"
"My Wishlist","Môj Zoznam prianí"
"My Wishlist (%d item)","Môj Zoznam prianí (%d položka)"
"My Wishlist (%d items)","Môj Zoznam prianí (%d položiek)"
"Options Details","Podrobnosti možnosti"
"Out of stock","Vypredané"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Zadajte prosím platné e-mailové adresy, navzájom oddeľované čiarkami. Napríklad jandurcika@nazov-domeny.sk, peterkratky@domena.sk."
"Please, enter your comments...","Vpíšte Váš komentár, prosím..."
"Price","Cena"
"Product","Produkt"
"Qty","Množstvo"
"RSS Feed","RSS kanál"
"RSS link to %s's wishlist","RSS odkaz k Zoznamu prianí: %s"
"Remove Item","Odstrániť položku"
"Remove This Item","Odstrániť túto položku"
"Remove item","Odstrániť položku"
"SKU","Katalógové číslo"
"Share Wishlist","Zdieľať Zoznam prianí"
"Share Your Wishlist","Zdieľať môj Zoznam prianí"
"Sharing Information","zdieľané informácie"
"Update Wishlist","Aktualizovať Zoznam prianí"
"View Details","Zobraziť podrobnosti"
"View Product","Zobraziť produkty"
"What's this?","Čo to je?"
"Wishlist","Zoznam želaní"
"Wishlist Sharing","Zdieľanie Zoznamu prianí"
"Wishlist is empty now.","Zoznam prianí je prázdny."
"You have no items in your wishlist.","Vo Vašom Zozname prianí nemáte žiadne položky."
