"Add","Agregar"
"Add New Row","Agregar nueva fila"
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with '_'.","Se recomiendan los caracteres alfanuméricos, guion y guion bajo para los nombres de fichero. Los caracteres incorrectos se reemplazarán con '_'."
"An error occurred while saving the file(s).","Se ha producido un error mientras se guardaba el archivo(s )."
"Availability:","Disponibilidad:"
"Back","Atrás"
"Canceled","Cancelado"
"Category API","Categoría API"
"Date","Fecha"
"Default Link Title","Título de enlace (predeterminado)"
"Default Maximum Number of Downloads","Número máximo de descargas (predeterminado)"
"Default Sample Title","Título de muestra (predeterminado)"
"Delete","Borrar"
"Disable Guest Checkout if Cart Contains Downloadable Items","Deshabilitar la facturación para visitantes si el carrito contiene artículos descargables"
"Downloadable Information","Información Descargable"
"Downloadable Product","Producto Descargable"
"Downloadable Product Options","Opciones de artículo descargable"
"Edit","Editar"
"Edit item parameters","Editar parámetros del artículo"
"Excl. Tax","Impuestos no Incluídos"
"File","Archivo"
"From:","Desde:"
"Gift Message","Mensaje regalo"
"Go to <a href=""%s"">My Downloadable Products</a>","Ir a la <a href=""%s"">Mis Productos Descargargables</a>"
"Guest checkout will only work with shareable.","La facturación con visitantes sólo funcionará si se puede compartir."
"In stock","Disponible"
"Incl. Tax","Impuestos incluidos"
"Invalid download link type.","Tipo de enlace de descarga no válido."
"Invoiced","Facturado"
"Links can be purchased separately","Los enlaces se puede comprar por separado."
"List","Lista"
"Max. Downloads","Máximas descargas"
"Message:","Mensaje:"
"Move","Mover"
"My Downloadable Products","Artículos para descargar"
"Open Links in New Window","Abrir enlaces en una nueva ventana"
"Order #","Pedido nº "
"Order Item Status to Enable Downloads","Estado de artículo pedido para habilitar descargas"
"Order id cannot be null","El ID del pedido no puede ser nulo"
"Order item id cannot be null","El ID del artículo del pedido no puede ser nulo"
"Ordered","Pedidos"
"Out of stock","No está disponible"
"Pending","Pendiente"
"Please log in to download your product.","Por favor, acceda para descargar su producto."
"Please set resource file and link type.","Por favor, asigne el archivo de recurso y el tipo de enlace."
"Please specify product link(s).","Por favor, especifique el(los) enlace(s) de artículo."
"Price","Precio"
"Qty","Cant"
"Refunded","Reembolsado."
"Remaining Downloads","Descargas restantes"
"Remove","Remover"
"Remove Item","Eliminar elemento"
"SKU","Unidad de mantenimiento de existencias (SKU)"
"Sample","Muestra"
"See price before order confirmation.","Consulte el precio antes de la confirmación del pedido."
"Shareable","Se puede compartir"
"Shipped","Enviado"
"Sorry, there was an error getting requested content. Please contact the store owner.","Lo sentimos, se ha producido un error al obtener el contenido solicitado. Por favor, póngase en contacto con el propietario de la tienda."
"Sort Order","Orden de aparición"
"Start Download","Iniciar descarga"
"Status","Estatus"
"The link has expired.","El enlace ha caducado."
"The link is not available.","El enlace no está disponible."
"Title","Título"
"To:","A:"
"Unlimited","Ilimitado"
"Update","Actualizar"
"Use Content-Disposition","Utilizar Contenido-Disposición"
"Use Default Value","Usar Valor Predeterminado"
"View Order","Ver pedido"
"What's this?","¿Qué es esto?"
"You have not purchased any downloadable products yet.","Todavía no ha adquirido ningún artículo descargable."
"attachment","documento adjunto"
"download","descarga"
"inline","en línea"
"sample","muestra"
