"Active","Activo"
"Add Attribute Mapping","Añadir Mapeo de Atributo"
"Add New Attribute","Añadir nuevo atributo"
"Add to Google Base","Añadir a Google Base"
"Are you sure?","¿Está seguro(a)?"
"Attribute","Atributo"
"Attribute Set","Conjunto de atributos"
"Attribute Set and Item Type","Atributo Colocado y Tipo de Artículo"
"Attributes","Atributos"
"Attributes Set","Atributos Colocados"
"Available Products","Productos Disponibles"
"Captcha confirmation error: %s","Error Captcha de confirmación: %s"
"Catalog","Catálogo"
"Clicks","Clic"
"ClientLogin","Registro del Cliente"
"Confirm","Confirmar"
"Current Mapping will be reloaded. Continue?","Al mapeo actual será recargado ¿Continua?"
"Custom attribute, no mapping","Atributo personalizado, sin mapear"
"Delete","Borrar"
"Delete Mapping","Eliminar Mapeo"
"Edit Item Type","Modificar tipo de artículo"
"Edit Item Type ""%s""","Modificar tipo de artículo ""%s"""
"Expires","Vencimiento"
"Google Base Attribute","Atributo Google Base"
"Google Base ID","ID de Google Base"
"Google Base Item Type","Tipo de artículo Google Base"
"Google Base Item type","Tipo de artículo Google Base"
"Google Base Items","Artículos Google Base"
"Hide","Ocultar"
"Invalid Product Model for Google Base Item","Modelo de producto inválido para artículo de Google Base"
"Item Type was deleted","Tipo de artículo fue eliminado"
"Item Types","Tipos de artículos"
"Items","Artículos"
"Manage Attribute Mapping","Gestión del mapeo del artículo"
"Manage Attributes","Gestión de los atributos"
"Manage Items","Gestionar artículos"
"New Item Type","Tipo de Artículo Nuevo"
"No","No 	"
"No items were deleted from Google Base","Ningún artículo fue eliminado de Google Base"
"No items were published","Ningún artículo fue publicado"
"No products were added to Google Base","Ningún producto fue añadido a Google Base"
"Please, select Attribute Set and Google Item Type to load attributes","Seleccione atríbuto colocado y tipo de artículo Google para cargar atributos"
"Product Name","Nombre del producto"
"Publish","Publicar"
"Published","Publicado"
"Remove","Remover"
"Save Mapping","Guardar mapeo"
"Synchronize","Sincronizar"
"Target Country","País objetivo"
"This action will update items statistics and remove the items which are not available in Google Base. Continue?","Esta acción actualizará estadísticas de artículos y eliminará artículos que no estén disponibles en Google Base. ¿Continuar?"
"Unable to connect to Google Base. Please, check Account settings in configuration.","Imposible de conectarse a Google Base. Revisar la configuración de la cuenta en configuración."
"View Available Products","Ver Productos Disponibles"
"View Item in Google Base","Ver artículo en Google Base"
"Yes","Sí"
