"* Required Fields","* Campos obligatorios"
"Comment","Comentario"
"Contact Form","Formulario de contacto"
"Contact Information","Información del contacto"
"Contact Us","Contáctenos"
"Contacts","Contactos"
"Email","Correo electrónico"
"Email Options","Opciones de correo electrónico"
"Email Sender","Remitente de correo electrónico"
"Email Template","Plantilla de email"
"Enable Contact Us","Habilitar contacte con nosotros"
"Name","Nombre"
"Send Emails To","Enviar correos electrónicos a"
"Submit","Enviar"
"Telephone","Teléfono"
"Unable to submit your request. Please, try again later","No se puede enviar su solicitud. Por favor, inténtelo de nuevo más tarde"
"Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.","Su solicitud fue enviada y será respondida tan pronto como sea posible. Gracias por contactarnos."
