"%s Item(s)","%s Artículo(s)"
"(Shift-)Click or drag to change value","(Shift-)Clic o arrastre para cambiar valor"
"- Click on any of the time parts to increase it","- Clic en cualquiera de las partes de la hora para aumentarla"
"- Hold mouse button on any of the above buttons for faster selection.","- Sostenga el botón del mouse en cualquiera de los botones de arriba para una selección más rápida."
"- Use the %s buttons to select month","- Utilice el botón %s para seleccionar mes"
"- Use the %s, %s buttons to select year","- Utilice el botón %s para seleccionar mes"
"- or Shift-click to decrease it","- 0 shift-clic para aumentarlo"
"- or click and drag for faster selection.","- o clic y arrastre para selección más rápida."
"-- Please Select --","--Seleccione--"
"1 column","1 columna"
"2 columns with left bar","2 columnas con barra a la izquierda"
"2 columns with right bar","2 columnas con barra a la derecha"
"3 columns","3 columnas"
"About the calendar","Acerca del calendario"
"Account","Cuenta"
"All Pages","Todas las páginas"
"Allow","Permitir"
"Click <a href=""%s"">here</a> if nothing has happened","Clic <a href=""%s"">aquí</a> si nada ha pasado"
"Close","Cerrar"
"Close Window","Cerrar ventana"
"DHTML Date/Time Selector","DHTML Selector de Fecha/Hora"
"Date selection:","Selección de Fecha:"
"Default Description","Descripción predeterminada"
"Default welcome msg!","¡Mensaje de bienvenida! (predeterminada)"
"Display %s first","Mostrar %s primero"
"Distributed under GNU LGPL. See %s for details.","Distribuido bajo GNU LGPL. Ver %s para más detalles."
"Drag to move","Arrastre para mover"
"Empty","Vacío"
"For latest version visit: %s","Para la versión más actualizada visite: %s"
"Go Today","Hoy"
"Help Us to Keep Magento Healthy","Mantengamos Próspero a Magento ¡Participa!"
"Interface Language","Interfaz de Idioma"
"Items %s to %s of %s total","Artículos %s a %s de un total de %s"
"JavaScript seems to be disabled in your browser.","Parece que JavaScript está deshabilitado en su navegador."
"Left Column","Columna izquierda"
"Menu","Menú"
"Next","Siguiente"
"Next month (hold for menu)","Mes siguiente (mantenga para ver menú)"
"Next year (hold for menu)","Año siguiente (mantenga para ver menú)"
"Page:","Página:"
"Prev. month (hold for menu)","Mes ant. (mantenga para ver menú)"
"Prev. year (hold for menu)","Año ant. (mantenga para ver menú)"
"Previous","Anterior"
"Redirecting...","Redireccionando..."
"Report All Bugs","Informar de todos los errores"
"Right Column","Columna derecha"
"Search","Buscar"
"Select Store","Seleccionar tienda"
"Select date","Seleccionar fecha"
"Show","Mostrar"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Esto es un demo de tienda. Cualquier pedido hecho por esta tienda no será atendida."
"Time selection:","Selección de hora:"
"Time:","Hora:"
"View All","Ver todo"
"Welcome, %s!","¡Bienvenido, %s!"
"Your Language","Su idioma"
"Your Language:","Su idioma:"
"per page","por página"
