"* Required Fields","* Campos obligatorios"
"ALL GROUPS","TODOS LOS GRUPOS"
"Account Dashboard","Cuenta del Panel de Control"
"Account Information","Información de la cuenta"
"Account Sharing Options","Cuenta Opciones para compartir"
"Action","Acción"
"Add New Address","Agregar nueva dirección"
"Add New Customer","Nuevo cliente"
"Add New Customer Group","Nuevo grupo de clientes"
"Added From","Agregado desde"
"Additional Address Entries","Entradas adicionales de direcciones postales"
"Address","Dirección"
"Address Book","Libreta de direcciones"
"Address Information","Información de dirección"
"Address Templates","Plantillas para direcciones"
"Addresses","Direcciones"
"Admin","Administrar"
"All","Todo"
"All Store Views","Todas las vistas de la tienda"
"All countries","Todos los países"
"Always optional.","Siempre opcional"
"Amount","Importe"
"Approved","Aprobado"
"Are you sure that you want to remove this item?","¿Está seguro que desea eliminar este artículo?"
"Are you sure you want to cancel adding of this address?","¿Estás seguro de que desea cancelar la adición de esta dirección?"
"Are you sure you want to delete this address?","¿Realmente quiere borrar esta dirección?"
"Are you sure?","¿Está seguro(a)?"
"Assign a Customer Group","Asignar un grupo de clientes"
"Average Sale","Venta promedio"
"Back","Atrás"
"Back to Login","Volver al inicio de sesión"
"Bad request.","Solicitud incorrecta."
"Bill to Name","Factura a nombre de"
"Bought From","Comprado de"
"By Email","Por correo electrónico"
"By IP","Por IP"
"By IP and Email","Por IP y correo electrónico"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Al crear una cuenta en nuestra tienda, usted podrá realizar el proceso de pago más rápido, guardar múltiples direcciones de envío, ver y rastrear los pedidos en su cuenta y más "
"Cancel","Cancelar"
"Change Account Password","Cambiar contraseña de la cuenta"
"Change Billing Address","Cambiar la dirección de facturación"
"Change Password","Cambiar la contraseña"
"Change Shipping Address","Cambiar la dirección de envío"
"City","Ciudad"
"Company","Empresa"
"Config","Configuración"
"Configure","Configurar"
"Confirm New Password","Confirmar contraseña nueva"
"Confirm Password","Confirmar contraseña"
"Confirmation Link Email","Enlace de confirmación para el correo electrónico"
"Confirmed","Confirmado"
"Contact Information","Información del contacto"
"Continue Shopping","Continuar comprando"
"Country","País"
"Create","Crear"
"Create New Account Options","Crear nuevas opciones para una cuenta"
"Create New Customer Account","Crear Cuenta Nueva de Cliente"
"Create Order","Crear pedido"
"Create an Account","Crear una cuenta"
"Create customer","Crear cliente"
"Create customer address","Crear dirección de cliente"
"Current Password","Contraseña actual"
"Customer","Cliente"
"Customer Addresses","Direcciones del cliente"
"Customer Configuration","Configuración del cliente"
"Customer Group","Grupo del cliente"
"Customer Groups","Grupos de Clientes"
"Customer Information","Información del cliente"
"Customer Login","Inicio de sesión del cliente"
"Customer Since","Cliente desde"
"Customer View","Vista cliente"
"Customer will stay on the current page if ""No"" is selected.","El cliente permanecerá en la página actual si se elige «No»."
"Customers","Clientes"
"Customers Only","Sólo clientes"
"Customers Section","Sección de clientes"
"DD","FD"
"Date","Fecha"
"Date Added","Fecha Añadido"
"Date of Birth","Fecha de nacimiento"
"Day","Día"
"Days in Wishlist","Días en Lista de Deseos"
"Default Addresses","Direcciones (predeterminado)"
"Default Billing Address","Dirección de facturación por defecto"
"Default Email Domain","Dominio de Email Predeterminado"
"Default Group","Grupo (predeterminado)"
"Default Shipping Address","Dirección de envío predeterminada"
"Default Value for Disable Automatic Group Changes Based on VAT ID","Valor para Disable Automatic Group Changes Based on VAT ID (predeterminado)"
"Default Welcome Email","Correo de bienvenida (predeterminado)"
"Delete","Borrar"
"Delete Address","Eliminar Dirección"
"Delete Customer","Eliminar Cliente"
"Delete Customer Group","Borrar grupo de clientes"
"Delete customer","Eliminar cliente"
"Delete customer address","Eliminar dirección de cliente"
"Deleted Stores","Tiendas eliminadas"
"Details","Detalles"
"Disabled","Deshabilitada"
"Edit","Editar"
"Edit Account Info","Modificar Información de la Cuenta"
"Edit Account Information","Editar información de la cuenta"
"Edit Address","Editar dirección"
"Edit Address Entry","Modificar Entrada de Dirección"
"Edit Customer Group ""%s""","Modificar Grupo de Clientes ""%s"""
"Edit Customer Groups","Editar grupos del cliente"
"Edit Customer's Address","Modificar Dirección del Cliente"
"Edit Group","Editar grupo"
"Edit Newsletters","Modificar Noticias"
"Email","Correo electrónico"
"Email Address","Dirección de email"
"Email Sender","Remitente de correo electrónico"
"Email:","Correo electrónico:"
"Enable Automatic Assignment to Customer Group","Habilitar la asignación automática al grupo de clientes"
"Failed to confirm customer account.","Falla al confirmar la cuenta del cliente."
"First Name","Nombre"
"Forgot Email Template","Plantilla para recordatorio de correo electrónico"
"Forgot Password","Olvidé mi contraseña"
"Forgot Your Password?","¿Olvidó su contraseña?"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","Desde su Mi cuenta"" de su escritorio usted tiene la posibilidad de ver un resumen de su actividad reciente de la cuenta y actualizar la información de su cuenta. Elija uno de los enlaces siguientes para ver o modificar la información."""
"Gender","Sexo"
"General Subscription","Suscripción general"
"Generate Human-Friendly Customer ID","Generar ID de cliente amigable"
"Global","General"
"Group","Grupo"
"Group Information","Información del grupo"
"Group Name","Nombre del grupo"
"Group for Invalid VAT ID","Grupo para ID del IVA no válido"
"Group for Valid VAT ID - Domestic","Grupo para ID del IVA válido - Doméstico"
"Group for Valid VAT ID - Intra-Union","Grupo para ID del IVA válido - Intraunión"
"Guest","Visitante"
"Hello, %s!","¡Hola %s!"
"ID","Identificador"
"IP Address","Dirección IP"
"If you have an account with us, please log in.","Si usted tiene una cuenta con nosotros, por favor inicie su sesión."
"Invalid current password","Contraseña inválida"
"Invalid customer data","Datos de los clientes Inválidos"
"Invalid login or password.","Clave o usuario inválido."
"Last Activity","Última actividad"
"Last Date Subscribed","Última fecha de suscripción"
"Last Date Unsubscribed","Última fecha de baja"
"Last Name","Apellidos"
"Leave empty for default (15 minutes).","Dejar en blanco para tomar el valor por defecto (15 minutos)."
"Leave empty for default (2). Valid range: 1-4","(2) predeterminado si deja vacio. Rango válido: 1-4"
"Lifetime Sales","Ventas de por Vida"
"Log In","Iniciar sesión"
"Log Out","Terminar sesión"
"Login","Entrar"
"Login Information","Información de Inicio de Sesión"
