"""Remember Me"" Default Value","Valor predeterminado de ""Recordarme"""
"* Required Fields","* Campos obligatorios"
"Address","Dirección"
"Address Information","Información de dirección"
"Already registered?","¿Está usted registrado?"
"Back","Atrás"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Al crear una cuenta en nuestra tienda, usted podrá realizar el proceso de pago más rápido, guardar múltiples direcciones de envío, ver y rastrear los pedidos en su cuenta y más "
"Checkout as Guest","Comprar como  invitado"
"Checkout as a Guest or Register","Pagar como Invitado o Regístrese"
"City","Ciudad"
"Close","Cerrar"
"Company","Empresa"
"Confirm Password","Confirmar contraseña"
"Continue","Continuar"
"Country","País"
"Create an Account","Crear una cuenta"
"Easy access to your order history and status","Acceso fácil a su historial de pedidos y su estatus"
"Email Address","Dirección de email"
"Enable ""Remember Me""","Activar ""Recordarme"""
"Enable Persistence","Activar persistencia"
"Fast and easy check out","Compra Fácil y rápida"
"Forgot Your Password?","¿Olvidó su contraseña?"
"Forgot your password?","¿Olvidó su contraseña?"
"General Options","Opciones generales"
"If you have an account with us, please log in.","Si usted tiene una cuenta con nosotros, por favor inicie su sesión."
"Loading next step...","Cargando el siguiente paso..."
"Login","Entrar"
"Login Information","Información de Inicio de Sesión"
"Login or Create an Account","Iniciar sesión ó crear una cuenta"
"New Customers","Nuevos clientes"
"Password","Contraseña"
"Persist Shopping Cart","Hacer persistente la cesta de la compra"
"Persistence Lifetime (seconds)","Duración de la persistencia (segundos)"
"Persistent Shopping Cart","Carrito de compras persistente"
"Personal Information","Información Personal"
"Please log in below:","Por favor inicie sesión debajo:"
"Please select region, state or province","Por favor seleccione región, estado o provincia"
"Register","Registrar"
"Register and save time!","Regístrese y ahorre tiempo!"
"Register to Create an Account","Regístrese para crear una cuenta"
"Register with us for future convenience:","Regístrese con nosotros para una mejor conveniencia:"
"Registered Customers","Clientes registrados"
"Remember Me","Recordarme"
"Save in address book","Guardar en libreta de direcciones"
"Select State/Province...","Seleccionar el Estado/Provincia..."
"Select a billing address from your address book or enter a new address.","Seleccione una dirección de cobro de su libreta de direcciones o ingrese una nueva dirección."
"Ship to different address","Enviar a diferentes direcciones"
"Ship to this address","Enviar a esta dirección"
"Sign Up for Newsletter","Suscribirse al boletín"
"State/Province","Estado/provincia"
"Street Address","Dirección"
"Submit","Enviar"
"Telephone","Teléfono"
"VAT Number","Número de IVA"
"Welcome, %s!","¡Bienvenido, %s!"
"What's this?","¿Qué es esto?"
"Zip/Postal Code","Código Postal"
