"# of Uses","# de Usos"
"Action","Acción"
"Add","Agregar"
"Add New Tag","Agregar Etiqueta Nueva"
"Add Tags","Agregar Etiquetas"
"Add Your Tags:","Agregar Tus Etiquetas:"
"Add to Cart","Añadir al carrito"
"Add to Wishlist","Añadir a la lista de deseos"
"All Tags","Todas las etiquetas"
"Approved","Aprobado"
"Are you sure you want to delete this tag?","¿Está usted seguro que desea eliminar esta etiqueta?"
"Are you sure you want to do this?","¿Está seguro de que quiere hacer esto?"
"Are you sure?","¿Está seguro(a)?"
"Back","Atrás"
"Back to Tags List","Regresar a Lista de Etiquetas"
"Block Information","Bloque información"
"Change status","Cambiar estado"
"Click on a tag to view your corresponding products.","Clic en una etiqueta para ver sus productos correspondientes."
"Country","País"
"Customer Since","Cliente desde"
"Customers","Clientes"
"Customers Tagged '%s'","Etiquetado por Cliente '%s'"
"Delete","Borrar"
"Delete Tag","Eliminar Etiqueta"
"Disabled","Deshabilitada"
"Edit Tag '%s'","Modificar Etiqueta '%s'"
"Email","Correo electrónico"
"First Name","Nombre"
"General Information","Información general"
"Grid","Parrilla"
"ID","Identificador"
"Last Name","Apellidos"
"List","Lista"
"My Recent Tags","Mis Etiquetas Recientes"
"My Tags","Mis Etiquetas"
"Name","Nombre"
"New Tag","Etiqueta Nueva"
"No matches found.","No se encontraron coincidencias."
"Other people marked this product with these tags:","Otra persona marcó este producto con estas etiquetas:"
"Pending","Pendiente"
"Pending Tags","Etiquetas pendientes"
"Popular","Populares"
"Popular Tags","Etiquetas Populares"
"Price","Precio"
"Product Name","Nombre del producto"
"Product SKU","No. Ref. (SKU) del producto"
"Product Tags","Etiquetas de productos"
"Products","Productos"
"Products Tagged with '%s'","Productos Etiquetados con '%s'"
"Products tagged with '%s'","Productos etiquetados con '%s'"
"Remove","Remover"
"SKU","Unidad de mantenimiento de existencias (SKU)"
"Save Tag","Guardar Etiqueta"
"Save and Continue Edit","Guardar y continuar editando"
"Status","Estatus"
"Store View","Vista de la tienda"
"Tag","Etiqueta"
"Tag Name","Nombre de etiqueta"
"Tags","Etiquetas"
"Tags:","Etiquetas:"
"Telephone","Teléfono"
"Unable to find any products tagged with '%s' in the current store","No se encontraron productos etiquetados con '%s' en la tienda actual"
"Unable to remove tag. Please, try again later.","No se puede eliminar la etiqueta. Por favor, intente de nuevo más tarde."
"Update","Actualizar"
"Use spaces to separate tags. Use single quotes (') for phrases.","Use espacios para separar las etiquetas. Use comillas simples (') por frase."
"View All Tags","Ver Todas las Etiquetas"
"View Customers","Ver Clientes"
"View Products","Ver Productos"
"You have not tagged any products yet.","Usted no ha etiquetado ningún producto aun."
"ZIP/Post Code","Código postal"
"[STORE VIEW]","[VISTA DE TIENDA]"
