"# of Use","# de Uso"
"%1$s incl tax.","%1$s incl impuestos."
"%s Item(s)","%s Artículo(s)"
"(Copy data from: %s)","(Copiar datos de: %s)"
"* Required Fields","* Campos obligatorios"
"-- Please Select --","--Seleccione--"
"A group with the same name already exists.","Ya existe un grupo con el mismo nombre."
"A name is required","Un nombre es requerido"
"A product type is not defined for the indexer.","No hay un tipo de artículo definido para el motor de indexación."
"ALL GROUPS","TODOS LOS GRUPOS"
"AM","a la mañana"
"Action","Acción"
"Actual Price","Precio real"
"Add","Agregar"
"Add Attribute","Añadir atributo"
"Add Design Change","Añadir cambio de diseño"
"Add Group","Añadir grupo"
"Add New","Agregar nuevo"
"Add New Attribute","Añadir nuevo atributo"
"Add New Attribute Set","Nuevo conjunto de atributos"
"Add New Group","Nuevo grupo"
"Add New Images","Agregar nuevas imágenes"
"Add New Option","Añadir nueva opción"
"Add New Row","Agregar nueva fila"
"Add New Search Term","Añadir nuevo término de búsqueda"
"Add New Set","Añadir Arreglo Nuevo"
"Add Product","Añadir producto"
"Add Product To Websites","Añadir artículo a sitios web"
"Add Root Category","Añadir categoría raíz"
"Add Subcategory","Añadir subcategoría"
"Add Tax","Añadir impuestos"
"Add Tier","Añadir Capa"
"Add to Cart","Añadir al carrito"
"Add to Compare","Añadir para comparar"
"Add to Wishlist","Añadir a la lista de deseos"
"Additional Information","Información Adicional"
"All","Todo"
"All Product Types","Todos los tipos de artículos"
"All Websites","Todos sitios web"
"All products","Todos los artículos"
"All products - recently added products, New products - products marked as new","Todos los artículos - artículos añadidos recientemente, Nuevos artículos - artículos marcados como nuevos"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","¡Todos los productos de este arreglo serán borrados! ¿Está seguro de que desea eliminar esta arreglo del atributo?"
"Allow All Products per Page","Permitir todos los artículos por página"
"Amount","Importe"
"Anchor Custom Text","Ancla Texto personalizado"
"Anchor Custom Title","Anclar título personalizado"
"Apply To","Aplicar a"
"Approved","Aprobado"
"Are you sure you want to delete this category?","¿Está seguro de que desea eliminar esta categoría?"
"Are you sure you would like to remove all products from your comparison?","¿Está seguro de que desea eliminar todos los productos de su comparación?"
"Are you sure you would like to remove this item from the compare products?","¿Está seguro que quiere eliminar este artículo de comparador de productos?"
"Are you sure?","¿Está seguro(a)?"
"As low as:","Tan bajo como:"
"Assign","Asignar"
"Assign product link","Asignar enlace al producto"
"Assign product to category","Asignar producto a categoría"
