" and "," y "
"(For US 2-letter state names)","(Para los EU nombres de estado de 2 letras)"
"(If left empty will be auto-generated)","(Si se deja en blando será autogenerado)"
"(Leave empty for first spreadsheet)","(Dejar vacio para la primer hoja de cálculo)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Los productos serán añadidos o actualizados para esta tienda si la columna ""tienda"" esta en blanco o perdida en el archivo de importación.)"
"(Shift-)Click or drag to change value","(Shift-)Clic o arrastre para cambiar valor"
"(Starting with)","(Comienza con)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(Cuando sea 'No', sólo los campos trazados serán importados. Cuando sea trazado, utilice 'columna1', 'columna2', etc.)"
"(You have to increase php memory_limit before changing this value)","(Tiene que incrementar php memory_limit antes de cambiar este valor)"
"(\t for tab)","(t para tab)"
"* Required Fields","* Campos obligatorios"
"- Click on any of the time parts to increase it","- Clic en cualquiera de las partes de la hora para aumentarla"
"- Hold mouse button on any of the above buttons for faster selection.","- Sostenga el botón del mouse en cualquiera de los botones de arriba para una selección más rápida."
"- Use the %s buttons to select month","- Utilice el botón %s para seleccionar mes"
"- Use the %s, %s buttons to select year","- Utilice el botón %s para seleccionar mes"
"- or Shift-click to decrease it","- 0 shift-clic para aumentarlo"
"- or click and drag for faster selection.","- o clic y arrastre para selección más rápida."
"-- Please Select --","--Seleccione--"
"-- Please Select Billing Agreement--","-- Por favor, seleccione el acuerdo de facturación--"
"-- Please Select a Category --","--Por favor, seleccione una categoría--"
"-- Please select --","-- Por favor, seleccione --"
"--Please Select--","--Por favor seleccione--"
"1 Hour","1 Hora"
"12 Hours","12 Horas"
"2 Hours","2 Horas"
"24 Hours","24 Horas"
"2YTD","2AHD"
"6 Hours","6 Horas"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading""> error 404</h1><p>Página no encontrada.</p>"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Atención</strong>: Captcha es sensible al uso de mayúsculas y minúsculas."
"A user with the same user name or email already exists.","Ya existe un usuario con el mismo nombre de usuario o correo electrónico."
"API Key","Clave API"
"Abandoned Carts","Carritos abandonados"
"About the calendar","Acerca del calendario"
"Account Created in:","Cuenta creada en:"
"Account Created on (%s):","Cuenta creada en (%s):"
"Account Created on:","Cuenta creada sobre:"
"Account Information","Información de la cuenta"
"Account Status","Estado de cuenta"
"Account status","Estatus de la cuenta"
"Action","Acción"
"Actions","Acciones"
"Actions XML","Acciones XML"
"Active","Activo"
"Add","Agregar"
"Add Exception","Añadir excepción"
"Add Field Mapping","Agregar campo seleccionado"
"Add Field with URL:","Añadir campo con URL:"
"Add New","Agregar nuevo"
"Add New Block","Añadir Nuevo Bloque"
"Add New Image","Añadir nueva imagen"
"Add New Profile","Agregar Perfil Nuevo"
"Add New Role","Añadir Nuevo Cargo"
"Add New Template","Añadir Nueva Plantilla"
"Add New URL Rewrite","Añadir nueva reescritura URL"
"Add New User","Añadir nuevo usuario"
"Add New Variable","Agregar nueva variable"
"Add Products","Añadir Productos"
"Add URL Rewrite","Añadir Reescritura URL"
"Add URL Rewrite for a Category","Añadir la reescritura de URL para una categoría"
"Add URL Rewrite for a Product","Añadir reescritura URL para un producto"
"Add after","Hinzufügen nach"
"Additional Cache Management","Gestión de memoria caché adicional"
"Address Type:","Tipo de Dirección:"
"Admin","Administrar"
"Advanced Admin Section","Sección Avanzada de Admin"
"Advanced Profiles","Perfiles avanzados"
"Advanced Section","Sección avanzada"
"All","Todo"
"All Allowed Countries","Todos los países permitidos"
"All Cache","Toda la Cache"
"All Files","Todos los archivos"
"All Reviews","Todas las reseñas"
"All Store Views","Todas las vistas de la tienda"
"All Tags","Todas las etiquetas"
"All Websites","Todos sitios web"
"All countries","Todos los países"
"All fields","Todos los campos"
"All valid rates have been saved.","Alle gültigen Kurse wurden gespeichert."
"Always (during development)","Immer (während der Entwicklung)"
"Amounts","Cantidades"
"An error occurred while clearing the JavaScript/CSS cache.","Error al borrar la memoria caché de JavaScript/CSS."
"An error occurred while clearing the image cache.","Error al borrar la caché de imagen."
"An error occurred while deleting this role.","Ocurrió un error al eliminar esta función."
"An error occurred while saving account.","Ocurrió un error al guardar la cuenta."
"An error occurred while saving this role.","Error al guardar esta funcion."
"Any","Cualquiera"
"Any Attribute Set","Cualquier set de cualidades"
"Any Group","Cualquier grupo"
"Any Status","Cualquier estatus"
"Any Store","Cualquier tienda"
"Any Type","Cualquier tipo"
"Any Visibility","Cualquier visibilidad"
"Archive file name:","Nombre de archivo:"
"Are you sure that you want to delete this template?","¿Está seguro de que desea eliminar esta plantilla?"
"Are you sure that you want to strip tags?","¿Está seguro que quiere borrar las etiquetas?"
"Are you sure you want to do this?","¿Está seguro de que quiere hacer esto?"
"Area","Área"
"As low as:","Tan bajo como:"
"Assigned","Asignado"
"Attribute Set Name:","Nombre del conjunto de Atributos:"
"Attributes","Atributos"
"Authorize","Autorizar"
"Automatic (equalize price ranges)","Automático (igualar los rangos de precios)"
"Automatic (equalize product counts)","Automatisch (Wertangleichung Artikelzählung)"
"Average Order Amount","Importe promedio de pedidos"
"Average Orders","Pedidos promedio"
"Back","Atrás"
"Back to Login","Volver al inicio de sesión"
"Backup","Copia de seguridad"
"Backup Name","Nombre de la copia de seguridad"
"Backup options","Opciones de copia de seguridad"
"Backups","Copias de seguridad"
"Base currency","Basiswährung"
