"(Excl. Tax)","(Impuesto no incluido)"
"(Incl. Tax)","(Incl. impuesto)"
"* Required Fields","* Campos obligatorios"
"Add New Address","Agregar nueva dirección"
"Add New Condition","Añadir Nueva Condición"
"Add to Cart","Añadir al carrito"
"Add to Compare","Añadir para comparar"
"Add to Wishlist","Añadir a la lista de deseos"
"Address","Dirección"
"Address %s of %s","Dirección %s de %s"
"After Adding a Product Redirect to Shopping Cart","Nach Hinzufügen eines Artikels zum Warenkorb weiterleiten"
"Allow Guest Checkout","Permitir proceso de pago para visitantes"
"Already registered?","¿Está usted registrado?"
"An error occurred in the process of payment","Ha ocurrido un error en durante el proceso de pago"
"Apply","Aplicar"
"Apply Coupon","Aplicar cupón"
"Are you sure you would like to remove this item from the shopping cart?","¿Seguro que desea eliminar este artículo del carrito de la compra?"
"Back","Atrás"
"Back to Billing Information","Volver a información de facturación"
"Back to Select Addresses","Zurück zur Adressauswahl"
"Back to Shipping Information","Zurück zur Lieferadresse"
"Back to Shopping Cart","Volver al carro de compras"
"Based on your selection, you may be interested in the following items:","Basados en su selección, tal vez le interesen los siguientes artículos:"
"Billing Address","Dirección de facturación"
"Billing Information","Información de facturación"
"Billing Information - %s","Información de Facturación - %s"
"Cancel","Cancelar"
"Cancel Coupon","Cancelar el cupón"
"Cannot process the item.","No se puede procesar el elemento."
"Card Verification Number Visual Reference","Referencia visual de número de verificación de tarjeta"
"Cart Subtotal:","Subtotal del carrito:"
"Change","Cambio"
"Change Billing Address","Cambiar la dirección de facturación"
"Checkbox Text","Texto del Checkbox"
"Checkout","Realizar pedido"
"Checkout Conditions","Condiciones de pago"
"Checkout Options","Opciones para el proceso de pago"
"Checkout Section","Sección de pago"
"Checkout Terms and Conditions","Términos y condiciones de pago"
"Checkout as Guest","Comprar como  invitado"
"Checkout as a Guest or Register","Pagar como Invitado o Regístrese"
"Checkout with Multiple Addresses","Comprar y pagar con múltiples direcciones"
"City","Ciudad"
"Clear Shopping Cart","Vaciar el carrito"
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","Cliqué <a href=""%s"" onclick=""this.target='_blank'"">aquí para imprimir</a> una copia de su confirmación de pedido."
"Close","Cerrar"
"Company","Empresa"
"Condition Name","Nombre de la condición"
"Configurable Product Image","Imagen de producto configurable"
"Confirm Password","Confirmar contraseña"
"Content","Contenido"
"Content Height","Contenido altura"
"Content Height (css)","Contenido altura (css)"
"Continue","Continuar"
"Continue Shopping","Continuar comprando"
"Continue to Billing Information","Weiter zur Rechnungsadresse"
"Continue to Review Your Order","Continuar revisando su pedido"
"Continue to Shipping Information","Continuar con la información de compra"
"Country","País"
"Coupon code ""%s"" is not valid.","El código de cupón ""%s""  no es válido."
"Create Billing Address","Crear la dirección de facturación"
"Create Shipping Address","Crear la dirección de envío"
"Customer Information","Información del cliente"
"Data saving problem","Problema de guardar los datos"
"Default Billing","Facturación predeterminada"
"Default Shipping","Envío predetermindado"
"Delete Condition","Eliminar condición"
"Details","Detalles"
"Disabled","Deshabilitada"
"Discount Codes","Códigos de descuento"
"Display Cart Summary","Mostrar Resumen del Carro"
"Display Shopping Cart Sidebar","Mostrar barra lateral del carrito de compra"
"Display item quantities","Mostrar las cantidades de artículo"
"Display number of items in cart","Mostrar el número de artículos en el carrito"
"Easy access to your order history and status","Acceso fácil a su historial de pedidos y su estatus"
"Edit","Editar"
"Edit Address","Editar dirección"
"Edit Billing Address","Modificar dirección de facturación"
"Edit Condition","Editar condición"
"Edit Items","Artikel bearbeiten"
"Edit Shipping Address","Modificar dirección de envío"
"Edit Terms and Conditions","Editar términos y condiciones"
"Edit Your Cart","Editar Carrito"
"Edit item","Editar artículo"
"Edit item parameters","Editar parámetros del artículo"
"Email Address","Dirección de email"
"Enable Onepage Checkout","Habilitar Checkout en una sola página"
"Enable Terms and Conditions","Habilitar términos y condiciones"
"Enabled","Habilitado"
"Enter a New Address","Neue Adresse eingeben"
"Enter your coupon code if you have one.","Ingrese su código de cupón si tiene alguno."
"Enter your destination to get a shipping estimate.","Ingrese su destino para obtener un estimado del envío."
"Estimate Shipping and Tax","Estimación de envío e impuestos"
"Excl. Tax","Impuestos no Incluídos"
"Fast and easy check out","Compra Fácil y rápida"
"Forgot an Item?","¿Ha olvidado un producto?"
"Forgot your password?","¿Olvidó su contraseña?"
"Get a Quote","Obtenga una cotización"
"Gift Message","Mensaje regalo"
"Grand Total:","Gesamtbetrag:"
"Grouped Product Image","Imagen de artículo agrupado"
"ID","Identificador"
"Incl. Tax","Impuestos incluidos"
"Invalid email address ""%s""","Dirección de Email inválida ""%s"""
"Invalid shipping method.","Método de envío inválido."
"Items","Artículos"
"Load customer quote error","Error al cargar la oferta al cliente"
