"Access Key","Zugriffsschlüssel"
"Authorize Only","Sólo Autorizar"
"Authorize and Capture","Autorizar y Capturar"
"Continue Shopping","Continuar comprando"
"Debug","Depurar"
"Email Sender","Remitente de correo electrónico"
"Enable","Activado"
"Merchant ID","Identificación del comerciante"
"Merchant Login","Acceso del comerciante"
"New Order Status","Nuevo estado del pedido"
"Payment Action","Acción de pago"
"Sandbox","Caja de arena"
"Secret Key","Geheimer Schlüssel"
"Thank you for your purchase!","Gracias por su compra!"
"Title","Título"
"You will receive an order confirmation email with details of your order and a link to track its progress.","Usted recibirá un Email confirmando el pedido con los detalles y un enlace para seguir su proceso."
