"-- Please Select --","--Seleccione--"
"Add Block Names to Hints","Añadir Nombres de Bloques para Sugerencias"
"Add Secret Key to URLs","Añadir clave secreta a direcciones URL"
"Add Store Code to Urls","Agregar el código de tienda a las direcciones Url"
"Admin","Administrar"
"Admin Base URL","URL base de administración"
"Admin User Emails","Correos electrónicos del usuario administrador"
"Advanced","Opciones avanzadas"
"Allow Countries","Países permitidos"
"Allow Symlinks","Permitir enlaces simbólicos"
"Allowed IPs (comma separated)","IP permitidas (separadas por comas)"
"Anchor Text for Next","Texto de ancla para página siguiente"
"Anchor Text for Previous","Texto de ancla para página anterior"
"Are you sure?","¿Está seguro(a)?"
"Auto-redirect to Base URL","Redireccionar automáticamente a la dirección URL base"
"Back","Atrás"
"Backup Options","Opciones de copia de seguridad"
"Base JavaScript URL","URL Base JavaScript"
"Base Link URL","URL base de enlaces"
"Base Media URL","URL Base Media"
"Base Skin URL","URL Base Skin"
"Base URL","URL base"
"Block with name ""%s"" already exists","Bloque con nombre ""%s"" ya existe"
"Browser Capabilities Detection","Detectar las capacidades del navegador"
"CSS Settings","Configuración CSS"
"Cache Storage Management","Administración de almacenamiento de caché"
"Can't retrieve request object","No se puede recuperar el objeto solicitado"
"Can't retrieve entity config: %s","No se puede recuperar la entidad de configuración: %s"
"Cancel","Cancelar"
"Cannot complete this operation from non-admin area.","No puede completar esta operación desde un área fuera de administrador."
"Card type does not match credit card number.","El tipo de tarjeta no coincide con el número de tarjeta de crédito."
"Code","Código"
"Controller file was loaded but class does not exist","Se cargó el archivo de controlador, pero la clase no existe"
"Cookie Domain","Dominio de la cookie"
"Cookie Lifetime","Ciclo de vida de la cookie"
"Cookie Path","Ruta de las cookies"
"Cookie Restriction Mode","Modo restrictivo de la cookie"
"Copyright","Derechos de autor"
"Country","País"
"Create Store","Crear Tienda"
"Create Store View","Crear Vista de Tienda"
"Create Website","Crear sitio web"
"Credit card number does not match credit card type.","Número de la tarjeta de crédito no corresponde al tipo de la tarjeta."
"Custom Admin Path","Ruta del administrador personalizada"
"Custom Admin URL","URL de administración personalizada"
"Custom Design","Diseño Personalizado"
"Custom Email 1","Correo electrónico personalizado 1"
"Custom Email 2","Correo electrónico personalizado 2"
"Custom Variables","Variables personalizadas"
"Customer Support","Soporte al cliente"
"Dashboard","Panel"
"Date From","Fecha desde"
"Date To","Hasta la fecha"
"Date/time format ""%s"" is not supported.","Formato de fecha/hora ""%s"" no está soportado."
"Debug","Depurar"
"Default","Predeterminado"
"Default Country","País por defecto"
"Default Description","Descripción predeterminada"
"Default Keywords","Keywords predeterminadas"
"Default No-route URL","URL de No-ruta por Defecto"
"Default Pages","Páginas por defecto"
"Default Robots","Robots (predeterminado)"
"Default Store","Almacén predeterminado"
"Default Store View","Vista de Tienda Predeterminada"
"Default Title","Título Predeterminado"
"Default Web URL","URL de web por defecto"
"Delete","Borrar"
"Delete Store","Borrar tienda"
"Delete Store View","Eliminar Vista de Tienda"
"Delete Website","Eliminar sitio web"
"Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s.","La eliminación de un %1$s no eliminara la información asociada con %1$s (ejemp. categorías, productos, etc.), pero el %1$s no será capaz de restaurarse. Es recomendable que haga un respaldo para la base de datos antes de la eliminación del %1$s."
"Design","Diseño"
"Design Change","Cambio de diseño"
"Developer","Desarrollador"
"Developer Client Restrictions","Desarrolo Restricciones del cliente"
"Disable Email Communications","Desactivar las comunicaciones por correo electrónico"
"Disable Modules Output","Deshabilitar salida de módulos"
"Display Demo Store Notice","Mostrar noticia ""tienda de demonstración"""
"Duplicate Of Template Name","Duplicado del nombre de plantilla"
"Edit Design Change","Editar cambio de diseño"
"Edit Store","Editar tienda"
"Edit Store View","Editar Vista de Tienda"
"Edit Website","Modificar Sitio Web"
"Empty identifier field name","Vaciar campo identificador nombre"
"Empty main table name","Vaciar el nombre de la tabla principal"
"Enable Charts","Habilitar Gráficas"
"Enabled","Habilitado"
"Enabled for Admin","Habilitado para el Administrador"
"Enabled for Frontend","Habilitado para Portada"
"Environment Update Time","Intervalo de actualización del entorno"
"Error in file: ""%s"" - %s","Error en el archivo: ""%s"" - %s"
"European Union Countries","Países de la Unión Europea"
"Exceptions Log File Name","Nombre del archivo de registro de excepciones"
"Favicon Icon","Icono de favoritos"
"File not found","Archivo no encontrado"
"File system","Sistema de archivos"
"File with an extension ""%value%"" is protected and cannot be uploaded","El archivo con extensión ""%value%"" está protegido y no se puede subir"
"First Day of Week","Primer día de la semana"
"Flush Cache Storage","Vaciar almacenamiento de caché"
"Flush Magento Cache","Vaciar la caché de Magento"
"Footer","Pie de página"
"Forgot Password Email Sender","Olvido de contraseña, Remitente de Email"
"Forgot Password Email Template","Plantilla de Email de Contraseña olvidada"
"General Contact","Contacto general"
"General Settings","Configuración General"
"Global","General"
"HTML Head","Encabezado HTML"
"Header","Encabezado"
"Host","Servidor"
"How many links to display at once.","Cuántos enlaces mostrar a la vez."
"Incorrect credit card expiration date.","Fecha de caducidad de la tarjeta de crédito incorrecta."
"Input type ""%value%"" not found in the input types list.","El tipo de entrada ""%value%"" no se encuentra en la lista de tipos de entrada."
"Invalid base url type","Tipo de URL base inválida"
"Invalid block type: %s","Tipo de bloque inválido: %s"
"Invalid block: %s","Bloque inválido: %s"
"Invalid date","Fecha no válida"
"Invalid layout update handle","Actualización de manejo de diseño inválida"
"Invalid messages storage ""%s"" for layout messages initialization","Mensaje almacenado inválido ""%s"" para la capa de inicialización de mensajes"
"JavaScript Settings","Configuración de JavaScript"
"Layout","Diseño"
"Leave empty for access from any location.","Dejar en blanco para acceder desde cualquier lugar."
"Locale","Configuración regional"
"Locale Options","Opciones de configuración regional"
"Log Settings","Configuración de registro"
"Login is Case Sensitive","Se distinguen mayúsculas al iniciar sesión"
"Logo Image","Logo imagen"
"Logo Image Alt","Texto alternativo al logotipo"
"Logo Image Src","Src de la Imagen del Logo"
"Mail Sending Settings","Configuración del Envío de Correo"
