"%d Review(s)","%d განხილვა"
"%s Review(s)","%s განხილვა"
"Add Your Review","დაამატეთ თქვენი განხილვა"
"Approved","დამოწმებულია"
"Back to My Reviews","ჩემს განხილვებზე დაბრუნება"
"Back to Product Reviews","პროდუქციის განხილვებზე დაბრუნება"
"Be the first to review this product","პირველმა განიხილე ეს პროდუქტი"
"My Product Reviews","ჩემი განხილვები"
"My Recent Reviews","ჩემი ბოლო განხილვები"
"Pending","მოლოდინში"
"Please select a product","გთხოვთ აირჩიოთ პროდუქტი"
"Please select one of each of the ratings above","გთხოვთ აირჩიოთ ერთ-ერთი შეფასება"
"Product Name","პროდუქტის დასახელება"
"Review Details","განხილვის დეტალები"
"Save Review","განხილვის შენახვა"
"View All Reviews","ყველა განხილვის ნახვა"
"View Details","დეტალების ნახვა"
"You have submitted no reviews.","განხილვები არ გაქვთ."
