"* Required Fields","* აუცილებელი ველები"
"Add New Address","ახალი მისამართის დამატება"
"Add to Cart","კალათაში ჩადება"
"Add to Compare","+ შესადარებლად"
"Add to Wishlist","+ სურვილებში"
"Address","მისამართი"
"Address %s of %s","მისამართი %s (სულ %s)"
"Already registered?","რეგისტრირებული ბრძანდებით?"
"Apply Coupon","კუპონის გამოყენება"
"Are you sure you would like to remove this item from the shopping cart?","ნამდვილად გნებავთ ამ პროდუქტის კალათიდან ამოღება?"
"Back to Shipping Information","მიმღების ინფორმაციაზე დაბრუნება"
"Based on your selection, you may be interested in the following items:","თქვენი არჩავანიდან გამომდინარე შესაძლოა შემდეგი პროდუქციითაც დაინტერესდეთ:"
"Billing Information","გადამხდელის ინფორმაცია"
"Billing Information - %s","გადამხდელის ინფორმაცია - %s"
"Cancel Coupon","კუპონის გაუქმება"
"Card Verification Number Visual Reference","ბარათის ვერიფიკაციის ნომრის მდებარეობა"
"Cart Subtotal:","კალათის ღირებულება:"
"Change Billing Address","გადამხდელის მისამართის შეცვლა"
"Checkout","შეკვეთა"
"Checkout Conditions","შეკვეთის პირობები"
"Checkout Options","შეკვეთის პარამეტრები"
"Checkout Terms and Conditions","შეკვეთის შეთანხმება და პირობები"
"Checkout as Guest","შეუკვეთეთ სტუმრის სტატუსით"
"Checkout as a Guest or Register","შეუკვეთეთ სტუმრის სტატუსით ან დარეგისტრირდით"
"Checkout with Multiple Addresses","შეკვეთა რამოდენიმე მისამართზე"
"City","ქალაქი"
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","მიღებული შეკვეთის ასლის დასაბეჭდად <a href=""%s"" onclick=""this.target='_blank'""> დააჭირეთ აქ</a>"
"Company","კომპანია"
"Confirm Password","დაადასტურეთ პაროლი"
"Continue Shopping","ვაჭრობის გაგძელება"
"Continue to Billing Information","გაგრძელება &raquo; გადამხდელის ინფორმაცია"
"Continue to Review Your Order","გაგრძელება &raquo; შეკვეთის გადახედვა"
"Continue to Shipping Information","გაგრძელება &raquo; მიმღების ინფორმაცია"
"Coupon code ""%s"" is not valid.","კუპონის კოდი ""%s"" არასწორია."
"Create Shipping Address","მიმღების მისამართის დამატება"
"Details","პროდუქტის აღწერა"
"Discount Codes","ფასდაკლების კოდები"
"Easy access to your order history and status","შეკვეთების სტატუსსა და ისტორიაზე მოხერხებული წვდომა"
"Edit Address","მისამართის რედაქტირება"
"Edit Items","პროდუქციის რედაქტირება"
"Edit Your Cart","შეასწორეთ კალათა"
"Email Address","ელექტრონული ფოსტა"
"Enter a New Address","ახალი მისამართის შეტანა"
"Enter your coupon code if you have one.","თუ გაქვთ შეიყვანეთ კუპონის კოდი."
"Enter your destination to get a shipping estimate.","ტრანსპორტირების ფასის დასათვლელად მიუთითეთ დანიშნულების ადგილი."
"Estimate Shipping and Tax","ტრანსპორტირებისა და გადასახადების გამოთვლა"
"Fast and easy check out","შეკვეთის გაფორმება ადვილად და სწრაფად"
"Fax","მობილური"
"Forgot an Item?","გამოგრჩათ რამე?"
"Get a Quote","ფასის დათვლა"
"Grand Total:","შეკვეთის ღირებულება:"
"Loading next step...","შემდეგი ნაბიჯის გამოძახება..."
"Maximum qty allowed for Shipping to multiple addresses is %s","რამოდენიმე მისამართზე გასაგზავნად მაქსიმალური რაოდენობაა %s"
"Move","გადატანა"
"Move to Wishlist","სურვილებში გადატანა"
"My Cart","კალათა"
"My Cart (%s item)","კალათა (%s)"
"My Cart (%s items)","კალათა (%s)"
"Order #","შეკვეთის #"
"Order Review","შეკვეთის გადახედვა"
"Order Success","შეკვეთის წარმატება"
"Payment Information","ანგარიშსწორების ინფორმაცია"
"Payment Method","გადახდის მეთოდი"
"Payment method is not defined","გადახდის მეთოდი გაურკვეველია"
"Place Order","შეკვეთის განთავსება"
