"* Required Fields","* აუცილებელი ველები"
"Address","მისამართი"
"Address Information","ინფორმაცია მისამართზე"
"Already registered?","რეგისტრირებული ბრძანდებით?"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","ჩვენს მაღაზიაში ანგარიშის გახსნა საშუალებას მოგცემთ დააჩქაროთ შეკვეთის გაფორმების პროცესი, სურვილისამებრ ისარგებლოთ რამოდენიმე მისამართით, თვალი მიადევნოთ თქვენი შეკვეთების სტატუსსა და ისტორიას და სხვა."
"Checkout as Guest","შეუკვეთეთ სტუმრის სტატუსით"
"Checkout as a Guest or Register","შეუკვეთეთ სტუმრის სტატუსით ან დარეგისტრირდით"
"City","ქალაქი"
"Company","კომპანია"
"Confirm Password","დაადასტურეთ პაროლი"
"Create an Account","ანგარიშის გახსნა"
"Easy access to your order history and status","შეკვეთების სტატუსსა და ისტორიაზე მოხერხებული წვდომა"
"Email Address","ელექტრონული ფოსტა"
"Fast and easy check out","შეკვეთის გაფორმება ადვილად და სწრაფად"
"Fax","მობილური"
"Forgot Your Password?","დაგავიწყდათ პაროლი?"
"If you have an account with us, please log in.","თუ თქვენ უკვე გაქვთ გახსნილი ანგარიში ჩვენთან, გთხოვთ შეხვიდეთ."
"Loading next step...","შემდეგი ნაბიჯის გამოძახება..."
"Login Information","შესასვლელი ინფორმაცია"
"Login or Create an Account","შესვლა ან ანგარიშის გახსნა"
"Please log in below:","შედით თქვენს ანგარიშზე:"
"Please select region, state or province","გთხოვთ აირჩიოთ რეგიონი, შტატი ან პროვინცია"
"Register","რეგისტრაცია"
"Register and save time!","რეგისტრაციით დაზოგავთ დროს!"
"Register to Create an Account","ანგარიშის გასახსნელად საჭიროა რეგისტრაცია"
"Register with us for future convenience:","სამომავლო მოხერხებულობისათვის უმჯობესია დარეგისტრირდეთ:"
"Registered Customers","რეგისტრირებული მომხმარებელი"
"Save in address book","მისამართების წიგნში შენახვა"
"Select a billing address from your address book or enter a new address.","აირჩიეთ გადამხდელის მისამართი თქვენი მისამართების წიგნიდან ან დაამატეთ ახალი."
"Ship to different address","სხვა მისამართზე გაგზავნა"
"Ship to this address","ამავე მისამართზე გაგზავნა"
"Sign Up for Newsletter","სიახლეების გამოწერა"
"State/Province","რეგიონი/შტატი"
"Telephone","ტელეფონი"
"Welcome, %s!","%s, მოგესალმებით!"
