"* Required Fields","* აუცილებელი ველები"
"ALL GROUPS","ყველა ჯგუფი"
"Account Dashboard","ანგარიშის მიმოხილვა"
"Add New Address","ახალი მისამართის დამატება"
"Additional Address Entries","დამატებითი მისამართები"
"Address","მისამართი"
"Address Book","მისამართების წიგნი"
"Address Information","ინფორმაცია მისამართზე"
"Addresses","მისამართები"
"Approved","დამოწმებულია"
"Are you sure that you want to remove this item?","ნამდვილად გნებავთ ამ პროდუქტის ამოღება?"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","ჩვენს მაღაზიაში ანგარიშის გახსნა საშუალებას მოგცემთ დააჩქაროთ შეკვეთის გაფორმების პროცესი, სურვილისამებრ ისარგებლოთ რამოდენიმე მისამართით, თვალი მიადევნოთ თქვენი შეკვეთების სტატუსსა და ისტორიას და სხვა."
"Change Billing Address","გადამხდელის მისამართის შეცვლა"
"Change Password","პაროლის შეცვლა"
"Change Shipping Address","მიმღების მისამართის შეცვლა"
"City","ქალაქი"
"Company","კომპანია"
"Confirm New Password","დაადასტურეთ ახალი პაროლი"
"Confirm Password","დაადასტურეთ პაროლი"
"Contact Information","საკონტაქტო ინფორმაცია"
"Continue Shopping","ვაჭრობის გაგძელება"
"Create an Account","ანგარიშის გახსნა"
"Current Password","მიმდინარე პაროლი"
"Default Addresses","ძირითადი მისამართები"
"Default Billing Address","ძირითადი გადამხდელის მისამართი"
"Default Shipping Address","ძირითადი მიმღების მისამართი"
"Delete Address","მისამართის წაშლა"
"Details","პროდუქტის აღწერა"
"Edit Account Information","ანგარიშის რეკვიზიტების რედაქტირება"
"Edit Address","მისამართის რედაქტირება"
"Edit Address Entry","მისამართის ჩანაწერის რედაქტირება"
"Email Address","ელექტრონული ფოსტა"
"Email Sender","ელ.ფოსტის გამგზავნი"
"Fax","მობილური"
"Forgot Your Password?","დაგავიწყდათ პაროლი?"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","ანგარიშის მიმოხილვის დაფაზე შესაძლებელია დაათვალიეროთ დეტალები თქვენი ბოლო ქმედებების შესახებ და განახლოთ არსებული ინფორმაცია. მონაცემების სანახავად ან შესაცვლელად გთხოვთ ისარგებლოთ ქვემოთ მოყვანილი შესაბამისი ბმულებით."
"General Subscription","ზოგადი სიახლეები"
"Hello, %s!","მომხმარებელი: %s"
"If you have an account with us, please log in.","თუ თქვენ უკვე გაქვთ გახსნილი ანგარიში ჩვენთან, გთხოვთ შეხვიდეთ."
"Log In","შესვლა"
"Log Out","გამოსვლა"
"Login Information","შესასვლელი ინფორმაცია"
"Login or Create an Account","შესვლა ან ანგარიშის გახსნა"
"Manage Addresses","მისამართების მართვა"
"My Account","ჩემი ანგარიში"
"My Dashboard","ანგარიშის ზოგადი მიმოხილვა"
"My Orders","ჩემი შეკვეთები"
"Newsletter","სიახლეები"
"Newsletters","სიახლეები"
"Order #","შეკვეთის #"
"Order Total","ღირებულება"
"Password Management","პაროლის მართვა"
"Password Options","პაროლის პარამეტრები"
"Pending","მოლოდინში"
"Please enter your email.","გთხოვთ მიუთითოთ თქვენი ელფოსტა."
"Please select region, state or province","გთხოვთ აირჩიოთ რეგიონი, შტატი ან პროვინცია"
"Product Name","პროდუქტის დასახელება"
"Product Tags","პროდუქტის ტაგები"
"Register","რეგისტრაცია"
"Registered Customers","რეგისტრირებული მომხმარებელი"
"Retrieve your password here","პაროლის აღდგენა"
"Save Address","მისამართის შენახვა"
"Save Customer","მომხმარებლის შენახვა"
"Save Customer Group","მომხმარებელთა ჯგუფის შენახვა"
"Save Password","პაროლის შენახვა"
"Set as Default Billing Address","გადამხდელის ძირითად მისამართად დაყენება"
"Set as Default Shipping Address","მიტანის ძირითად მისამართად არჩევა"
"Shipped to First Name","მიმღების სახელი"
"Shipped to Last Name","მიმღების გვარი"
"Shipped to Name","მიმღების სახელი"
"Shopping Cart","სავაჭრო კალათა"
"Shopping Cart - %d item(s)","კალათა - %d პროდუქტი"
"Sign Up for Newsletter","სიახლეების გამოწერა"
"State/Province","რეგიონი/შტატი"
"Subscribe to Newsletter","სიახლეების გამოწერა"
"Subscribed to Newsletter?","გამოწერილი გაქვთ სიახლეები?"
"Telephone","ტელეფონი"
"Use as my default billing address","ძირითად გადამხდელის მისამართად გამოყენება"
"Use as my default shipping address","ძირითად მიმღების მისამართად გამოყენება"
"View Order","ნახვა"
"Wishlist","სურვილები"
"Wishlist - %d item(s)","სურვილები - %d ჩანაწერი"
"You are currently not subscribed to any newsletter.","თქვენ ჯერ გამოწერილი არ გაქვთ ჩვენი სიახლეები."
"You are currently subscribed to 'General Subscription'.","თქვენ გამოწერილი გაქვთ 'ზოგადი სიახლეები'"
"You are currently subscribed to our newsletter.","თქვენ გამოწერილი გაქვთ ჩვენი სიახლეები."
"You have no additional address entries in your address book.","მისამართების წიგნში დამატებითი მისამართები არ არის."
"You have no additional entries in your address book.","მისამართების წიგნში მეტი ჩანაწერი არ გაქვთ."
"You have no default billing address in your address book.","მისამართების წიგნში ძირითადი გადამხდელის მისამართი არ გაქვთ მითითებული."
"You have no default shipping address in your address book.","მისამართების წიგნში ძირითადი მიმღების მისამართი არ გაქვთ მითითებული."
"You have not set a default billing address.","ძირითადი გადამხდელის მისამართი მითითებული არა გაქვთ."
"You have not set a default shipping address.","ძირითადი მიმღების მისამართი მითითებული არა გაქვთ."
"You have placed no orders yet.","ჯერ შეკვეთები არ გაქვთ."
"ZIP/Post Code","საფოსტო ინდექსი"
