"Newsletter","სიახლეები"
"Newsletter Subscriptions","სიახლეების გამოწერები"
"Newsletter subscription confirmation","სიახლეების გამოწერის დადასტურება"
"Newsletter subscription success","სიახლეების გამოწერა წარმატებით განხორციელდა"
"Save As","შენახვა როგორც"
"Sender Name","გამგზავნის სახელი"
"Sign up for our newsletter","გამოიწერეთ ჩვენი სიახლეები"
"Subscribe","გამოწერა"
"Subscribed","გამოწერილია"
"Subscriber","გამომწერი"
"Subscribers","გამომწერები"
"Unsubscribe","გამოწერის გაუქმება"
"Unsubscribe Selected","მონიშნული გამოწერ(ებ)ის გაუქმება"
"Unsubscribed","გამოწერა გაუქმებულია"
