"(\t for tab)","(t for tab)"
"* Required Fields","* აუცილებელი ველები"
"About the calendar","კალენდრის შესახებ"
"As low as:","უმცირესი ფასი:"
"Confirm New Password","დაადასტურეთ ახალი პაროლი"
"Default Billing Address","ძირითადი გადამხდელის მისამართი"
"Details","პროდუქტის აღწერა"
"Log In","შესვლა"
"Log Out","გამოსვლა"
"My Account","ჩემი ანგარიში"
"Newsletter","სიახლეები"
"Popular","პოპულარული"
"Position","მდებარეობა"
"Processing","მუშავდება"
"Product Name","პროდუქტის დასახელება"
"Regular Price:","ჩვეულებრივი ფასი:"
"Search","ძებნა"
"Search entire store here...","შეიყვანეთ საძიებო ტექსტი..."
"Shipping Address","მიმღების მისამართი"
"Shopping Cart","სავაჭრო კალათა"
"Special Price:","სპეციალური ფასი:"
"Starting at:","საწყისი ფასი:"
