"* Required Fields","* აუცილებელი ველები"
"Add All to Cart","ყველას კალათაში ჩადება"
"Add to Cart","კალათაში ჩადება"
"Add to Compare","+ შესადარებლად"
"Add to Wishlist","+ სურვილებში"
"Are you sure you want to remove this product from your wishlist?","ნამდვილად გნებავთ ამ პროდუქტის სურვილების სიიდან ამოშლა?"
"Are you sure you would like to remove this item from the wishlist?","ნამდვილად გნებავთ ამ ჩანაწერის სურვილების სიიდან ამოშლა?"
"Email Sender","ელ.ფოსტის გამგზავნი"
"Email addresses, separated by commas","ელექტრონული ფოსტის მისამართები, გამოყოფილი მძიმით."
"Go to Wishlist","სურვილების ნახვა"
"In stock","საწყობშია"
"Last Added Items","ბოლოს დამატებულები"
"My Wishlist","სურვილები"
"My Wishlist (%d item)","სურვილები (%d ჩანაწერი)"
"My Wishlist (%d items)","სურვილები (%d ჩანაწერი)"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","გთხოვთ მიუთითოთ მოქმედი ელექტრონული ფოსტის მისამართები, გამოყოფილი მძიმით. მაგალითად dimitri@domain.com, soso@domain.com"
"Please, enter your comments...","გთხოვთ, მიუთითეთ თქვენი კომენტარი..."
"Remove Item","წაშლა"
"Remove This Item","ჩანაწერის წასშლა"
"Remove item","წაშლა"
"Share Wishlist","სურვილების გაზიარება"
"Share Your Wishlist","სურვილების გაზიარება"
"Sharing Information","ინფორმაცია გაზიარებისათვის"
"Update Wishlist","სურვილების სიის განახლება"
"View Details","დეტალების ნახვა"
"View Product","პროდუტის ნახვა"
"Wishlist","სურვილები"
"Wishlist is empty now.","სურვილების სია ამჟამად ცარიელია."
"You have no items in your wishlist.","სურვილების სია ცარიელია."
