"2nd Day Air","2 ngày hàng không"
"2nd Day Air AM","sáng ngày thứ 2 trên không"
"3 Day Select","Chọn 3 ngày"
"Allowed Methods","Cho phép các phương pháp"
"Commercial","Thương mại"
"Debug","Sửa Lỗi"
"Enable","Kích hoạt"
"Express Saver","Vận chuyển tiết kiệm"
"First Overnight","Lần đầu tiên qua đêm"
"Free Shipping","Miễn phí vận chuyển"
"Ground","Mặt đất"
"Home Delivery","Giao hàng tận nhà"
"Inches","Inch"
"Location","Vị trí"
"Media Mail","Phương tiện thư"
"Merchant ID","Mã Nhận Diện Người Bán"
"Method","Phương thức"
"New Order Status","Trạng thái đơn hàng mới"
"Next Day Air Early AM","Sáng sớm ngày tiếp theo trên không"
"Next Day Air Saver","Next Day Air tiết kiệm"
"No","Không"
"Priority Mail","Mail Ưu tiên"
"Priority Overnight","Ưu tiên qua đêm"
"Residential","Khu dân cư"
"Standard Overnight","Tiêu chuẩn qua đêm"
"Title","Tiêu đề"
"Yes","Có"
