"Add","Thêm"
"Add New Role","Thêm vai trò mới"
"Address Type","Loại địa chỉ"
"Admin","Quản trị"
"Allow","Cho phép"
"Assigned","Chỉ định"
"Attribute Set","Thiết lập thuộc tính"
"Attributes","Thuộc tính"
"Automatically Return Credit Memo Item to Stock","Tự động trả lại sản phẩm ghi nhớ tín dụng về kho"
"Back","Trở lại"
"Backorders","Đơn hàng tồn đọng"
"Base Currency","Tiền tệ cơ sở"
"Catalog","Danh mục"
"Category ID","ID nhóm"
"City","Thành phố"
"Company","Công ty"
"Country","Quốc gia"
"Coupon Code","Mã Phiếu giảm giá"
"Create","Tạo"
"Create Permanent Redirect for old URL","Tạo ra chuyển hướng vĩnh viễn cho URL cũ"
"Customer","Khách hàng"
"Customer Address","Địa chỉ khách hàng"
"Customer First Name","Tên khách hàng"
"Customer ID","Id khách hàng"
"Customer Last Name","Họ khách hàng"
"Delete","Xóa bỏ"
"Deny","Từ chối"
"Discount","Chiết khấu"
"Discount Amount","Lượng chiết khấu"
"Edit","Chỉnh sửa"
"Edit Role","Chỉnh sửa vai trò"
"Enable Qty Increments","Cho phép gia số số lượng"
"Exclude","Ngoại trừ"
"File Name","Tên tập tin"
"First Name","Tên"
"Gift Message","Tin nhắn quà tặng"
"Grand Total","Tổng số"
"Group","Nhóm"
"Guest","Khách"
"Label","Nhãn"
"Last Name","Họ"
"Manage Stock","Quản lý kho"
"Maximum Qty Allowed in Shopping Cart","Số lượng tối đa được cho phép trong giỏ hàng"
"Minimum Qty Allowed in Shopping Cart","Số lượng tối thiểu được cho phép trong giỏ hàng"
"New Role","Vai trò mới"
"Notify for Quantity Below","Thông báo cho cho số lượng dưới đây"
"Order","Đơn hàng"
"Order Comments","Bình luận"
"Order Date","Ngày đặt hàng"
"Order ID","ID đặt hàng"
"Order Status","Tình trạng đơn hàng"
"Orders","Đơn hàng"
"Original Price","Giá gốc"
"Payment Method","Phương thức thanh toán"
"Phone Number","Số Điện thoại"
"Placed from IP","Đặt từ IP"
"Position","Vị trí"
"Price","Giá"
"Product","Sản phẩm"
"Product ID","ID sản phẩm"
"Qty","Số lượng"
"Qty Increments","Gia số số lượng"
"Qty Uses Decimals","Số lượng sử dụng số thập phân"
"Role Info","Thông tin vai trò"
"Role Information","Thông tin vai trò"
"Role Name","Tên vai trò"
"Role Users","Vai trò người dùng"
"Roles","Vai trò"
"SKU","MÃ SẢN PHẨM"
"Sales","Doanh số"
"Save","Lưu lại"
"Shipping Amount","Phí vận chuyển"
"Shipping Method","Phương thức vận chuyển"
"State","Tỉnh/Thành phố"
"Stock Availability","Tình trạng hàng"
"Stock Status","Tình trạng kho hàng"
"Store Name","Tên cửa hàng"
"Subtotal","Tổng phụ"
"System","Hệ thống"
"Tax Amount","Số tiền thuế"
"Tax Percent","Phần trăm thuế"
"Tax Rate","Thuế suất"
"Total Due","Tất cả do"
"Total Paid","Tổng số trả tiền"
"Total Refunded","Tổng số trả lại"
"Type","Loại"
"Update","Cập nhật"
"ZIP/Postal Code","Mã Bưu điện/Bưu chính"
