"* Required Fields","* Bắt buộc"
"--Please Select--","--Vui lòng chọn--"
"Bank Transfer Payment","Thanh toán chuyển khoản ngân hàng"
"Card Verification Number","Số xác minh thẻ"
"Cash On Delivery Payment","Tiền mặt ngày giao hàng thanh toán"
"Check / Money Order","Kiểm tra / tiền đặt hàng"
"Credit Card Number","Số thẻ tín dụng"
"Credit Card Type","Loại thẻ tín dụng"
"Credit Card Types","Các Loại Thẻ Tín Dụng"
"Credit card type is not allowed for this payment method.","Loại thẻ tín dụng này không sử dụng được trong phương thức thanh toán này."
"Currency","Ngoại tệ"
"Day","Ngày"
"Debug Mode","Chế độ sửa lỗi"
"Enabled","Cho phép"
"Expiration Date","Ngày hết hạn"
"Incorrect credit card expiration date.","Ngày hết hạn thẻ tín dụng không chính xác."
"Instructions","Lời chỉ đẫn"
"Invalid Credit Card Number","Số thẻ tín dụng không hợp lệ"
"Issue Number","Số phát hành"
"Make Check Payable to","Thực hiện kiểm tra phải trả cho"
"Make Check payable to:","Thực hiện kiểm tra phải trả cho:"
"Maximum Order Total","Giá Trị Đơn Hàng Tối Đa"
"Merchant ID","Mã Nhận Diện Người Bán"
"Minimum Order Total","Giá Trị Đơn Hàng Tối Thiểu"
"Month","Tháng"
"N/A","Không xác định"
"New Order Status","Trạng thái đơn hàng mới"
"Password","Mật khẩu"
"Payment Method","Phương thức thanh toán"
"Payment Methods","Phương thức thanh toán"
"Payment Services","Dịch vụ thanh toán"
"Payment from Applicable Countries","Thanh Toán từ Các Nước Được Áp Dụng"
"Payment from Specific Countries","Thanh Toán từ Các Nước Cụ Thể"
"Please enter a valid credit card verification number.","Vui lòng nhập một số xác minh thẻ tín dụng hợp lệ."
"Purchase Order","Mua hàng"
"Purchase Order Number","Số đơn hàng được thanh toán"
"Selected payment type is not allowed for billing country.","Hình thức thanh toán này không sử dụng được trong quốc gia thanh toán."
"Send Check to","Gửi kiểm tra đến"
"Send Check to:","Gửi kiểm tra đến:"
"Shipping Amount","Phí vận chuyển"
"Sort Order","Thứ tự sắp xếp"
"Start Date","Ngày bắt đầu"
"Switch/Solo/Maestro Issue Number","Số thẻ Solo-Switch-Maestro"
"Switch/Solo/Maestro Only","Chỉ dùng thẻ Switch/Solo/Maestro"
"Switch/Solo/Maestro Start Date","Ngày bắt đầu Solo-Switch-Maestro"
"Tax Amount","Số tiền thuế"
"Test Mode","Chế độ dùng thử"
"The payment review action is unavailable.","Thao tác xem xét thanh toán là không có sẵn."
"The requested Payment Method is not available.","Phương thức thanh toán được yêu cầu là không có sẵn."
"Title","Tiêu đề"
"Unable to save Billing Agreement:","Không thể lưu các thỏa thuận thanh toán:"
"What is this?","Đây là gì?"
"Year","Năm"
