" [deleted]"," [xóa]"
"(\t for tab)","(t for tab)"
"* Required Fields","* Bắt buộc"
"-- Please Select --","-- Vui lòng chọn --"
"-- Please Select Billing Agreement--","--Vui lòng chọn thanh toán hợp đồng--"
"-- Please Select a Category --","--Vui lòng chọn danh mục--"
"-- Please select --","--Vui lòng chọn--"
"--Please Select--","--Vui lòng chọn--"
"1 Hour","1 Giờ"
"12 Hours","12 Giờ"
"2 Hours","2 Giờ"
"24 Hours","24 Giờ"
"6 Hours","6 Giờ"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Chú ý</strong>: Captcha là trường hợp nhạy cảm."
"A user with the same user name or email already exists.","Một người dùng với cùng tên hoặc email đã tồn tại."
"Abandoned Carts","Giỏ hàng bị bỏ rơi"
"About the calendar","Về lịch"
"Account Created in:","Tài khoản được tạo trong:"
"Account Information","Thông tin tài khoản"
"Account Status","Trạng thái tài khoản"
"Action","Thao tác"
"Actions","Thao tác"
"Active","Kích hoạt"
"Add","Thêm"
"Add New","Thêm sản phẩm mới"
"Add New Block","Thêm khối mới"
"Add New Image","Lưu hình ảnh mới"
"Add New Role","Thêm vai trò mới"
"Add New Template","Thêm mẫu mới"
"Add New URL Rewrite","Thêm chỉnh sửa URL mới"
"Add New User","Thêm người dùng mới"
"Add New Variable","Thêm biến mới"
"Add Products","Thêm sản phẩm"
"Add URL Rewrite","Thêm chỉnh sửa URL"
"Add URL Rewrite for a Category","Thêm chỉnh sửa URL cho một nhóm"
"Add URL Rewrite for a Product","Thêm chỉnh sửa URL cho một sản phẩm"
"Add after","Thêm sau"
"Additional Cache Management","Quản lý bộ đệm bổ sung"
"Admin","Quản trị"
"All","Tất Cả"
"All Allowed Countries","Cho phép tất cả các quốc gia"
"All Cache","Tất cả bộ đệm"
"All Files","Tất cả các tệp"
"All Reviews","Tất cả đánh giá"
"All Store Views","Tất cả lượt xem cửa hàng"
"All Websites","Tất cả trang Web"
"All countries","Tất cả quốc gia"
"All valid rates have been saved.","Tất cả giá hợp lệ đã được lưu."
"Always (during development)","Luôn luôn (trong quá trình phát triển)"
"Amounts","Số tiền"
"An error occurred while clearing the JavaScript/CSS cache.","Xảy ra lỗi khi xóa bộ đệm JavaScript/CSS."
"An error occurred while clearing the image cache.","Xảy ra lỗi khi xóa ảnh bộ đệm."
"An error occurred while deleting this role.","Lỗi xảy ra khi xóa các vai trò này."
"An error occurred while saving account.","Xảy ra lỗi khi lưu tài khoản."
"An error occurred while saving this role.","Lỗi xảy ra trong khi lưu vai trò."
"Any","Bất kỳ"
"Are you sure you want to do this?","Bạn có chắc rằng bạn muốn làm điều này?"
"Assigned","Chỉ định"
"Attributes","Thuộc tính"
"Authorize","Ủy quyền"
"Automatic (equalize price ranges)","Tự động (cân bằng khoảng giá)"
"Automatic (equalize product counts)","Tự động (cân bằng số lần sản phẩm)"
"Back","Trở lại"
"Backup","Bản sao lưu"
"Backup Name","Tên sao lưu"
"Backup options","Tùy chọn sao lưu"
"Backups","Bản sao lưu"
"Base currency","Tiền tệ cơ sở"
"Bestsellers","Sản phẩm bán chạy nhất"
"Billing Address","Địa chỉ thanh toán"
"Billing Address: ","Địa chỉ thanh toán: "
"Billing Agreement","Thỏa thuận thanh toán"
"Billing Agreements","Thỏa thuận thanh toán"
"Block Information","Thông tin khối nội dung"
"Blocks","Các khối"
"Both (without and with tax)","Cả hai (không có và có với thuế)"
"Browse Files...","Xem theo tệp..."
"By Email","Bằng Email"
"By IP","Bởi IP"
"By IP and Email","Bởi IP và Email"
"Cache Control","Kiểm soát bộ đệm"
"Cache Management","Quản lý bộ đệm"
"Cache Type","Loại Bộ Nhớ Cache"
"Cancel","Hủy bỏ"
"Cannot add new comment.","Không thể bình luận."
"Cannot add tracking number.","Không thể thêm số theo dõi."
"Cannot do shipment for the order separately from invoice.","Không thể vận chuyển đơn đặt hàng một cách riêng biệt từ hoá đơn."
"Cannot do shipment for the order.","Không thể vận chuyển cho đơn đặt hàng."
"Cannot save shipment.","Không thể lưu vận chuyển."
"Cannot send shipment information.","Không thể gửi thông tin lô hàng."
"Cannot update item quantity.","Không thể cập nhật số lượng mặt hàng."
"Card Verification Number","Số xác minh thẻ"
"Catalog","Danh mục"
"Catalog Rewrites","Viết lại danh mục "
"Categories","Nhóm"
"Category","Nhóm"
"Category:","Nhóm:"
"Child Transactions","Giao dịch con"
"Choose Store View:","Chọn cửa hàng xem:"
"Clear","Xóa"
"Close","Đóng lại"
"Code","Mã"
"Complete","Hoàn tất"
"Config form fieldset clone model required to be able to clone fields","Cấu hình dạng mẫu bộ trường vô tính cần thiết để có thể sao chép các trường vô tính"
"Configuration","Cấu hình"
"Confirm New Password","Xác nhận Mật khẩu Mới"
"Confirmed email:","Xác nhận địa chỉ email:"
"Continue","Tiếp tục"
"Convert to Plain Text","Chuyển đổi sang văn bản thuần"
"Cookie (unsafe)","Cookie (không an toàn)"
"Country","Quốc gia"
"Coupons","Phiếu giảm giá"
"Create","Tạo"
"Create DB Backup","Tạo hệ thống sao lưu DB"
"Create New Attribute","Tạo mới thuộc tính"
"Created At","Đã tạo vào"
"Credit Card Number","Số thẻ tín dụng"
"Credit Card Type","Loại thẻ tín dụng"
"Credit Memo History","Bản ghi nhớ lịch sử tín dụng"
"Credit Memo Totals","Tổng số Ghi Nhớ Tín Dụng"
"Credit Memos","Ghi nhớ tín dụng"
"Currency","Ngoại tệ"
"Current Configuration Scope:","Phạm vi cấu hình hiện tại:"
"Current Month","Tháng hiện tại"
"Custom","Tùy chỉnh"
"Custom Variables","Biến tùy chỉnh"
"Customer","Khách hàng"
"Customer Group:","Nhóm khách hàng:"
"Customer Groups","Nhóm khách hàng"
"Customer Name","Tên khách hàng"
"Customer Reviews","Khách hàng đánh giá"
