"-- Please Select --","-- Vui lòng chọn --"
"Add Secret Key to URLs","Thêm Mã Khóa Bí Mật vào Các Đường Dẫn URLs"
"Add Store Code to Urls","Thêm Mã Cửa Hàng vào URL"
"Admin","Quản trị"
"Admin Base URL","Đường Dẫn Cơ Sở (Base URL) của Quản Trị Viên"
"Admin User Emails","Các Địa Chỉ Email của Quản Trị Viên"
"Advanced","Nâng Cao"
"Allow Countries","Cho Phép Nhiếu Quốc Gia"
"Allow Symlinks","Cho Phép Các Liên Kết Tượng Trưng"
"Allowed IPs (comma separated)","Cho phép IP (phân cách bằng dấu phẩy)"
"Anchor Text for Next","Anchor Text cho Trang Sau"
"Anchor Text for Previous","Anchor Text cho Trang Trước"
"Are you sure?","Bạn chắc chứ?"
"Auto-redirect to Base URL","Tự Động Điều Hướng đến Đường Dẫn Cơ Sở (Base URL)"
"Back","Trở lại"
"Backup Options","Tùy chọn sao chép"
"Base Link URL","Đường Dẫn Cơ Sở Link URL"
"Base URL","Đường Dẫn Cơ Sở URL"
"Browser Capabilities Detection","Phát hiện khả năng của trình duyệt"
"CSS Settings","Cấu Hình CSS"
"Cache Storage Management","Quản lý bộ nhớ đệm"
"Cancel","Hủy bỏ"
"Card type does not match credit card number.","Loại thẻ không khớp với số thẻ tín dụng."
"Code","Mã"
"Cookie Domain","Tên miền Cookie"
"Cookie Lifetime","Thời gian hoạt động của Cookie"
"Cookie Path","Đường dẫn Cookie"
"Cookie Restriction Mode","Chế độ giới hạn cookie"
"Copyright","Bản quyền"
"Country","Quốc gia"
"Create Store","Tạo cửa hàng"
"Create Store View","Tạo thông tin cửa hàng"
"Create Website","Tạo website"
"Credit card number does not match credit card type.","Số thẻ tín dụng không khớp với loại thẻ tín dụng."
"Custom Admin Path","Đường Dẫn Path Tùy Biến cho Quản Trị Viên"
"Custom Admin URL","Đường Dẫn URL Tùy Biến cho Quản Trị Viên"
"Custom Design","Thiết kế tùy chỉnh"
"Custom Email 1","Email Tùy Biến 1"
"Custom Email 2","Email Tùy Biến 2"
"Custom Variables","Biến tùy chỉnh"
"Customer Support","Bộ Phận Hỗ Trợ Khách Hàng"
"Dashboard","Bảng điều khiển"
"Date From","Ngày bắt đầu"
"Date To","Ngày kết thúc"
"Debug","Sửa Lỗi"
"Default","Mặc định"
"Default Country","Quốc Gia Mặc Định"
"Default No-route URL","Đường Dẫn URL Không Định Tuyến Mặc Định "
"Default Pages","Các Trang Mặc Định"
"Default Robots","Mặc định robot"
"Default Store","Cửa hàng mặc định"
"Default Store View","Xem cửa hàng mặc định"
"Default Title","Tiêu đề mặc định"
"Default Web URL","Đường Dẫn URL Mặc Định của Web"
"Delete","Xóa bỏ"
"Delete Store","Xóa cửa hàng"
"Delete Store View","Xóa cửa hàng"
"Design","Thiết kế"
"Design Change","Thay đổi thiết kế"
"Developer","Nhà Phát Triển"
"Developer Client Restrictions","Giới hạn tính năng khách hàng của nhà phát triển"
"Disable Email Communications","Tắt Các Liên Lạc qua Email"
"Disable Modules Output","Tắt Dữ Liệu Ra của Module"
"Display Demo Store Notice","Thông báo màn hình giới thiệu cửa hàng"
"Duplicate Of Template Name","Bản sao của tên mẫu"
"Edit Design Change","Sửa thay đổi thiết kế"
"Edit Store","Sửa cửa hàng"
"Edit Store View","Sửa thông tin cửa hàng"
"Enable Charts","Bật Các Biểu Đồ"
"Enabled","Cho phép"
"Enabled for Admin","Bật Cho Quản Trị Viên"
"Environment Update Time","Môi trường Cập Nhật thời gian"
"European Union Countries","Các Quốc Gia Liên Minh Châu Âu"
"Favicon Icon","Biểu tượng yêu thích"
"File system","Hệ thống tập tin"
"File with an extension ""%value%"" is protected and cannot be uploaded","Các tập tin với phần mở rộng ""%value%"" được bảo vệ và không thể được tải lên"
"First Day of Week","Ngày Đầu Tiên trong Tuần"
"Flush Cache Storage","Xóa bộ nhớ đệm"
"Flush Magento Cache","Xóa bộ nhớ đệm Magento"
"Footer","Chân trang"
"Forgot Password Email Template","Mẫu Template của Email khi Quên Mật Khẩu"
"General","Chung"
"General Contact","Thông Tin Liên Lạc Chung"
"General Settings","Thiết lập chung"
"Global","Toàn cầu"
"HTML Head","HTML đầu"
"Header","Tiêu đề"
"Host","Lưu Trữ"
"How many links to display at once.","Bao nhiêu đường dẫn được hiển thị cùng một lúc"
"Incorrect credit card expiration date.","Ngày hết hạn thẻ tín dụng không chính xác."
"Input type ""%value%"" not found in the input types list.","Loại đầu vào ""%value%"" không tìm thấy trong danh sách các loại đầu vào."
"Invalid date","Ngày không hợp lệ"
"JavaScript Settings","Cấu Hình JavaScript"
"Layout","Giao diện"
"Leave empty for access from any location.","Để trống để cho phép truy cập từ vị trí bất kỳ."
"Locale","Ngôn ngữ và khu vực"
"Locale Options","Tùy Chọn Miền Địa Phương"
"Login is Case Sensitive","Đăng nhập phân biệt viết hoa và viết thường"
"Logo Image","Hình ảnh biểu tượng"
