"Action","Thao tác"
"Add","Thêm"
"Add to Cart","Thêm vào giỏ hàng"
"Add to Wishlist","Thêm vào danh sách yêu thích"
"Approved","Chấp thuận"
"Are you sure you want to do this?","Bạn có chắc rằng bạn muốn làm điều này?"
"Are you sure?","Bạn chắc chứ?"
"Back","Trở lại"
"Block Information","Thông tin khối nội dung"
"Change status","Thay đổi trạng thái"
"Country","Quốc gia"
"Customer Since","Khách hàng kể từ"
"Customers","Khách hàng"
"Delete","Xóa bỏ"
"Disabled","Vô hiệu hóa"
"First Name","Tên"
"General Information","Thông tin chung"
"Grid","Lưới"
"Last Name","Họ"
"List","Danh sách"
"Name","Tên"
"Pending","Đợi duyệt"
"Price","Giá"
"Product Name","Tên sản phẩm"
"Products","Các sản phẩm"
"Remove","Loại bỏ"
"SKU","MÃ SẢN PHẨM"
"Save and Continue Edit","Lưu và tiếp tục chỉnh sửa"
"Status","Trạng thái"
"Store View","Xem cửa hàng"
"Tags","Các Thẻ Gắn"
"Update","Cập nhật"
"ZIP/Post Code","Số ZIP/Post Code"
"[STORE VIEW]","[Chế độ xem cửa hàng]"
