"Add Option","Thêm tùy chọn"
"Attribute Code","Mã thuộc tính"
"Attribute Label","Nhãn hiệu thuộc tính"
"Attribute Properties","đặc điểm thuộc tính"
"Attribute object is undefined","Thuộc tính đối tượng là không xác định"
"Attribute with the same code","Thuộc tính với mã tương tự"
"Catalog Input Type for Store Owner","Danh mục các loại đầu vào cho các chủ cửa hàng"
"Date","Ngày"
"Decimal Number","Số thập phân"
"Default Product Listing Sort by does not exist in Available Product Listing Sort By.","Danh sách sắp xếp sản phẩm mặc định không tồn tại trong danh sách sắp xếp các sản phẩm sẵn có."
"Default Value","Giá trị mặc định"
"Delete","Xóa bỏ"
"Dropdown","Trình đơn xổ dọc"
"Entity is not initialized","Tổ chức không được khởi tạo"
"Entity object is undefined","Đối tượng thực thể là không xác định"
"Form Element with the same attribute","Yếu tố hình thức với các thuộc tính tương tự"
"Form Fieldset with the same code","Hình thức thiết lập field với mã tương tự"
"Form Type with the same code","Kiểu mẫu với tương tự mã"
"Input Validation for Store Owner","Xác nhận đầu vào cho các chủ cửa hàng"
"Integer Number","Số nguyên"
"Invalid alias, already exists in joint attributes","Bí danh không hợp lệ, đã tồn tại trong các thuộc tính chung"
"Invalid date","Ngày không hợp lệ"
"Invalid joint fields","Trường hợp không hợp lệ"
"Joint field or attribute expression with this alias is already declared","Chung lĩnh vực hoặc thuộc tính biểu hiện với bí danh này đã được công bố"
"Letters","Chữ cái"
"Letters (a-z, A-Z) or Numbers (0-9)","Chữ cái (a-z, A-Z) hoặc số (0-9)"
"Multiple Select","Nhiều lựa chọn"
"No","Không"
"None","Không cái nào"
"Required","Bắt buộc"
"System","Hệ thống"
"Text Area","Khu vực văn bản"
"Text Field","Trường văn bản"
"Unique Value","Giá trị duy nhất"
"Unique Value (not shared with other products)","Giá trị duy nhất (không được chia sẻ với các sản phẩm khác)"
"Values Required","Giá trị bắt buộc"
"Yes","Có"
"Yes/No","Có/không"
