" Copy"," Sao chép"
"Action","Thao tác"
"Add New Template","Thêm mẫu mới"
"Add to Queue","Thêm vào hàng đợi"
"Allow Guest Subscription","Cho phép khách đăng ký nhận tin"
"Are you sure that you want to strip all tags?","Bạn có chắc rằng bạn muốn bỏ tất cả tags?"
"Back","Trở lại"
"Cancel","Hủy bỏ"
"Cancelled","Đã hủy"
"Confirmation Email Sender","Xác nhận Email người gửi"
"Confirmation Email Template","Xác nhận mẫu Email"
"Convert to Plain Text","Chuyển đổi sang văn bản thuần"
"Create Newsletter Template","Tạo mẫu bản tin"
"Customer","Khách hàng"
"Customer First Name","Tên khách hàng"
"Customer Last Name","Họ khách hàng"
"Date Added","Ngày Được Thêm"
"Delete","Xóa bỏ"
"Delete Selected Problems","Xóa bỏ lựa chọn vấn đề"
"Delete Template","Xóa mẫu"
"Do you really want to cancel the queue?","Bạn có thực sự muốn hủy bỏ hàng?"
"Edit Newsletter","Chỉnh sửa bản tin"
"Edit Newsletter Template","Chỉnh sửa mẫu đăng ký nhận tin"
"Edit Queue","Chỉnh sửa danh sách chờ"
"Edit Template","Chỉnh sửa mẫu"
"Enter your email address","Nhập địa chỉ email của bạn"
"Error Code","Mã lỗi"
"Error Text","Văn bản lỗi"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","Làm theo liên kết này để bỏ đăng ký <!-- Thẻ này là liên kết hủy bỏ đăng ký--><a href=""<a href=""{{var subscriber.getUnsubscriptionLink()}}""> {{var subscriber.getUnsubscriptionLink()}</a>"
"Guest","Khách"
"Message","Tin nhắn"
"Need to Confirm","Cần phải xác nhận"
"New Newsletter Template","Mẫu Đăng ký nhận tin mới"
"New Template","Mẫu mới"
"Newsletter","Bản tin"
"Newsletter Message Preview","Xem trước tin nhắn Bản tin"
"Newsletter Problem Reports","Báo cáo vấn đề Bản tin"
"Newsletter Queue","Hàng Bản tin"
"Newsletter Styles","Kiểu Đăng ký nhận tin"
"Newsletter Subscribers","Người đăng kí Bản tin"
"Newsletter Subscription","Đăng ký nhận bản tin"
"Newsletter Subscriptions","Đăng ký nhận bản tin"
"Newsletter Templates","Mẫu bản tin"
"Newsletter subscription confirmation","Xác nhận đăng ký Bản tin"
"Newsletter subscription success","đăng ký Bản tin thành công"
"Newsletter unsubscription success","đăng ký nhận Bản tin thành công"
"No Templates Found","Không có bản mẫu được tìm thấy"
"Not Activated","Không kích hoạt"
"Not Sent","Không gửi"
"Pause","Tạm dừng"
"Paused","Tạm dừng"
"Please enter a valid email address.","Vui lòng nhập một địa chỉ email hợp lệ."
"Preview","Xem trước"
"Preview Template","Xem trước mẫu"
"Processed","Xử lý"
"Queue Date Start","Hàng ngày bắt đầu"
"Queue Information","Hàng thông tin"
"Queue Start","Bắt đầu hàng đợi"
"Queue Subject","Chủ đề Hàng đợi"
"Recipients","Người nhận"
"Reset","Thiết lập lại"
"Resume","Tiếp tục"
"Return HTML Version","Trở lại phiên bản HTML"
"Save As","Lưu như"
"Save Newsletter","Lưu bản tin"
"Save Template","Lưu mẫu"
"Save and Resume","Lưu và tiếp tục"
"Security","Bảo Mật"
"Sender","Người gửi"
"Sender Email","Email người gửi"
"Sender Name","Tên người gửi"
"Sending","Đang gửi"
"Sent","Đã gửi"
"Sign Up for Our Newsletter:","Đăng ký để nhận bản tin của chúng tôi:"
"Start","Bắt đầu"
"Status","Trạng thái"
"Store","Cửa hàng"
"Store View","Xem cửa hàng"
"Subject","Chủ đề"
"Submit","Gửi"
"Subscribe","Đăng kí theo dõi"
"Subscribed","Đã đăng kí theo dõi"
"Subscriber","Người đăng kí"
"Subscribers","Người đăng kí"
"Subscribers From","Thuê bao từ"
"Subscription Options","Tùy chọn đăng ký"
"Success Email Sender","Người gửi Email thành công"
"Success Email Template","Email mẫu Thành công"
"Template Content","Nội dung bản mẫu"
"Template Information","Thông tin mẫu"
"Template Name","Tên mẫu"
"Template Styles","Mẫu phong cách"
"Template Subject","Chủ đề mẫu"
"Template Type","Loại mẫu"
"Thank you for your subscription.","Cảm ơn bạn đã đăng ký."
"This email address is already assigned to another user.","Địa chỉ email này đã được gán cho người dùng khác."
"Type","Loại"
"Unconfirmed","Chưa được xác nhận"
"Unsubscribe","Bỏ theo dõi"
"Unsubscribe Selected","Đã chọn hủy đăng ký"
"Unsubscribed","Bỏ theo dõi"
"Unsubscription Email Sender","Người gửi Email bỏ đăng ký"
"Unsubscription Email Template","Mẫu Email bỏ đăng ký"
"View Newsletter","Xem bản tin"
"Website","Trang web"
"Your subscription has been confirmed.","Đăng ký của bạn đã được xác nhận."
