"Actions","Thao tác"
"Active","Kích hoạt"
"Add New Rule","Thêm quy tắc mới"
"Alphabetical","Bảng chữ cái"
"Alphanumeric","Chữ số"
"Apply","Áp dụng"
"Apply To","Áp dụng cho"
"Apply to Shipping Amount","Áp dụng cho số lượng vận chuyển"
"Are you sure you want to delete the selected coupon(s)?","Bạn có chắc bạn muốn xóa phiếu giảm giá được chọn không?"
"Auto","Tự động"
"Auto Generated Specific Coupon Codes","Tự động tạo ra mã số phiếu giảm giá cụ thể"
"Buy X get Y free (discount amount is Y)","Có được mua X Y miễn phí (số tiền chiết khấu là Y)"
"By Fixed value","Bởi giá trị cố định"
"By Percentage","Bởi Tỷ lệ phần trăm"
"Can't acquire coupon.","Không nhận được phiếu giảm giá."
"Cart Attribute","Thuộc Tính Giỏ hàng"
"Catalog","Danh mục"
"Code Format","Mã định dạng"
"Code Length","Độ dài mã"
"Code Prefix","Mã tiền tố"
"Code Suffix","Mã hậu tố"
"Conditions","Điều kiện"
"Conditions combination","Kết hợp Điều kiện"
"Coupon Code","Mã Phiếu giảm giá"
"Coupon Qty","Số lượng Coupon"
"Coupon with the same code","Phiếu mua hàng với cùng mã"
"Created On","Tạo vào"
"Customer Groups","Nhóm khách hàng"
"Dash Every X Characters","Dấu gạch ngang mỗi ký tự X"
"Default Label","Nhãn mặc định"
"Default Rule Label for All Store Views","Nhãn hiệu quy tắc mặc định cho tất cả các cửa hàng lượt xem"
"Description","Mô tả"
"Discount Amount","Lượng chiết khấu"
"Discount Qty Step (Buy X)","Bước số lượng giảm giá (mua X)"
"Edit Rule","Sửa quy tắc"
"Excluding prefix, suffix and separators.","Không bao gồm tiền tố, hậu tố và tách."
"FOUND","TÌM THẤY"
"Fixed amount discount","Giảm giá số tiền cố định"
"Fixed amount discount for whole cart","Giảm giá số tiền cố định cho toàn bộ giỏ hàng"
"For matching items only","Chỉ cho các mục phù hợp"
"For shipment with matching items","Đối với các lô hàng với phù hợp với mục"
"Free Shipping","Miễn phí vận chuyển"
"General Information","Thông tin chung"
"Generate","Tạo ra"
"If empty no separation.","Nếu để trống thì không có sự tách biệt."
"Inactive","Không hoạt động"
"Labels","Nhãn"
"Manage Coupon Codes","Quản lý mã coupon mua hàng"
"Maximum Qty Discount is Applied To","Số lượng giảm giá tối đa là áp dụng cho"
"NOT FOUND","KHÔNG TÌM THẤY"
"NOT LOGGED IN","CHƯA ĐĂNG NHẬP"
"New Rule","Quy tắc mới"
"No","Không"
"No Coupon","Không có phiếu giảm giá"
"Number of Uses","Số lần sử dụng"
"Numeric","Số"
"Payment Method","Phương thức thanh toán"
"Percent of product price discount","Phần trăm sản phẩm giảm giá"
"Period","Thời gian"
"Price in cart","Giá trong giỏ hàng"
"Priority","Độ ưu tiên"
"Product attribute combination","Sản phẩm thuộc tính tổ hợp"
"Products subselection","Sản phẩm cận chọn"
"Promotions","Khuyến mãi"
"Public In RSS Feed","Các khu vực trong RSS Feed"
"Quantity in cart","Số lượng trong giỏ hàng"
"Row total in cart","Hàng tổng trong giỏ hàng"
"Rule Information","Thông tin quy tắc"
"Rule Name","Tên quy tắc"
"Rule is not defined","Quy tắc không xác định"
"Save and Continue Edit","Lưu và tiếp tục chỉnh sửa"
"Shipping Country","Vận chuyển quốc gia"
"Shipping Method","Phương thức vận chuyển"
"Shipping Postcode","Mã bưu chính Vận chuyển"
"Shipping Region","Khu vực Vận chuyển"
"Shipping State/Province","Tiểu bang/tỉnh Vận chuyển"
"Special Price","Giá đặc biệt"
"Specific Coupon","Phiếu mua hàng cụ thể"
"Status","Trạng thái"
"Store View Specific Labels","Cửa hàng xem nhãn cụ thể"
"Subtotal","Tổng phụ"
"This rule no longer exists.","Quy tắc này không còn tồn tại."
"Times Used","Thời gian sử dụng"
"To Fixed Value","Đến giá trị cố định"
"To Percentage","Để tỷ lệ phần trăm"
"Total","Tổng"
"Total Amount","Tổng số tiền"
"Total Items Quantity","Số lượng tất cả các mục"
"Total Weight","Tổng trọng lượng"
"Update the Product","Cập nhật sản phẩm"
"Use Auto Generation","Sử dụng thế hệ tự động"
"Used","Đã sử dụng"
"Uses per Coupon","Số lần sử dụng một phiếu giảm giá"
"Uses per Customer","Số lần sử dụng cho mỗi khách hàng"
"Website","Trang web"
"Websites","Các trang web"
"Yes","Có"
"total amount","tiền hàng"
"total quantity","số lượng tổng số"
