"Catalog","Danh mục"
"Click for price","Nhấp vào để xem giá"
"Coupons/Discounts","Phiếu giảm giá/mã giảm giá"
"Customer Order Status Notification","Thông báo trạng thái đơn đặt hàng của khách hàng"
"Discount","Chiết khấu"
"Enable RSS","Cho phép RSS"
"From:","Từ:"
"Get Feed","Nhận được nguồn cấp dữ liệu"
"Gift Message","Tin nhắn quà tặng"
"Grand Total","Tổng số"
"Low Stock Products","Sản phẩm tồn kho thấp"
"Message:","Tin nhắn:"
"Miscellaneous Feeds","Nguồn cấp dữ liệu khác"
"New Orders","Đơn đặt hàng mới"
"New Products","Sản phẩm mới"
"Order","Đơn hàng"
"Pending product review(s)","Đánh giá sản phẩm đang chờ xử lý"
"RSS Feeds","Nguồn cấp dữ liệu RSS"
"RSS Feeds Section","Phần nguồn cấp dữ liệu RSS"
"Rss Config","Cấu hình Rss"
"Shipping &amp; Handling","Vận chuyển &amp; xử lý"
"Special Products","Sản phẩm đặc biệt"
"Subtotal","Tổng phụ"
"Tax","Thuế"
"To:","Đến:"
"Top Level Category","Nhóm đứng đầu"
"Wishlist","Danh sách yêu thích"
