"Action","Thao tác"
"Are you sure you want to delete the selected backup(s)?","Bạn có chắc chắn là bạn muốn xóa các bản sao lưu dự phòng đã chọn không?"
"Backups","Bản sao lưu"
"Create Backup","Tạo sao lưu"
"Database","Cơ sở dũ liệu"
"Database Backup","Sao lưu cơ sở dữ liệu"
"Database and Media","Dữ liệu và phương tiện"
"Database and Media Backup","Cơ sở dữ liệu và phương tiện sao lưu"
"Download","Tải về"
"Enable Scheduled Backup","Bật Hẹn Giờ Sao Lưu Dự Phòng"
"Frequency","Tần Suất"
"Maintenance Mode","Chế Độ Bảo Dưỡng"
"Name","Tên"
"Rollback","Quay Trở Lại"
"Start Time","Thời Gian Bắt Đầu"
"System","Hệ thống"
"System (excluding Media)","Hệ thống (không bao gồm Phương tiện)"
"System Backup","Sao lưu hệ thống"
"Time","Thời gian"
"Type","Loại"
