"(Excl. Tax)","(không bao gồm thuế)"
"(Incl. Tax)","(Bao gồm cả thuế)"
"* Required Fields","* Bắt buộc"
"Add New Address","Thêm địa chỉ mới"
"Add New Condition","Thêm điều kiện"
"Add to Cart","Thêm vào giỏ hàng"
"Add to Compare","Thêm vào so sánh"
"Add to Wishlist","Thêm vào danh sách yêu thích"
"Address","Địa chỉ"
"After Adding a Product Redirect to Shopping Cart","Sau khi thêm một trang chuyển hướng sản phẩm vào giỏ hàng"
"Allow Guest Checkout","Cho phép thanh toán như khách"
"Apply","Áp dụng"
"Apply Coupon","Áp dụng các phiếu giảm giá"
"Are you sure you would like to remove this item from the shopping cart?","Bạn có chắc bạn muốn loại bỏ sản phẩm này khỏi giỏ mua hàng?"
"Back","Trở lại"
"Back to Billing Information","Quay lại thông tin thanh toán"
"Back to Select Addresses","Quay lại chọn địa chỉ"
"Back to Shipping Information","Quay lại thông tin vận chuyển"
"Back to Shopping Cart","Quay lại giỏ hàng"
"Billing Address","Địa chỉ thanh toán"
"Billing Information","Thông tin thanh toán"
"Cancel","Hủy bỏ"
"Cancel Coupon","Hủy bỏ phiếu giảm giá"
"Cannot process the item.","Không thể xử lý các mục."
"Card Verification Number Visual Reference","Hình ảnh xác minh số thẻ"
"Change","Thay đổi"
"Change Billing Address","Thay đổi địa chỉ thanh toán"
"Checkbox Text","Hộp kiểm tra văn bản"
"Checkout","Thanh toán"
"Checkout Conditions","Điều kiện thanh toán"
"Checkout Options","Tùy chọn thanh toán"
"Checkout Terms and Conditions","Điều khoản và điều kiện thanh toán"
"City","Thành phố"
"Clear Shopping Cart","Xóa giỏ hàng"
"Close","Đóng lại"
"Company","Công ty"
"Condition Name","Tên Điều kiện"
"Configurable Product Image","Cấu hình sản phẩm hình ảnh"
"Confirm Password","Xác nhận mật khẩu"
"Content","Nội dung"
"Content Height","Chiều cao nội dung"
"Content Height (css)","Chiều cao nội dung (css)"
"Continue","Tiếp tục"
"Continue Shopping","Tiếp tục mua sắm"
"Continue to Billing Information","Tiếp tục đến thông tin thanh toán"
"Country","Quốc gia"
"Create Billing Address","Tạo địa chỉ thanh toán"
"Create Shipping Address","Tạo địa chỉ vận chuyển"
"Customer Information","Thông tin khách hàng"
"Data saving problem","Có vấn đề khi lưu dữ liệu"
"Default Billing","Mặc định thanh toán"
"Default Shipping","Mặc định vận chuyển"
"Delete Condition","Xóa điều kiện"
"Details","Chi tiết"
"Disabled","Vô hiệu hóa"
"Display Cart Summary","Hiển thị tóm tắt giỏ hàng"
"Display item quantities","Hiển thị số lượng sản phẩm"
"Display number of items in cart","Hiển thị số lượng sản phẩm trong giỏ hàng"
"Edit","Chỉnh sửa"
"Edit Address","Sửa địa chỉ"
"Edit Billing Address","Chỉnh sửa địa chỉ thanh toán"
"Edit Condition","Chỉnh sửa điều kiện"
"Edit Items","Chỉnh sửa sản phẩm"
"Edit Shipping Address","Chỉnh sửa địa chỉ vận chuyển"
"Edit Terms and Conditions","Chỉnh sửa các điều khoản và điều kiện"
"Edit Your Cart","Sửa giỏ hàng của bạn"
"Edit item","Chỉnh sửa sản phẩm"
"Edit item parameters","Sửa thông số sản phẩm"
"Email Address","Địa chỉ email"
"Enable Onepage Checkout","Cho phép Onepage checkout"
"Enable Terms and Conditions","Kích hoạt điều khoản và điều kiện"
"Enabled","Cho phép"
"Enter a New Address","Nhập địa chỉ mới"
"Estimate Shipping and Tax","ước tính vận chuyển và thuế"
"Excl. Tax","Chưa bao gồm thuế"
"Fax","Số Fax"
"Forgot an Item?","Quên một sản phẩm?"
"Forgot your password?","Bạn quên mật khẩu?"
"Gift Message","Tin nhắn quà tặng"
"Grand Total:","Tổng số:"
"Grouped Product Image","Nhóm sản phẩm hình ảnh"
"Incl. Tax","Đã bao gồm thuế"
"Items","Sản phẩm"
"Load customer quote error","Lỗi khi tải trích dẫn khách hàng"
"Login","Đăng nhập"
"Move","Di chuyển"
"Move to Wishlist","Chuyển tới danh sách yêu thích"
"My Cart","Giỏ hàng của tôi"
"My Cart Link","Liên kết giỏ hàng của tôi"
"New Address","Địa chỉ mới"
"New Condition","điều kiện mới"
"New Terms and Conditions","Các điều khoản và điều kiện mới"
"No Payment Methods","Không có phương thức thanh toán"
"Order #","Đơn hàng #"
"Order Review","Xem lại đơn đặt hàng"
"Order Success","Đặt hàng thành công"
"Password","Mật khẩu"
"Payment Failed Email Sender","Người gửi email thanh toán thất bại"
"Payment Failed Emails","Email thông báo thanh toán thất bại"
"Payment Failed Template","Mẫu Thanh toán không thành công"
"Payment Information","Thông tin thanh toán"
"Payment Method","Phương thức thanh toán"
"Place Order","Đặt hàng"
"Please agree to all Terms and Conditions before placing the order.","Xin vui lòng đồng ý với tất cả các điều khoản và điều kiện trước khi đặt các đơn đặt hàng."
"Please agree to all the terms and conditions before placing the order.","Xin vui lòng đồng ý với tất cả các điều khoản và điều kiện trước khi đặt các đơn đặt hàng."
"Please select region, state or province","Vui lòng chọn khu vực"
"Price","Giá"
"Proceed to Checkout","Tiến hành thanh toán"
"Product","Sản phẩm"
"Product Name","Tên sản phẩm"
"Products","Các sản phẩm"
"Qty","Số lượng"
"Qty:","Số lượng:"
"Quantity","Số lượng"
"Quote Lifetime (days)","Dòng đời trích dẫn (ngày)"
"Remove Item","Xóa sản phẩm"
"Remove This Item","Loại bỏ mục này"
"Remove item","Xóa sản phẩm"
"Review Order","Nhận xét đơn đặt hàng"
"SKU","MÃ SẢN PHẨM"
"Sales","Doanh số"
"Save Condition","Lưu điều kiện"
"Save in address book","Lưu vào sổ địa chỉ"
"See price before order confirmation.","Xem giá trước khi xác nhận đơn hàng."
"Select Address","Chọn địa chỉ"
"Select Addresses","Chọn địa chỉ"
"Select Shipping Method","Chọn phương thức vận chuyển"
"Select a shipping address from your address book or enter a new address.","Chọn một địa chỉ vận chuyển từ sổ địa chỉ của bạn hoặc nhập một địa chỉ mới."
"Send Payment Failed Email Copy Method","Phương pháp sao chép email gửi thanh toán không thành công"
"Send Payment Failed Email Copy To","Gửi bản sao email thanh toán không thành công đến"
"Send To","Gửi đến"
"Separate by "","".","Tách biệt bởi "",""."
"Ship to Multiple Addresses","Chuyển đến nhiều địa chỉ"
"Shipping Address","Địa chỉ giao hàng"
"Shipping Information","Thông tin vận chuyển"
"Shipping Method","Phương thức vận chuyển"
"Shipping Methods","Phương thức vận chuyển"
"Shipping To","Vận chuyển đến"
"Shopping Cart","Giỏ mua hàng"
"Show Content as","Hiển thị nội dung như"
"State/Province","Bang/tỉnh"
"Status","Trạng thái"
"Store View","Xem cửa hàng"
"Street Address","Địa chỉ đường"
"Submitting order information...","Gửi thông tin đặt hàng..."
"Subtotal","Tổng phụ"
"Terms and Conditions","Điều khoản và điều kiện"
"Terms and Conditions Information","Thông tin Điều khoản và điều kiện"
"Text","Nội dung"
"Thank you for your purchase!","Cảm ơn bạn đã mua hàng!"
"The product does not exist.","Sản phẩm không tồn tại."
"This condition no longer exists.","điều kiện này không còn tồn tại."
"Total","Tổng"
"Total for this address","Tổng số cho địa chỉ này"
"Unit Price","Đơn giá"
"Update","Cập nhật"
"Update Cart","Cập nhật giỏ hàng"
"Update Qty &amp; Addresses","Cập Nhật số lượng &amp; địa chỉ"
"Update Shopping Cart","Cập nhật giỏ hàng"
"VAT Number","Số VAT"
"What's this?","Đây là gì?"
"You have no items in your shopping cart.","Bạn có không có sản phẩm nào trong giỏ hàng của bạn."
"Zip/Postal Code","Mã bưu chính"
"or","hoặc"
