"-- Please Select --","-- Vui lòng chọn --"
"Add New Class","Thêm lớp mới"
"Add New Tax Rate","Thêm tỷ lệ thuế mới"
"Add New Tax Rule","Thêm quy tắc thuế mới"
"After Discount","Sau khi giảm giá"
"Apply Customer Tax","Áp dụng thuế khách hàng"
"Apply Discount On Prices","Áp dụng giảm giá về giá"
"Apply Tax On","Áp dụng thuế trên"
"Are you sure you want to do this?","Bạn có chắc rằng bạn muốn làm điều này?"
"Back","Trở lại"
"Before Discount","Trước khi giảm giá"
"Calculation Settings","Thiết lập Tính toán"
"Catalog Prices","Danh mục giá"
"Code","Mã"
"Country","Quốc gia"
"Custom price if available","Tuỳ chỉnh giá nếu có sẵn"
"Customer Tax Class","Các loại thuế khách hàng"
"Customer Tax Class Information","Thông Tin Về Nhóm Thuế Của Khách Hàng"
"Customer Tax Classes","Các lớp về thuế khách hàng"
"Default Country","Quốc Gia Mặc Định"
"Default Post Code","Mã bưu chính mặc định"
"Default State","Bang mặc định"
"Default Tax Destination Calculation","Mặc định đích tính toán thuế"
"Delete Rate","Xóa các tỷ lệ"
"Delete Rule","Xoá quy tắc"
"Display Full Tax Summary","Hiển thị bản tóm tắt đầy đủ thuế"
"Display Prices","Hiển thị giá"
"Display Product Prices In Catalog","Hiển thị giá sản phẩm trong danh mục"
"Display Shipping Amount","Hiển thị số lượng vận chuyển"
"Display Shipping Prices","Hiển thị giá vận chuyển"
"Display Subtotal","Hiển thị tổng phụ"
"Display Zero Tax Subtotal","Hiển thị các số tổng thuế"
"Edit Rule","Sửa quy tắc"
"Edit Tax Rate","Chỉnh sửa mức thuế suất"
"Enable Cross Border Trade","Cho phép thương mại vượt qua biên giới"
"Excl. Tax","Chưa bao gồm thuế"
"Excluding Tax","Không bao gồm thuế"
"Export Tax Rates","Xuất thuế suất"
"Grand Total (Excl. Tax)","Tổng (chưa bao gồm thuế)"
"Grand Total (Excl.Tax)","Tổng (chưa bao gồm thuế)"
"Grand Total (Incl. Tax)","Tổng (đã bao gồm thuế)"
"Grand Total (Incl.Tax)","Tổng (đã bao gồm thuế)"
"Grand Total Excl. Tax","Tổng chưa bao gồm thuế"
"Grand Total Incl. Tax","Tổng đã bao gồm thuế"
"Import Tax Rates","Nhập thuế suất"
"Inc. Tax","Bao gồm thuế"
"Incl. Tax","Đã bao gồm thuế"
"Including Tax","Bao gồm cả thuế"
"Including and Excluding Tax","Bao gồm và không bao gồm thuế"
"Invalid file upload attempt","Cố gắng tải lên tệp không hợp lệ"
"Tax Rates","Thuế suất"
"Tax Rules","Luật thuế"
"Name","Tên"
"New Rule","Quy tắc mới"
"New Tax Rate","Tỷ lệ thuế mới"
"No","Không"
"None","Không cái nào"
"Orders, Invoices, Credit Memos Display Settings","Thiết đặt hiển thị bản ghi nhớ tín dụng, đơn hàng, hóa đơn"
"Original price only","Chỉ Giá gốc"
"Price Display Settings","Thiết đặt hiển thị giá"
"Priority","Độ ưu tiên"
"Product Tax Class","Loại thuế Sản phẩm"
"Range From","Nằm trong khoảng từ"
"Range To","Nằm trong khoảng đến"
"Range To should be equal or greater than Range From.","Phạm vi đến nên bằng hoặc lớn hơn phạm vi từ."
"Rate","Đánh giá"
"Rate Percent","Tỷ lệ phần trăm"
"Reset","Thiết lập lại"
"Row Total","Tổng số dòng"
"Sales","Doanh số"
"Save Rate","Lưu tỷ lệ"
"Save Rule","Lưu quy tắc"
"Save and Continue Edit","Lưu và tiếp tục chỉnh sửa"
"Shipping & Handling (Excl.Tax)","Vận chuyển & xử lý (chưa bao gồm thuế)"
"Shipping & Handling (Incl.Tax)","Vận chuyển & xử lý (đã bao gồm thuế)"
"Shipping (Excl. Tax)","Vận chuyển (chưa bao gồm thuế)"
"Shipping (Incl. Tax)","Vận chuyển (đã bao gồm thuế)"
"Shipping Prices","Giá vận chuyển"
"Shopping Cart Display Settings","Thiết đặt hiển thị giỏ hàng mua sắm"
"Sort Order","Thứ tự sắp xếp"
"State","Tỉnh/Thành phố"
"State/Region","Bang/khu vực"
"Subtotal (Excl. Tax)","Tổng phụ (chưa bao gồm thuế)"
"Subtotal (Excl.Tax)","Tổng phụ (chưa bao gồm thuế)"
"Subtotal (Incl. Tax)","Tổng phụ (đã bao gồm thuế)"
"Subtotal (Incl.Tax)","Tổng phụ (đã bao gồm thuế)"
"Tax","Thuế"
"Tax Calculation Based On","Tính toán thuế dựa trên"
"Tax Calculation Method Based On","Phương pháp tính thuế dựa trên"
"Tax Class for Shipping","Thuế cấp cho vận chuyển"
"Tax Classes","Loại thuế"
"Tax Identifier","Định danh thuế"
"Tax Rate","Thuế suất"
"Tax Rate Information","Thông tin về tỷ lệ thuế"
"Tax Rule Information","Thông tin về quy tắc thuế"
"Tax Titles","Tiêu đề thuế"
"Tax rates at the same priority are added, others are compounded.","Thuế suất ở cùng mức ưu tiên được thêm vào, những thuế suất khác thì được gộp lại."
"The tax rate has been imported.","Thuế suất đã được chuyển nhập."
"The tax rule has been deleted.","Quy tắc thuế đã bị xóa."
"This rule no longer exists.","Quy tắc này không còn tồn tại."
"Total","Tổng"
"Unit Price","Đơn giá"
"Yes","Có"
"Zip/Post Code","Mã bưu chính"
"Zip/Post is Range","Số Zip/Post là phạm vi"
