"* Required Fields","* Bắt buộc"
"Add All to Cart","Thêm tất cả vào giỏ hàng"
"Add to Cart","Thêm vào giỏ hàng"
"Add to Compare","Thêm vào so sánh"
"Add to Wishlist","Thêm vào danh sách yêu thích"
"Back","Trở lại"
"Cannot specify product.","Không thể xác định sản phẩm."
"Click for price","Nhấp vào để xem giá"
"Comment","Bình luận"
"Comment:","Bình luận:"
"Date Added","Ngày Được Thêm"
"Edit","Chỉnh sửa"
"Email Sender","Người gửi Email"
"Email Template","Mẫu email"
"Email addresses, separated by commas","Địa chỉ email, ngăn cách bởi dấu phẩy"
"Enabled","Cho phép"
"General Options","Tùy chọn chung"
"In stock","Còn trong kho"
"Last Added Items","Sản phẩm được thêm cuối cùng"
"Message","Tin nhắn"
"Options Details","Tùy chọn chi tiết"
"Out of stock","Tạm hết hàng"
"Price","Giá"
"Product","Sản phẩm"
"Product Details and Comment","Chi tiết và bình luận về sản phẩm"
"Qty","Số lượng"
"RSS Feed","Nguồn cấp dữ liệu RSS"
"Remove Item","Xóa sản phẩm"
"Remove This Item","Loại bỏ mục này"
"Remove item","Xóa sản phẩm"
"SKU","MÃ SẢN PHẨM"
"Share Options","Tùy chọn Chia sẻ"
"Sharing Information","Thông tin chia sẻ"
"User Description","Mô tả người dùng"
"View Details","Xem chi tiết"
"View Product","Xem sản phẩm"
"What's this?","Đây là gì?"
"Wishlist","Danh sách yêu thích"
