"Actions","Thao tác"
"Are you sure?","Bạn chắc chứ?"
"Date Added","Ngày Được Thêm"
"Last Update","Lần Nâng Cấp Cuối"
"Mark as Read","Đánh dấu đã đọc"
"Message","Tin nhắn"
"Messages Inbox","Hộp thư"
"Notifications","Các thông báo"
"Please select messages.","Vui lòng chọn thư."
"Read Details","Đọc chi tiết"
"Remove","Loại bỏ"
"Severity","Mức Độ Nghiêm Trọng"
"Show List","Hiển thị Danh Sách"
"Show Toolbar","Hiển thi thanh công cụ"
"The message has been removed.","Thư đã được xóa."
"Update Frequency","Tần Suất Nâng Cấp"
"Use HTTPS to Get Feed","Dùng HTTPS Để Lấy Nguồn Cấp Dữ Liệu Feed"
"Wrong message type","Sai loại tin nhắn"
"critical","nghiêm trọng"
"major","chính"
"minor","nhỏ"
"notice","chú ý"
